person_id,occasion,situation_type,goal_activation,threat_appraisal,challenge_appraisal,self_efficacy,self_regulation,emotional_arousal,perceived_support,prosocial_behavior,avoidance_behavior,task_persistence,appraisal_balance,regulation_capacity,approach_orientation,avoidance_pressure
SCP001,1,supportive_feedback,3.122,1.701,5.648,6.048,6.316,1.000,3.068,4.485,1.000,4.657,3.947,6.182,4.939,2.211
SCP001,2,ambiguous_social_signal,2.673,1.917,4.399,6.522,6.051,1.433,2.632,3.886,1.000,5.448,2.481,6.287,4.531,2.573
SCP001,3,performance_challenge,3.276,1.617,6.079,6.513,6.602,1.425,3.181,4.560,1.000,5.213,4.462,6.558,5.289,2.287
SCP001,4,authority_evaluation,2.376,3.148,3.920,5.719,6.165,1.798,2.825,2.992,1.209,4.112,0.772,5.942,4.005,3.041
SCP001,5,collaborative_task,2.898,1.874,5.025,5.715,5.956,1.970,3.479,4.051,1.141,4.553,3.151,5.835,4.546,2.455
SCP001,6,rejection_cue,1.795,3.622,3.568,5.776,5.357,2.259,2.912,2.947,1.469,3.431,-0.054,5.566,3.713,3.323
SCP001,7,autonomy_opportunity,2.967,1.971,5.509,6.466,5.863,1.151,3.395,3.921,1.000,4.712,3.537,6.164,4.980,2.242
SCP001,8,conflict_repair,3.425,3.192,5.361,5.166,6.192,2.316,3.008,3.107,1.737,4.960,2.169,5.679,4.651,3.167
SCP002,1,supportive_feedback,3.523,1.966,5.686,6.101,5.809,1.853,3.701,5.195,1.000,4.734,3.720,5.955,5.103,2.373
SCP002,2,ambiguous_social_signal,2.419,2.142,4.157,5.770,6.300,1.522,2.862,4.373,1.307,4.760,2.015,6.035,4.115,2.600
SCP002,3,performance_challenge,3.306,2.495,5.233,6.444,6.241,1.980,2.718,4.473,1.000,4.959,2.738,6.342,4.994,2.919
SCP002,4,authority_evaluation,3.289,3.318,3.442,5.508,5.463,2.899,2.230,3.517,1.962,4.393,0.124,5.485,4.079,3.662
SCP002,5,collaborative_task,3.483,1.000,5.771,6.734,6.438,1.688,4.703,3.996,1.000,4.948,4.771,6.586,5.329,1.662
SCP002,6,rejection_cue,3.426,3.703,2.486,5.067,5.548,1.977,2.587,3.750,2.156,3.945,-1.217,5.308,3.660,3.365
SCP002,7,autonomy_opportunity,2.895,1.319,5.607,6.048,6.334,1.000,3.859,4.296,1.000,4.534,4.288,6.191,4.850,1.820
SCP002,8,conflict_repair,3.700,1.856,4.131,5.403,7.000,2.360,3.743,4.515,1.000,4.654,2.274,6.201,4.411,2.491
SCP003,1,supportive_feedback,4.412,2.131,5.588,6.085,5.064,2.415,3.989,4.056,1.000,5.012,3.457,5.575,5.362,2.519
SCP003,2,ambiguous_social_signal,4.187,3.682,3.644,5.053,5.328,2.108,2.671,3.525,1.533,4.079,-0.038,5.190,4.294,3.373
SCP003,3,performance_challenge,3.935,3.181,4.655,6.000,5.309,2.358,3.445,3.802,1.000,4.489,1.474,5.654,4.863,3.031
SCP003,4,authority_evaluation,4.593,3.862,3.874,5.143,4.263,2.928,2.317,3.171,2.225,3.765,0.012,4.703,4.537,3.824
SCP003,5,collaborative_task,3.901,1.618,4.721,5.842,5.605,2.163,3.788,4.823,1.000,4.812,3.103,5.724,4.822,2.331
