person_id,assessment_context,occasion,trait_extraversion,trait_conscientiousness,trait_neuroticism,state_extraversion,state_conscientiousness,state_neuroticism,situation_valence,situation_sociality,situation_demand,situation_evaluation,positive_affect,negative_affect,goal_pressure,autonomy_support,state_inertia_marker,dynamic_signature_score
PDY00001,experience_sampling_research_context,1,5.551,4.490,2.773,6.176,4.787,1.676,4.100,3.996,2.178,1.669,3.497,1.561,1.500,4.813,0.807,1.535
PDY00001,experience_sampling_research_context,2,5.551,4.490,2.773,5.179,3.673,1.725,7.000,2.508,1.966,1.549,4.335,2.046,3.084,2.713,0.720,1.884
PDY00001,experience_sampling_research_context,3,5.551,4.490,2.773,5.187,4.573,1.000,5.670,3.572,2.161,1.127,4.462,1.412,2.525,5.813,0.544,1.569
PDY00001,experience_sampling_research_context,4,5.551,4.490,2.773,3.840,3.813,1.000,3.241,2.386,4.167,2.907,3.280,3.099,3.272,5.519,0.702,2.233
PDY00001,experience_sampling_research_context,5,5.551,4.490,2.773,5.178,4.597,1.000,5.435,3.134,1.655,1.609,3.593,1.042,1.439,6.026,0.707,1.990
PDY00001,experience_sampling_research_context,6,5.551,4.490,2.773,5.739,5.017,1.203,3.714,6.122,3.644,2.937,4.530,2.788,3.228,3.770,0.394,2.075
PDY00001,experience_sampling_research_context,7,5.551,4.490,2.773,5.001,4.765,1.148,5.049,1.173,2.022,1.641,2.937,1.435,2.370,4.160,0.348,2.114
PDY00001,experience_sampling_research_context,8,5.551,4.490,2.773,6.192,5.192,1.524,4.690,3.593,2.562,3.229,4.020,1.473,3.074,6.002,0.665,1.619
PDY00001,experience_sampling_research_context,9,5.551,4.490,2.773,6.933,4.864,1.038,4.440,4.828,2.276,1.981,5.101,1.566,2.129,4.745,0.518,2.009
PDY00001,experience_sampling_research_context,10,5.551,4.490,2.773,5.384,4.890,1.000,4.140,2.579,2.211,1.278,3.562,1.000,1.477,5.587,0.538,2.094
PDY00001,experience_sampling_research_context,11,5.551,4.490,2.773,5.321,4.358,1.271,4.914,4.053,2.462,1.644,3.342,1.000,1.236,4.408,0.289,1.555
PDY00001,experience_sampling_research_context,12,5.551,4.490,2.773,5.226,4.257,1.638,4.564,1.000,2.925,2.385,3.682,1.865,1.925,3.213,0.188,1.962
PDY00001,experience_sampling_research_context,13,5.551,4.490,2.773,5.340,3.623,1.000,5.872,3.269,1.751,2.385,3.504,1.848,1.737,5.172,0.462,1.851
PDY00001,experience_sampling_research_context,14,5.551,4.490,2.773,6.175,4.233,1.298,4.478,5.249,1.691,3.424,4.433,2.086,2.745,6.046,0.581,1.984
PDY00001,experience_sampling_research_context,15,5.551,4.490,2.773,5.344,5.008,1.000,4.391,3.022,3.225,2.444,3.452,1.293,2.082,4.524,0.635,1.818
PDY00001,experience_sampling_research_context,16,5.551,4.490,2.773,6.302,5.419,1.000,3.934,4.618,3.351,2.251,2.717,1.000,2.967,6.490,0.456,1.931
PDY00002,experience_sampling_research_context,1,6.162,4.214,2.810,5.008,3.910,1.068,3.915,1.296,2.375,1.000,2.294,1.000,1.570,3.677,1.098,2.196
PDY00002,experience_sampling_research_context,2,6.162,4.214,2.810,6.199,4.136,1.000,4.362,3.974,3.447,3.230,2.895,1.995,2.563,4.902,0.495,1.373
PDY00002,experience_sampling_research_context,3,6.162,4.214,2.810,6.771,4.189,1.000,4.847,3.893,3.822,1.862,4.458,1.224,2.823,4.487,0.208,1.614
PDY00002,experience_sampling_research_context,4,6.162,4.214,2.810,6.609,3.750,1.987,3.912,3.831,1.626,1.127,3.859,1.975,2.991,3.001,0.529,1.666
PDY00002,experience_sampling_research_context,5,6.162,4.214,2.810,6.763,3.450,1.512,3.744,2.731,3.347,3.727,4.042,1.387,2.462,4.837,0.310,2.187
PDY00002,experience_sampling_research_context,6,6.162,4.214,2.810,6.890,4.118,1.000,6.222,3.339,3.089,1.870,4.088,1.000,1.798,6.801,0.436,1.786
PDY00002,experience_sampling_research_context,7,6.162,4.214,2.810,7.000,3.964,1.589,6.230,4.561,1.732,3.052,4.706,1.000,1.795,4.141,0.285,1.906
PDY00002,experience_sampling_research_context,8,6.162,4.214,2.810,6.383,4.106,1.469,4.682,4.649,1.000,1.442,3.117,1.715,1.803,3.562,0.293,1.715
PDY00002,experience_sampling_research_context,9,6.162,4.214,2.810,6.157,5.162,1.441,4.633,3.064,4.633,1.000,3.850,1.566,3.819,3.881,0.437,1.596
PDY00002,experience_sampling_research_context,10,6.162,4.214,2.810,6.449,4.767,1.624,4.080,4.089,3.484,2.645,4.367,1.000,3.567,4.276,0.290,1.640
PDY00002,experience_sampling_research_context,11,6.162,4.214,2.810,5.382,4.467,2.187,4.632,1.652,3.548,2.124,3.774,2.426,4.072,4.656,0.643,1.784
PDY00002,experience_sampling_research_context,12,6.162,4.214,2.810,6.164,5.345,1.259,6.793,5.906,5.406,1.000,4.943,1.280,3.991,4.202,0.863,2.277
PDY00002,experience_sampling_research_context,13,6.162,4.214,2.810,6.105,4.733,1.832,3.060,3.954,4.241,2.999,3.235,2.178,3.481,4.300,0.415,1.682
PDY00002,experience_sampling_research_context,14,6.162,4.214,2.810,5.751,4.225,1.455,4.199,1.798,2.781,3.066,3.412,2.103,1.924,5.216,0.413,1.901
PDY00002,experience_sampling_research_context,15,6.162,4.214,2.810,6.891,4.599,1.505,5.003,4.937,4.602,1.968,4.573,2.104,4.016,2.815,0.522,1.935
PDY00002,experience_sampling_research_context,16,6.162,4.214,2.810,6.074,5.046,1.000,6.231,4.343,3.860,2.218,3.865,1.323,3.194,4.007,0.590,1.509
PDY00003,experience_sampling_research_context,1,5.653,4.542,1.994,6.707,5.008,1.000,4.462,4.954,4.667,2.350,4.635,1.515,2.513,4.661,0.847,2.011
PDY00003,experience_sampling_research_context,2,5.653,4.542,1.994,5.876,5.450,1.000,4.556,2.485,3.280,2.208,3.703,1.268,3.896,4.610,0.424,1.856
PDY00003,experience_sampling_research_context,3,5.653,4.542,1.994,6.293,4.774,1.000,5.848,3.827,2.295,1.000,2.739,1.000,1.402,3.851,0.364,1.693
PDY00003,experience_sampling_research_context,4,5.653,4.542,1.994,5.656,4.762,1.000,3.772,1.784,3.647,1.150,3.486,1.008,1.648,4.265,0.216,1.613
PDY00003,experience_sampling_research_context,5,5.653,4.542,1.994,5.358,5.346,1.000,3.802,2.415,4.549,1.264,2.550,1.000,3.381,5.198,0.294,1.605
PDY00003,experience_sampling_research_context,6,5.653,4.542,1.994,5.056,4.508,1.000,4.715,1.971,3.740,1.304,3.359,1.000,1.956,5.044,0.380,1.862
