person_id,occasion,situation_type,behavior_score,trait_score,situation_strength,trait_x_situation,observed_regulation,contextual_constraint
PER00001,1,deadline_pressure,4.316,3.783,4.876,2.635,4.035,5.424
PER00001,2,team_meeting,3.688,3.561,5.400,2.747,3.216,4.143
PER00001,3,ambiguous_conflict,3.910,4.334,3.435,2.127,4.099,3.134
PER00001,4,public_presentation,3.517,3.797,4.766,2.585,3.557,4.746
PER00001,5,deadline_pressure,3.608,3.678,3.164,1.663,4.572,4.762
PER00001,6,team_meeting,3.885,3.932,4.010,2.252,3.600,5.128
PER00001,7,deadline_pressure,4.221,3.409,4.846,2.360,3.294,6.078
PER00001,8,family_obligation,4.250,3.867,5.077,2.805,4.867,5.152
PER00001,9,public_presentation,3.628,3.206,4.984,2.283,4.372,5.212
PER00001,10,family_obligation,3.992,3.376,2.392,1.154,4.040,5.473
PER00001,11,family_obligation,3.863,3.761,5.511,2.961,3.480,4.717
PER00001,12,team_meeting,4.753,4.160,5.059,3.006,3.610,4.006
PER00001,13,team_meeting,3.919,3.963,4.747,2.688,3.897,4.455
PER00001,14,creative_exploration,3.551,3.491,3.807,1.899,3.915,3.136
PER00002,1,deadline_pressure,4.085,3.125,4.798,2.142,4.308,5.187
PER00002,2,social_event,4.413,3.892,4.932,2.742,2.322,2.276
PER00002,3,family_obligation,4.116,4.057,3.889,2.254,3.655,4.086
PER00002,4,creative_exploration,3.419,3.036,2.853,1.237,2.478,2.432
PER00002,5,creative_exploration,3.855,3.227,2.917,1.345,3.998,2.185
PER00002,6,social_event,3.756,3.376,3.920,1.890,3.021,3.524
PER00002,7,social_event,4.045,3.369,4.303,2.071,1.802,2.125
PER00002,8,public_presentation,4.079,3.715,5.587,2.965,3.126,4.498
PER00002,9,quiet_work,5.401,4.098,4.652,2.723,3.892,5.693
PER00002,10,family_obligation,4.330,3.432,4.461,2.187,3.670,4.687
PER00002,11,family_obligation,4.621,4.684,5.723,3.829,3.514,4.430
PER00002,12,social_event,4.183,3.902,3.941,2.197,3.450,2.177
PER00002,13,quiet_work,3.992,3.598,4.589,2.359,3.607,5.700
PER00002,14,creative_exploration,4.386,3.839,3.523,1.932,3.878,2.669
PER00003,1,social_event,3.612,3.284,4.209,1.974,2.827,3.040
PER00003,2,social_event,3.746,2.846,4.222,1.717,3.789,2.569
PER00003,3,family_obligation,3.497,3.159,5.011,2.262,3.465,5.539
PER00003,4,quiet_work,3.566,3.382,2.971,1.436,4.358,6.907
PER00003,5,public_presentation,4.180,3.034,4.455,1.931,3.540,4.661
PER00003,6,ambiguous_conflict,4.632,3.843,4.685,2.572,3.980,3.491
PER00003,7,public_presentation,3.835,2.818,5.253,2.115,3.516,5.420
