person_id,conscientiousness_score,extraversion_score,neuroticism_score,identity_coherence,life_satisfaction,social_functioning,developmental_integration,measurement_reliability_index,identity_trait_alignment_index,person_situation_sensitivity_index,responsible_interpretation_index,mean_behavior_score,mean_situation_strength,mean_observed_regulation,mean_contextual_constraint
PER00001,4.325,4.912,4.545,3.046,2.992,3.263,2.790,7.852,3.824,4.325,5.373,3.936,4.434,3.897,4.683
PER00002,3.061,4.886,3.515,2.807,2.136,3.201,1.733,7.689,3.216,4.202,4.662,4.191,4.292,3.337,3.691
PER00003,2.821,2.291,1.102,2.355,3.538,3.169,2.875,7.688,3.545,4.123,5.487,3.937,4.543,3.705,4.400
PER00004,2.842,2.858,3.497,1.841,1.857,3.870,2.263,8.234,2.465,4.362,4.884,3.621,4.290,3.180,4.062
PER00005,4.317,4.263,2.375,3.064,3.046,2.809,2.251,7.615,3.737,4.914,4.927,4.066,4.676,4.112,5.114
PER00006,5.474,4.810,2.940,4.122,3.902,4.528,3.484,8.045,4.820,4.848,5.211,4.899,5.003,4.335,4.261
PER00007,5.716,5.337,3.536,3.349,3.052,3.164,3.183,8.511,3.900,4.937,5.533,4.728,4.696,4.675,4.322
PER00008,4.443,4.446,4.173,3.750,2.904,3.744,2.873,8.157,4.105,4.552,5.310,4.036,4.477,3.913,4.640
PER00009,2.768,3.755,3.944,2.394,2.404,2.890,2.804,7.512,3.208,4.318,4.402,3.855,4.830,3.252,4.238
PER00010,3.021,4.991,3.701,3.108,2.070,3.749,2.964,8.193,3.307,4.311,5.210,3.686,3.962,3.257,4.213
PER00011,4.386,5.686,4.696,2.877,2.054,3.066,2.672,7.500,3.209,4.742,4.761,3.852,4.174,3.481,4.079
PER00012,2.843,4.360,2.578,3.734,2.272,2.562,3.162,8.073,3.249,4.410,5.383,3.780,4.623,3.456,4.532
PER00013,2.848,4.638,4.042,2.487,2.293,4.171,2.743,8.626,3.400,4.472,5.533,4.021,4.625,3.167,4.017
PER00014,4.974,4.298,3.905,3.142,2.894,4.187,2.976,7.857,3.631,3.854,4.814,4.076,4.403,3.935,4.742
PER00015,4.128,4.417,6.522,2.045,1.236,3.189,3.263,8.591,3.498,4.298,5.170,3.885,4.188,3.017,3.707
PER00016,5.627,3.536,4.698,2.355,2.417,3.808,2.920,7.695,3.426,4.432,5.626,3.985,3.907,4.181,4.675
PER00017,2.296,4.576,3.336,2.559,1.981,2.871,2.886,7.565,3.228,4.806,5.049,3.596,4.611,3.230,4.661
PER00018,4.383,5.488,3.927,3.829,3.182,3.502,2.593,7.730,4.046,4.645,5.347,4.358,4.728,3.821,4.097
PER00019,3.276,3.640,2.645,1.913,2.648,3.746,2.737,7.414,2.371,4.258,4.979,3.902,4.677,3.529,4.601
PER00020,5.222,2.538,2.816,4.182,2.871,2.094,3.659,8.205,4.984,4.821,6.503,4.251,4.388,4.393,4.471
PER00021,2.700,3.730,6.912,2.203,1.000,2.222,1.591,7.633,2.438,3.360,4.377,3.259,4.131,2.751,4.803
PER00022,2.339,2.944,3.440,3.260,1.152,3.379,2.187,8.846,3.213,4.181,5.517,3.379,4.649,3.222,4.536
PER00023,3.090,3.006,4.172,1.723,1.877,3.625,2.462,6.754,2.568,4.459,4.291,3.699,4.162,3.185,4.191
PER00024,4.064,3.733,3.570,3.060,2.963,3.983,3.074,7.240,3.551,4.971,4.779,4.148,4.534,4.025,4.398
PER00025,3.686,3.712,3.141,2.758,1.922,3.355,3.777,6.984,3.919,4.203,5.481,3.955,4.196,3.981,4.471
PER00026,4.465,4.157,3.556,3.181,3.054,3.507,3.131,8.797,4.048,4.494,5.814,3.991,4.277,3.974,4.750
PER00027,3.840,4.432,4.476,2.137,1.000,2.953,2.274,7.485,2.894,4.303,4.681,3.834,4.478,3.515,4.176
PER00028,3.468,5.597,3.364,3.238,2.485,3.764,3.405,7.132,3.840,4.787,4.873,4.394,4.906,3.627,4.156
PER00029,4.067,5.099,3.753,3.564,3.403,3.992,3.551,7.766,4.157,4.644,5.717,3.833,4.532,3.636,4.385
PER00030,2.980,4.458,5.232,2.359,1.798,3.779,2.686,7.446,3.028,4.127,4.989,3.572,4.607,2.956,4.537
PER00031,4.822,5.980,4.213,4.129,3.301,3.732,2.637,7.459,4.544,4.626,5.188,3.973,4.064,4.013,4.155
PER00032,4.888,3.474,4.312,2.991,2.071,3.375,2.464,6.392,3.492,4.473,4.579,3.883,4.521,3.858,4.677
PER00033,5.469,1.652,3.316,3.686,2.131,3.110,3.453,8.052,4.517,5.110,5.565,4.390,4.436,4.745,4.891
PER00034,4.149,3.374,4.832,2.798,2.009,3.420,3.523,8.190,3.833,4.261,5.572,4.224,4.921,3.382,4.246
PER00035,3.374,5.058,3.285,3.418,1.723,3.151,2.741,8.388,3.072,4.540,5.236,4.074,4.814,3.672,4.362
PER00036,3.994,3.277,5.509,2.458,1.205,2.449,2.607,7.478,2.527,3.583,4.719,3.374,4.129,3.295,4.855
PER00037,3.454,2.619,2.448,3.203,2.784,3.867,2.957,7.710,3.207,4.619,5.688,3.989,4.612,3.529,4.053
PER00038,3.948,3.864,5.780,3.348,1.000,3.586,3.337,7.703,3.418,4.467,4.892,3.892,4.709,3.408,4.539
PER00039,3.555,2.828,3.048,3.196,1.947,3.427,3.227,7.999,3.762,4.764,5.779,3.991,4.657,3.705,4.444
