participant_id,social_context,relationship_domain,extraversion,agreeableness,conscientiousness,neuroticism,openness,empathy,self_regulation,attachment_security,perceived_support,relationship_satisfaction,social_functioning,loneliness,conflict_frequency,reciprocity_quality,reputation_trust
RS0001,secure_supportive,romantic,3.557,4.392,3.735,3.589,4.677,3.755,3.467,3.366,4.918,4.187,3.705,5.790,1.999,3.602,3.928
RS0002,secure_supportive,romantic,4.630,3.676,4.156,4.555,3.605,3.225,3.509,3.156,5.212,3.814,3.400,4.400,3.888,3.127,2.857
RS0003,secure_supportive,romantic,3.884,4.149,4.303,3.843,3.770,4.244,4.189,3.448,5.900,4.206,4.312,5.182,3.391,3.497,3.632
RS0004,secure_supportive,romantic,4.261,3.554,4.100,2.587,2.898,3.111,4.426,3.966,5.937,3.571,4.987,4.078,3.342,2.969,3.328
RS0005,secure_supportive,romantic,4.157,4.296,4.417,4.491,4.437,3.936,3.834,3.170,5.767,4.750,3.864,5.174,2.961,4.557,3.525
RS0006,secure_supportive,romantic,5.090,3.668,4.319,5.742,3.503,3.121,2.236,2.258,5.349,1.967,3.329,5.805,4.068,2.651,3.295
RS0007,secure_supportive,romantic,5.740,3.897,4.897,4.470,3.419,3.719,3.440,2.765,5.469,4.119,4.762,5.065,2.842,3.682,3.445
RS0008,secure_supportive,romantic,5.733,3.544,5.747,3.090,3.445,4.033,4.765,3.087,4.728,3.913,4.252,4.444,2.762,3.728,4.476
RS0009,secure_supportive,friendship,5.123,3.905,3.155,5.010,4.126,3.783,2.726,3.214,5.374,3.205,3.421,5.959,3.406,3.178,3.071
RS0010,secure_supportive,friendship,2.821,3.463,4.721,4.307,5.176,4.104,3.210,2.952,4.955,3.243,3.561,5.174,2.445,3.663,3.725
RS0011,secure_supportive,friendship,4.956,4.057,5.047,3.976,3.809,2.252,4.049,2.191,5.679,3.093,3.718,3.896,1.853,3.792,5.104
RS0012,secure_supportive,friendship,2.940,3.804,3.920,4.866,4.048,2.161,3.419,3.016,4.775,2.509,3.327,5.363,3.892,3.065,3.279
RS0013,secure_supportive,friendship,5.049,4.430,5.089,2.676,4.149,3.971,3.915,3.429,6.173,4.558,5.089,4.197,2.525,4.356,3.822
RS0014,secure_supportive,friendship,5.127,3.499,3.721,2.629,4.871,2.782,4.022,3.583,5.104,4.153,3.670,4.581,2.509,3.521,3.363
RS0015,secure_supportive,friendship,3.711,4.696,3.884,4.667,4.327,3.112,2.454,1.836,5.837,4.104,3.042,5.572,2.544,3.113,3.981
RS0016,secure_supportive,friendship,4.001,3.415,3.972,3.625,3.905,2.290,4.003,2.992,4.496,3.811,2.935,5.371,2.628,3.290,3.298
RS0017,secure_supportive,family,4.659,3.761,3.395,4.887,4.428,3.932,2.935,2.644,5.632,3.557,4.171,5.165,3.257,3.616,3.512
RS0018,secure_supportive,family,3.690,4.581,3.604,3.307,2.392,4.290,3.514,3.378,5.488,4.040,4.623,4.294,2.910,3.747,3.180
RS0019,secure_supportive,family,4.622,3.486,3.101,4.241,2.407,2.925,2.791,2.896,5.231,2.909,3.501,5.003,3.475,2.523,2.027
RS0020,secure_supportive,family,3.564,5.355,3.399,3.840,5.838,5.215,3.426,2.522,5.899,3.883,3.998,5.139,1.827,2.587,4.075
RS0021,secure_supportive,family,3.089,3.688,5.140,4.005,3.693,3.331,4.220,3.310,4.537,3.490,3.562,4.785,2.948,3.487,4.326
RS0022,secure_supportive,family,4.266,4.152,2.290,3.682,2.766,3.462,3.117,3.372,5.473,3.908,3.663,4.219,2.830,3.148,3.047
RS0023,secure_supportive,family,4.485,3.206,3.942,3.600,3.744,2.526,4.011,2.940,6.304,3.348,4.394,4.633,3.129,2.566,3.714
RS0024,secure_supportive,family,3.935,3.516,4.054,4.503,6.054,4.076,2.628,3.322,5.180,3.201,4.273,4.751,3.628,3.640,2.708
RS0025,secure_supportive,workplace,3.725,4.639,4.388,4.578,5.350,4.373,3.652,2.939,5.081,3.467,4.586,4.864,3.431,3.378,4.256
RS0026,secure_supportive,workplace,3.294,4.447,5.571,4.440,2.818,3.218,4.328,2.815,5.473,3.059,4.154,4.879,2.718,3.935,4.703
RS0027,secure_supportive,workplace,4.345,4.035,2.177,4.312,3.870,4.009,2.607,2.021,5.258,3.716,3.795,5.090,2.320,3.621,3.100
RS0028,secure_supportive,workplace,3.496,5.519,3.663,4.556,3.859,4.607,3.628,2.919,5.571,4.095,4.202,4.778,2.914,4.506,3.260
RS0029,secure_supportive,workplace,5.104,4.581,4.531,3.935,4.507,4.236,4.108,2.812,5.044,3.508,4.217,5.173,2.199,4.266,5.228
RS0030,secure_supportive,workplace,4.445,4.377,4.225,3.592,3.517,3.544,4.019,3.277,5.759,3.882,4.036,4.846,2.306,3.827,3.502
RS0031,secure_supportive,workplace,4.344,4.931,3.346,2.426,4.370,3.934,4.500,2.753,5.442,3.780,4.361,4.119,2.486,3.614,3.106
RS0032,secure_supportive,workplace,3.023,4.490,4.020,2.994,3.867,3.058,3.292,2.818,5.459,3.392,4.014,5.932,3.141,2.867,4.159
RS0033,secure_supportive,community,3.458,3.315,2.876,5.097,3.519,3.074,2.650,2.688,5.374,3.023,2.600,6.116,2.743,2.747,2.781
RS0034,secure_supportive,community,5.215,3.765,4.083,4.265,4.351,3.650,2.964,3.107,5.868,3.519,2.981,4.635,3.132,2.879,3.144
RS0035,secure_supportive,community,3.693,5.051,3.327,4.026,4.721,4.728,3.347,2.834,5.709,4.126,4.035,5.957,2.567,3.748,3.915
RS0036,secure_supportive,community,3.689,5.007,4.244,4.443,3.754,4.842,3.880,2.353,5.164,3.831,3.808,5.198,2.432,3.806,4.305
RS0037,secure_supportive,community,4.258,4.746,4.081,3.288,3.629,3.931,3.497,3.059,4.888,3.384,4.289,4.679,2.401,4.204,4.222
RS0038,secure_supportive,community,4.948,4.258,4.031,4.758,4.339,3.540,3.098,2.339,5.678,4.143,4.015,5.436,2.451,3.761,3.209
RS0039,secure_supportive,community,4.252,3.216,3.788,3.672,3.866,2.668,3.507,3.182,5.008,2.853,3.956,4.946,3.007,2.314,3.054
RS0040,secure_supportive,community,3.272,4.519,4.229,2.905,4.314,4.396,4.231,2.990,5.759,4.136,4.791,4.491,1.617,3.752,3.697
RS0041,secure_supportive,online_network,4.948,4.241,4.201,3.662,3.571,4.359,3.849,3.584,5.548,4.662,4.513,4.931,2.084,3.984,3.910
RS0042,secure_supportive,online_network,3.611,4.506,4.549,3.033,4.485,4.510,4.105,3.043,5.795,4.528,3.957,4.117,2.194,4.452,4.741
RS0043,secure_supportive,online_network,3.182,5.026,3.894,4.299,2.637,4.345,3.105,2.628,5.909,3.302,4.387,5.462,3.319,3.635,3.976
RS0044,secure_supportive,online_network,4.693,3.635,4.101,3.148,3.253,3.456,3.658,2.760,5.637,2.860,3.548,4.767,3.072,3.234,3.418
RS0045,secure_supportive,online_network,4.909,4.259,5.404,4.179,4.174,3.971,4.182,2.894,5.286,3.384,4.707,5.140,2.911,4.061,4.069
RS0046,secure_supportive,online_network,3.453,4.020,3.290,3.542,4.123,2.895,3.278,3.608,5.323,3.159,3.763,4.864,2.964,3.173,2.797
RS0047,secure_supportive,online_network,3.632,5.062,2.604,3.910,3.923,4.615,3.049,2.793,5.377,3.551,3.949,5.206,3.778,3.443,3.258
RS0048,secure_supportive,online_network,3.789,3.870,4.101,2.816,3.862,3.991,4.257,3.192,5.196,3.625,4.806,5.416,2.544,3.260,3.777
RS0049,high_stress_low_support,romantic,3.822,3.699,3.338,4.604,3.651,2.587,2.745,1.496,2.575,2.076,3.216,6.381,3.870,3.143,3.312
RS0050,high_stress_low_support,romantic,4.653,5.416,3.827,4.139,5.839,4.786,4.117,2.025,2.347,3.460,4.473,5.745,3.269,4.198,2.889
RS0051,high_stress_low_support,romantic,4.336,3.461,4.037,3.742,4.160,2.934,3.409,1.279,3.028,1.817,3.687,7.000,3.663,3.002,3.871
RS0052,high_stress_low_support,romantic,3.853,3.954,3.709,4.839,3.587,2.563,3.805,1.568,2.254,2.419,3.729,7.000,3.891,2.717,3.121
RS0053,high_stress_low_support,romantic,4.108,4.969,5.278,2.728,4.805,4.216,3.488,2.575,3.243,3.610,4.094,4.743,2.760,3.791,3.628
RS0054,high_stress_low_support,romantic,4.071,5.098,4.059,3.954,5.374,4.059,3.181,2.423,2.753,3.871,3.462,6.737,3.666,3.698,3.669
RS0055,high_stress_low_support,romantic,6.251,3.826,4.323,3.909,3.044,3.550,3.525,1.739,3.958,2.850,3.366,5.167,3.523,3.491,3.920
RS0056,high_stress_low_support,romantic,4.764,4.633,3.309,2.681,4.320,3.124,3.749,2.446,2.831,3.515,3.328,7.000,2.910,3.275,3.838
RS0057,high_stress_low_support,friendship,5.585,3.507,4.973,4.928,3.515,3.752,3.339,1.715,3.381,2.995,4.403,6.820,3.513,4.649,3.808
RS0058,high_stress_low_support,friendship,3.522,4.176,3.585,4.306,4.507,3.805,3.180,1.383,3.112,3.248,3.051,7.000,2.830,3.426,3.006
RS0059,high_stress_low_support,friendship,4.797,4.430,4.013,3.830,4.201,3.679,2.740,1.678,2.789,2.379,3.594,5.972,2.833,3.389,3.175
RS0060,high_stress_low_support,friendship,4.752,4.066,4.986,3.344,3.891,3.622,4.393,1.996,2.825,3.482,3.454,6.725,3.631,4.763,3.665
RS0061,high_stress_low_support,friendship,5.346,4.229,4.296,2.721,4.934,3.967,3.841,2.482,2.956,4.403,4.212,6.436,3.228,3.484,3.751
RS0062,high_stress_low_support,friendship,3.958,5.545,4.385,4.416,3.876,4.485,2.876,2.297,3.513,3.423,4.079,6.353,3.741,3.499,4.066
RS0063,high_stress_low_support,friendship,4.192,4.100,5.329,4.635,4.621,2.838,4.248,1.858,2.797,2.743,3.931,7.000,3.937,3.884,3.749
RS0064,high_stress_low_support,friendship,3.852,5.161,4.708,3.924,3.137,3.844,3.609,2.110,2.969,2.816,3.642,7.000,3.603,3.841,3.939
RS0065,high_stress_low_support,family,2.881,4.254,4.586,3.769,3.962,3.815,3.464,1.866,3.642,4.243,3.350,6.760,3.324,3.553,4.305
RS0066,high_stress_low_support,family,4.303,5.793,5.160,5.226,4.290,4.053,3.905,1.086,3.180,2.961,3.067,7.000,2.399,3.524,4.657
RS0067,high_stress_low_support,family,3.164,4.551,5.028,4.353,4.769,4.646,4.607,2.804,2.596,3.791,2.949,6.887,2.649,4.119,3.755
RS0068,high_stress_low_support,family,5.055,3.477,4.686,4.721,3.840,3.783,2.937,3.096,3.419,3.350,3.381,6.140,4.276,3.437,2.684
RS0069,high_stress_low_support,family,3.644,4.396,3.822,4.384,4.503,4.173,3.036,1.188,2.419,2.698,3.037,7.000,3.992,3.102,3.272
RS0070,high_stress_low_support,family,3.011,4.391,4.962,4.380,4.003,4.194,2.824,1.621,3.050,3.381,3.952,6.520,3.687,3.861,4.207
RS0071,high_stress_low_support,family,4.944,4.244,4.229,4.610,4.820,3.283,3.903,2.061,3.221,2.865,4.229,6.651,3.305,3.766,4.180
RS0072,high_stress_low_support,family,3.576,3.940,4.858,5.114,4.664,3.157,2.741,1.969,2.727,2.402,3.966,6.828,4.228,3.242,3.502
RS0073,high_stress_low_support,workplace,4.317,5.002,3.505,4.149,3.429,3.517,2.952,1.342,3.994,3.137,3.232,6.300,2.833,3.474,4.004
RS0074,high_stress_low_support,workplace,4.643,4.766,4.121,4.025,4.069,4.367,3.061,2.376,2.741,3.013,3.482,6.344,3.209,3.482,4.373
RS0075,high_stress_low_support,workplace,4.769,4.990,3.885,3.293,4.396,4.831,3.222,2.509,2.796,3.304,4.027,6.611,2.886,4.138,3.876
RS0076,high_stress_low_support,workplace,4.069,4.689,4.795,4.722,3.843,4.081,2.974,1.359,2.507,2.764,3.527,7.000,3.537,3.576,4.107
RS0077,high_stress_low_support,workplace,2.582,4.969,4.636,4.338,3.735,3.701,4.558,1.764,1.989,2.571,3.773,6.996,3.757,4.542,3.460
RS0078,high_stress_low_support,workplace,5.466,4.382,5.172,4.762,2.831,4.106,2.614,2.013,3.124,2.888,3.448,6.797,3.278,3.484,3.820
RS0079,high_stress_low_support,workplace,4.331,4.771,3.853,4.591,5.590,4.305,3.019,1.437,3.579,2.299,3.863,7.000,4.435,4.058,3.076
RS0080,high_stress_low_support,workplace,2.172,4.738,3.451,4.597,2.957,3.399,2.787,2.204,2.501,2.393,3.424,7.000,2.943,3.671,3.305
RS0081,high_stress_low_support,community,3.352,3.911,3.861,5.380,3.392,3.022,2.773,1.541,2.622,1.829,2.250,7.000,3.961,2.866,2.359
RS0082,high_stress_low_support,community,5.124,5.464,4.649,4.365,4.070,4.700,3.709,1.565,3.226,3.922,3.514,6.247,2.745,3.724,3.301
RS0083,high_stress_low_support,community,4.222,4.364,4.355,3.415,4.700,4.756,4.578,3.082,3.080,4.059,3.941,5.952,2.823,4.571,4.532
RS0084,high_stress_low_support,community,3.321,4.856,2.496,3.338,3.809,4.239,2.925,1.177,2.584,2.608,3.645,6.864,3.454,3.474,3.153
RS0085,high_stress_low_support,community,5.413,4.753,5.256,4.075,4.077,4.644,3.644,2.389,2.389,3.664,4.248,7.000,2.920,4.374,3.875
RS0086,high_stress_low_support,community,3.838,5.229,3.184,2.394,3.830,4.512,3.572,2.304,3.135,3.355,2.651,5.598,2.588,3.736,4.400
RS0087,high_stress_low_support,community,3.552,4.684,4.842,3.790,3.681,3.910,3.326,2.054,2.647,3.600,3.688,6.934,2.788,4.018,4.216
RS0088,high_stress_low_support,community,5.148,3.193,2.924,4.401,4.063,2.881,2.730,1.802,3.208,2.758,3.432,7.000,3.432,3.501,2.894
RS0089,high_stress_low_support,online_network,4.965,2.692,4.419,3.884,3.637,3.321,3.499,1.392,3.007,2.559,4.130,6.914,3.208,2.448,3.661
RS0090,high_stress_low_support,online_network,4.995,3.380,4.873,4.040,4.347,3.541,3.434,1.686,3.168,2.511,3.204,5.742,2.860,3.453,4.544
RS0091,high_stress_low_support,online_network,3.911,3.401,3.785,4.048,4.380,3.597,3.790,1.766,3.129,2.716,3.238,6.632,3.143,4.187,3.464
RS0092,high_stress_low_support,online_network,3.671,4.806,3.715,3.333,4.284,4.321,2.968,1.583,3.679,3.428,4.036,7.000,3.035,3.666,3.419
RS0093,high_stress_low_support,online_network,5.050,4.707,4.386,4.593,3.748,4.204,3.245,1.543,2.854,2.536,4.112,6.473,3.629,4.281,3.800
RS0094,high_stress_low_support,online_network,4.271,3.001,5.203,4.386,4.131,2.973,4.320,1.836,2.637,2.932,3.577,6.940,2.951,3.440,3.362
RS0095,high_stress_low_support,online_network,3.272,4.007,2.875,4.280,5.360,3.876,3.089,2.287,2.636,2.835,2.607,6.411,3.898,3.104,1.968
RS0096,high_stress_low_support,online_network,2.476,5.062,5.855,4.107,4.999,4.802,3.567,2.756,2.076,3.578,3.196,6.806,2.904,4.153,4.894
RS0097,family_obligation_dense,romantic,4.168,3.072,3.539,3.950,4.083,3.507,2.786,2.256,4.678,2.533,3.281,5.533,4.502,2.574,3.121
RS0098,family_obligation_dense,romantic,3.955,3.756,4.269,4.986,5.449,3.078,3.223,2.012,4.184,2.210,3.671,6.607,3.507,3.516,3.615
RS0099,family_obligation_dense,romantic,4.130,3.361,3.452,4.195,3.717,3.144,2.850,1.873,4.752,2.742,3.388,6.464,2.953,2.698,2.972
RS0100,family_obligation_dense,romantic,4.839,5.066,3.625,4.167,4.165,4.528,3.777,2.467,5.079,4.456,4.119,5.531,3.071,4.085,3.473
RS0101,family_obligation_dense,romantic,3.324,5.804,3.397,3.646,3.011,4.907,3.479,2.220,4.731,4.155,4.483,6.510,3.073,3.381,3.529
RS0102,family_obligation_dense,romantic,3.859,4.572,4.803,4.366,4.150,3.487,4.059,2.280,4.342,2.855,4.158,7.000,3.163,4.039,3.482
RS0103,family_obligation_dense,romantic,4.771,5.323,4.625,3.786,3.921,3.141,4.012,3.721,4.350,3.421,3.832,6.692,3.382,4.556,3.700
RS0104,family_obligation_dense,romantic,2.789,3.840,4.646,4.327,4.104,4.000,3.576,2.667,5.230,3.744,3.210,5.620,3.636,3.167,3.547
RS0105,family_obligation_dense,friendship,3.282,3.851,4.266,5.533,5.202,2.648,2.461,2.423,3.708,2.624,3.244,6.213,3.262,3.465,2.937
RS0106,family_obligation_dense,friendship,4.524,4.376,5.620,3.985,3.213,3.493,3.798,2.840,4.908,3.626,3.916,5.804,3.119,4.257,3.317
RS0107,family_obligation_dense,friendship,4.569,3.839,4.239,3.006,3.993,3.634,3.393,3.085,4.905,3.901,4.075,4.537,2.629,3.147,3.632
RS0108,family_obligation_dense,friendship,3.924,5.360,2.859,4.330,3.621,3.763,2.979,2.536,3.761,3.867,3.769,5.555,2.961,3.407,3.615
RS0109,family_obligation_dense,friendship,3.667,4.287,4.297,3.982,4.399,3.905,2.591,2.742,4.854,3.441,4.013,6.157,3.586,2.831,2.986
RS0110,family_obligation_dense,friendship,5.185,5.019,3.949,4.456,4.812,3.806,3.065,2.402,4.407,3.351,3.819,5.901,2.931,4.100,3.887
RS0111,family_obligation_dense,friendship,4.919,3.685,3.925,3.654,3.613,3.337,3.257,2.847,4.160,3.674,2.943,5.199,2.700,2.885,3.211
RS0112,family_obligation_dense,friendship,4.072,5.029,4.540,3.843,4.277,4.968,3.596,2.570,5.214,4.290,4.772,5.793,2.569,3.880,3.289
RS0113,family_obligation_dense,family,3.807,2.857,4.774,4.395,4.275,2.854,4.395,2.003,4.308,2.634,4.158,6.089,3.839,3.186,2.877
RS0114,family_obligation_dense,family,3.205,3.936,3.708,3.939,4.347,3.146,3.202,2.509,3.955,2.990,3.555,6.419,2.837,3.109,3.153
RS0115,family_obligation_dense,family,4.086,4.097,3.954,3.965,5.630,3.734,4.526,2.354,4.504,3.503,3.164,5.422,3.007,4.241,3.994
RS0116,family_obligation_dense,family,3.238,3.932,4.340,4.861,3.783,3.019,2.914,2.600,3.872,2.676,3.268,6.904,3.755,3.406,3.635
RS0117,family_obligation_dense,family,2.750,4.411,4.507,4.878,4.621,3.854,4.210,1.897,4.233,3.535,2.605,6.673,4.122,3.664,3.878
RS0118,family_obligation_dense,family,3.400,3.196,3.850,4.544,4.489,2.567,4.115,3.631,4.563,2.641,3.705,6.750,2.756,2.779,2.887
RS0119,family_obligation_dense,family,4.306,4.702,4.218,3.812,2.993,4.045,3.463,2.074,4.507,3.763,3.368,6.021,4.102,3.289,4.127
RS0120,family_obligation_dense,family,2.582,3.270,5.489,4.037,3.755,3.414,4.216,2.696,3.563,2.377,3.790,7.000,3.499,4.045,4.495
RS0121,family_obligation_dense,workplace,2.429,3.081,3.534,4.177,3.204,2.372,3.190,2.257,3.646,2.740,2.603,6.517,3.300,2.825,2.311
RS0122,family_obligation_dense,workplace,4.555,3.926,3.300,4.026,3.940,3.867,3.029,2.142,4.389,3.234,3.659,6.699,3.469,3.738,2.502
RS0123,family_obligation_dense,workplace,3.456,5.394,4.224,4.863,3.286,4.459,2.899,1.549,4.509,3.254,3.957,6.776,3.097,5.206,3.949
RS0124,family_obligation_dense,workplace,4.528,4.431,4.118,3.041,3.686,3.256,3.216,2.441,4.577,3.197,4.065,5.754,3.151,4.341,3.944
RS0125,family_obligation_dense,workplace,3.453,4.344,5.169,2.963,3.194,3.359,3.837,2.934,4.155,3.006,4.673,5.685,2.880,3.722,4.263
RS0126,family_obligation_dense,workplace,4.194,4.092,3.906,4.028,3.420,2.848,4.253,2.854,5.091,2.999,3.939,5.063,3.496,4.005,3.697
RS0127,family_obligation_dense,workplace,3.644,3.971,3.392,3.604,4.315,3.893,4.282,3.567,3.844,3.549,3.958,6.151,3.488,3.187,2.555
RS0128,family_obligation_dense,workplace,3.039,4.516,3.263,4.345,4.229,3.898,3.241,2.586,3.637,3.159,2.158,6.308,3.178,3.890,3.929
RS0129,family_obligation_dense,community,3.516,4.172,4.133,3.305,2.137,2.920,3.596,3.093,4.191,3.054,3.005,6.194,2.975,3.592,3.491
RS0130,family_obligation_dense,community,4.383,3.739,2.757,3.718,3.410,4.011,3.214,2.158,4.348,3.590,3.057,6.200,2.754,2.677,2.461
RS0131,family_obligation_dense,community,4.592,3.871,4.536,4.351,3.282,2.874,3.525,3.174,5.018,2.659,4.395,5.085,3.843,2.818,4.301
RS0132,family_obligation_dense,community,4.131,4.956,4.131,4.271,3.849,4.250,2.859,2.775,4.552,4.023,3.928,6.578,2.689,2.533,4.501
RS0133,family_obligation_dense,community,4.310,4.153,3.177,4.163,2.980,3.503,3.312,2.922,5.126,3.540,3.111,5.741,3.444,3.337,3.260
RS0134,family_obligation_dense,community,3.664,5.149,3.428,3.765,4.921,4.626,4.318,3.189,4.251,4.130,3.804,5.567,2.410,4.101,3.841
RS0135,family_obligation_dense,community,3.839,3.087,4.044,5.514,3.412,2.921,2.059,1.680,4.293,2.759,2.654,5.093,4.491,2.385,2.247
RS0136,family_obligation_dense,community,4.165,3.886,5.431,3.472,3.230,3.331,4.421,3.545,3.609,3.201,3.460,5.161,2.617,3.846,3.734
RS0137,family_obligation_dense,online_network,2.982,3.513,3.623,4.625,4.005,2.665,4.221,3.157,3.957,2.636,3.557,6.332,3.666,3.044,3.613
RS0138,family_obligation_dense,online_network,3.888,4.056,3.909,3.063,4.607,3.682,3.788,3.369,4.327,3.668,4.124,5.188,2.495,3.370,3.526
RS0139,family_obligation_dense,online_network,3.851,5.145,4.782,3.424,4.633,3.873,3.625,3.073,4.080,4.025,4.395,4.239,2.329,4.019,4.097
RS0140,family_obligation_dense,online_network,5.189,3.643,6.408,4.293,3.807,3.764,3.998,2.803,4.897,2.972,4.475,5.177,3.727,5.048,4.374
RS0141,family_obligation_dense,online_network,4.300,5.268,4.489,4.007,3.388,3.392,4.275,1.756,4.371,3.277,4.799,6.555,2.888,3.769,3.962
RS0142,family_obligation_dense,online_network,4.550,4.479,3.779,4.546,4.187,3.496,2.728,2.315,3.724,3.014,3.501,6.695,3.890,3.194,3.325
RS0143,family_obligation_dense,online_network,4.169,5.699,4.903,3.321,4.446,3.879,3.157,3.889,5.777,3.639,4.327,4.114,2.539,4.152,3.821
RS0144,family_obligation_dense,online_network,2.958,3.766,3.614,3.516,4.522,4.048,3.955,2.136,3.531,3.211,3.851,5.780,3.412,2.802,2.987
RS0145,mobile_fragmented,romantic,4.214,3.412,4.604,3.157,3.868,2.734,3.966,1.648,2.986,2.054,3.569,5.490,3.703,2.781,4.116
RS0146,mobile_fragmented,romantic,5.169,4.402,6.083,4.714,5.507,3.866,4.554,2.445,4.135,2.863,4.491,5.767,3.196,4.501,4.486
RS0147,mobile_fragmented,romantic,5.338,3.305,4.722,5.736,3.358,2.827,2.931,1.809,2.452,2.658,3.564,6.472,4.579,3.325,3.274
RS0148,mobile_fragmented,romantic,3.688,3.467,2.912,4.606,5.417,3.718,3.592,2.176,2.612,2.399,2.590,6.326,3.752,3.864,3.077
RS0149,mobile_fragmented,romantic,4.475,4.715,5.202,3.958,4.413,3.606,3.721,2.573,3.167,2.797,3.717,5.920,1.967,3.695,4.618
RS0150,mobile_fragmented,romantic,3.411,3.769,4.323,4.442,3.548,3.298,3.095,1.748,2.396,2.556,3.152,6.064,3.961,3.781,3.195
