person_id,assessment_context,extraversion,agreeableness,conscientiousness,neuroticism,openness,extraversion_category,conscientiousness_category,neuroticism_category,profile_type,synthetic_cluster,nearest_threshold_distance,near_threshold_boundary,cluster_boundary_margin,near_cluster_boundary,dimensional_signal_strength,information_loss_index,well_being,collaboration_score,reflective_utility_score
TTD00001,research_methods_context,5.552,5.574,5.890,3.789,4.559,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.119,1,0.146,1,1.157,1.642,3.569,4.699,1.847
TTD00002,research_methods_context,4.906,6.125,6.246,3.209,4.854,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.461,0,0.559,0,1.384,0.743,4.080,5.484,1.578
TTD00003,research_methods_context,4.725,6.071,4.766,3.310,5.346,higher,higher,lower,mixed_dimensional_profile,social_collaborative_profile,0.360,0,0.195,1,1.120,1.246,4.558,5.033,1.000
TTD00004,research_methods_context,5.074,4.693,6.020,3.114,4.823,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.363,0,0.835,0,1.099,0.900,3.687,4.549,1.201
TTD00005,research_methods_context,4.464,4.425,5.085,2.473,4.098,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.095,1,0.518,1,0.720,2.042,3.570,3.974,2.061
TTD00006,research_methods_context,4.737,5.850,5.454,2.868,5.435,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.407,0,0.648,0,1.321,0.772,4.672,5.222,1.881
TTD00007,research_methods_context,6.114,5.330,5.756,2.313,3.975,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.305,0,0.145,1,1.382,1.104,4.392,5.498,1.397
TTD00008,research_methods_context,5.268,5.578,5.391,3.123,5.517,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.547,0,0.217,1,1.326,1.130,3.513,5.451,1.556
TTD00009,research_methods_context,4.925,5.140,6.434,1.454,5.746,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.595,0,1.292,0,1.758,0.607,4.901,4.407,1.437
TTD00010,research_methods_context,5.615,5.357,5.094,1.757,4.382,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.052,1,0.348,1,1.338,1.544,4.368,5.056,1.282
TTD00011,research_methods_context,3.923,5.882,5.872,2.017,5.574,moderate,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.253,0,1.171,0,1.478,0.703,5.055,4.728,1.408
TTD00012,research_methods_context,5.346,5.280,5.605,2.594,4.453,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.123,1,0.645,0,1.218,1.246,4.063,5.571,1.860
TTD00013,research_methods_context,4.075,5.557,5.717,2.773,5.337,moderate,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.255,0,1.062,0,1.182,0.847,4.964,5.490,1.044
TTD00014,research_methods_context,4.861,4.798,4.938,2.305,3.717,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.047,1,0.383,1,0.915,1.824,3.588,4.028,1.484
TTD00015,research_methods_context,4.633,4.824,5.231,3.017,6.023,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.303,0,0.639,0,1.139,0.874,3.815,4.540,1.073
TTD00016,research_methods_context,5.933,4.444,5.492,1.000,4.303,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.027,1,0.618,0,1.434,1.141,3.566,5.146,1.176
TTD00017,research_methods_context,4.937,5.482,4.879,2.245,3.929,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.259,0,0.249,1,1.025,1.313,3.836,6.089,1.810
TTD00018,research_methods_context,4.512,4.809,5.924,2.770,4.100,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.182,0,0.940,0,0.915,1.044,3.955,4.099,1.378
TTD00019,research_methods_context,5.482,5.212,5.673,3.713,5.514,higher,higher,moderate,social_collaborative_type,resilient_high_regulation_profile,0.043,1,0.028,1,1.234,1.598,3.585,4.764,1.044
TTD00020,research_methods_context,5.672,4.446,6.890,2.238,5.773,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.116,1,0.999,0,1.709,1.042,4.022,5.943,1.441
TTD00021,research_methods_context,3.728,5.114,5.717,3.334,5.610,moderate,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.058,1,0.530,1,1.075,1.696,3.939,4.068,2.435
TTD00022,research_methods_context,6.238,4.513,5.180,2.733,5.907,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.183,0,0.019,1,1.421,1.087,3.361,4.806,1.257
TTD00023,research_methods_context,2.032,4.532,4.946,5.865,5.097,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.202,0,1.030,0,1.282,0.792,2.387,3.459,1.703
TTD00024,research_methods_context,3.683,4.168,5.480,5.644,4.655,moderate,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.013,1,1.235,0,0.853,1.525,2.153,3.694,2.169
TTD00025,research_methods_context,2.497,4.385,5.419,5.544,4.000,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.055,1,1.817,0,0.970,1.416,1.676,3.386,2.058
TTD00026,research_methods_context,2.430,4.531,4.524,4.571,5.150,lower,higher,higher,mixed_dimensional_profile,open_reflective_introverted_profile,0.194,0,0.437,1,0.869,1.448,3.360,4.440,1.612
TTD00027,research_methods_context,2.204,4.750,6.459,5.129,4.050,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.280,0,1.799,0,1.237,0.816,3.150,4.460,1.550
TTD00028,research_methods_context,3.389,5.371,5.827,5.886,4.143,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.187,0,1.927,0,1.168,0.856,2.182,3.848,1.800
TTD00029,research_methods_context,1.987,5.854,4.960,4.014,4.635,lower,higher,moderate,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.305,0,0.214,1,1.095,1.262,3.227,4.010,1.797
TTD00030,research_methods_context,3.271,4.594,5.374,6.249,4.279,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.051,1,1.849,0,1.045,1.357,2.817,4.057,1.180
TTD00031,research_methods_context,2.244,5.674,3.986,5.189,3.664,lower,moderate,higher,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.006,1,0.711,0,0.994,1.397,2.162,3.437,1.790
TTD00032,research_methods_context,3.264,3.987,4.447,5.311,4.714,lower,higher,higher,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.117,1,0.370,1,0.644,2.154,2.693,3.499,1.403
TTD00033,research_methods_context,1.657,4.703,5.329,5.346,3.271,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.373,0,1.413,0,1.290,0.788,2.480,3.795,1.549
TTD00034,research_methods_context,2.373,4.711,5.754,5.305,5.309,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.381,0,1.153,0,1.341,0.763,2.991,3.262,1.304
TTD00035,research_methods_context,2.519,4.631,5.183,5.388,3.425,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.245,0,1.255,0,1.052,0.933,2.901,3.105,1.593
TTD00036,research_methods_context,3.205,5.113,4.904,5.601,4.436,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.106,1,1.594,0,0.970,1.416,2.980,4.463,2.597
TTD00037,research_methods_context,2.719,4.772,5.027,6.206,6.166,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.442,0,0.447,1,1.490,1.058,3.057,2.297,2.632
TTD00038,research_methods_context,2.292,5.225,5.580,5.659,5.292,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.895,0,1.332,0,1.493,0.697,3.398,4.531,2.475
TTD00039,research_methods_context,3.070,5.237,4.966,5.672,4.121,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.209,0,1.634,0,0.985,0.984,3.442,4.076,1.938
TTD00040,research_methods_context,3.055,4.828,5.842,4.697,4.006,lower,higher,higher,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.324,0,1.214,0,0.864,1.094,2.955,4.186,1.772
TTD00041,research_methods_context,3.118,4.449,6.142,4.762,5.161,lower,higher,higher,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.119,1,0.950,0,1.079,1.333,3.122,4.604,1.716
TTD00042,research_methods_context,3.820,5.278,5.305,3.892,3.530,moderate,higher,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.140,1,0.340,1,0.668,2.116,3.264,4.787,1.605
TTD00043,research_methods_context,2.602,4.783,5.254,6.095,4.301,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.029,1,2.073,0,1.166,1.277,2.658,3.750,1.987
TTD00044,research_methods_context,3.481,5.813,5.595,5.404,4.679,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.189,0,1.541,0,1.202,0.836,3.194,4.524,1.390
TTD00045,research_methods_context,4.918,3.312,2.876,5.443,3.768,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.098,1,1.373,0,0.881,1.496,2.136,3.974,1.793
TTD00046,research_methods_context,4.807,2.592,3.282,4.578,4.446,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.116,1,0.962,0,0.792,1.592,1.210,3.208,2.112
TTD00047,research_methods_context,5.091,3.025,3.320,5.020,5.059,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.350,0,1.109,0,0.965,1.000,1.066,3.483,2.023
TTD00048,research_methods_context,5.323,1.543,2.211,5.767,3.832,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.162,1,1.872,0,1.501,1.114,1.000,2.815,1.715
TTD00049,research_methods_context,5.099,3.301,2.714,4.920,3.617,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.053,1,1.459,0,0.878,1.500,1.849,3.753,1.488
TTD00050,research_methods_context,5.843,1.867,3.200,5.148,3.940,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.270,0,1.627,0,1.197,0.839,1.000,3.582,1.000
TTD00051,research_methods_context,5.024,3.027,2.568,5.752,4.703,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.373,0,1.742,0,1.177,0.850,1.115,3.454,1.487
TTD00052,research_methods_context,6.327,2.452,2.915,5.469,3.461,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.209,0,1.768,0,1.394,0.739,1.000,3.814,1.449
TTD00053,research_methods_context,5.038,2.922,1.397,5.009,3.581,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.089,1,1.728,0,1.229,1.240,1.079,3.731,1.645
TTD00054,research_methods_context,5.677,3.704,2.450,5.724,4.415,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.034,1,1.731,0,1.132,1.298,1.063,3.642,1.870
TTD00055,research_methods_context,6.071,4.127,2.508,4.756,3.540,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.130,1,1.186,0,0.981,1.407,1.013,3.721,1.642
TTD00056,research_methods_context,4.789,2.101,2.357,4.890,4.118,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.212,0,1.645,0,1.068,0.921,1.000,2.534,1.241
TTD00057,research_methods_context,4.782,2.714,2.644,5.162,4.712,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.382,0,1.630,0,1.060,0.927,1.828,3.441,1.540
TTD00058,research_methods_context,5.575,3.397,3.355,5.252,4.773,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.273,0,1.276,0,0.969,0.997,1.309,3.379,1.000
TTD00059,research_methods_context,4.405,4.559,3.435,5.193,3.824,higher,lower,higher,mixed_dimensional_profile,mixed_boundary_profile,0.075,1,0.378,1,0.580,2.268,1.158,3.759,2.801
TTD00060,research_methods_context,5.195,3.055,1.768,5.397,3.680,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.010,1,1.881,0,1.218,1.247,1.000,3.355,2.143
TTD00061,research_methods_context,6.132,2.458,2.212,4.251,3.598,higher,lower,moderate,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.072,1,1.699,0,1.223,1.244,1.000,3.676,1.827
TTD00062,research_methods_context,5.618,2.478,2.034,5.446,4.397,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.067,1,2.165,0,1.390,1.160,1.213,2.524,1.503
TTD00063,research_methods_context,5.847,3.615,3.174,4.569,3.691,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.021,1,1.029,0,0.787,1.597,1.362,4.052,1.971
TTD00064,research_methods_context,4.371,3.138,2.812,5.477,5.631,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.041,1,0.916,0,1.106,1.315,1.385,2.441,1.788
TTD00065,research_methods_context,4.938,2.487,2.960,4.674,4.247,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.083,1,1.431,0,0.882,1.495,1.334,4.075,1.988
TTD00066,research_methods_context,4.310,2.677,1.893,5.245,3.626,moderate,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.020,1,1.386,0,1.072,1.338,1.035,2.623,1.829
TTD00067,research_methods_context,2.092,4.166,4.238,4.162,5.950,lower,moderate,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.092,1,1.767,0,0.885,1.493,2.355,2.941,2.262
TTD00068,research_methods_context,1.068,4.340,3.738,4.360,5.798,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.010,1,1.235,0,1.138,1.294,3.247,2.726,1.203
TTD00069,research_methods_context,2.420,4.717,4.197,4.637,5.460,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.133,1,0.942,0,0.918,1.461,3.185,3.069,1.315
TTD00070,research_methods_context,2.384,2.906,4.670,3.827,5.906,lower,higher,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.157,1,1.171,0,1.092,1.324,2.688,3.923,2.080
TTD00071,research_methods_context,3.046,3.535,4.473,4.441,6.259,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.111,1,1.496,0,0.918,1.461,2.929,2.934,2.195
TTD00072,research_methods_context,2.751,4.250,3.734,5.347,6.455,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.064,1,1.230,0,1.113,1.310,1.897,3.236,2.040
TTD00073,research_methods_context,2.684,4.183,4.901,4.415,5.397,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.085,1,0.593,0,0.842,1.536,2.588,3.652,2.167
TTD00074,research_methods_context,2.130,4.157,5.193,4.720,5.883,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.173,1,0.491,1,1.165,1.638,3.111,4.026,2.067
TTD00075,research_methods_context,2.727,4.396,4.402,4.520,6.338,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.066,1,1.761,0,0.986,1.403,3.418,3.931,1.494
TTD00076,research_methods_context,3.118,3.671,4.508,4.073,5.748,lower,higher,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.001,1,1.112,0,0.708,1.698,3.221,3.192,2.374
TTD00077,research_methods_context,1.948,4.383,3.015,4.331,5.331,lower,lower,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.001,1,1.125,0,1.017,1.379,2.632,2.335,1.502
TTD00078,research_methods_context,2.250,3.842,3.797,4.635,5.961,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.127,1,1.597,0,0.941,1.441,2.009,2.886,1.000
TTD00079,research_methods_context,2.502,4.539,4.920,4.002,5.011,lower,higher,moderate,mixed_dimensional_profile,open_reflective_introverted_profile,0.209,0,0.411,1,0.794,1.529,2.992,3.221,1.603
TTD00080,research_methods_context,2.350,4.542,4.223,5.318,6.163,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.107,1,0.842,0,1.179,1.269,2.160,3.296,1.223
