person_id,self_system_context,self_warmth,self_conscientiousness,self_emotional_stability,self_openness,other_warmth,other_conscientiousness,other_emotional_stability,other_openness,actual_self,ideal_self,ought_self,self_esteem,social_recognition,external_devaluation,well_being,warmth_gap,conscientiousness_gap,emotional_stability_gap,openness_gap,self_other_gap_mean,self_knowledge_accuracy,actual_ideal_discrepancy,actual_ought_discrepancy,total_self_discrepancy,self_concept_positivity
SCS0001,recognized_secure_self_context,6.053,6.315,6.121,5.805,5.563,6.325,5.495,6.093,6.544,7.000,7.000,4.552,5.129,1.100,2.939,0.490,0.011,0.627,0.288,0.354,0.941,0.456,0.456,0.456,6.074
SCS0002,recognized_secure_self_context,6.183,5.961,6.270,6.384,5.677,5.798,5.675,6.415,5.990,6.514,6.178,5.027,5.128,1.479,3.303,0.506,0.163,0.594,0.031,0.323,0.946,0.524,0.188,0.356,6.199
SCS0003,recognized_secure_self_context,5.481,6.222,5.622,7.000,4.820,6.272,5.208,6.718,5.756,6.503,6.147,4.472,5.215,1.690,2.534,0.661,0.050,0.413,0.282,0.352,0.941,0.747,0.391,0.569,6.081
SCS0004,recognized_secure_self_context,5.590,6.408,5.807,5.532,5.977,6.098,5.542,5.046,5.559,6.007,6.049,4.251,4.897,1.508,3.280,0.387,0.311,0.266,0.486,0.362,0.940,0.449,0.490,0.469,5.834
SCS0005,recognized_secure_self_context,6.360,5.918,5.449,4.912,6.459,5.948,6.108,5.101,5.885,6.529,6.055,3.657,5.545,1.757,2.562,0.099,0.029,0.658,0.189,0.244,0.959,0.644,0.169,0.406,5.660
SCS0006,recognized_secure_self_context,5.899,5.691,6.302,6.112,5.034,5.428,6.134,5.890,6.421,7.000,6.746,4.053,5.033,1.000,3.128,0.865,0.263,0.168,0.222,0.380,0.937,0.579,0.325,0.452,6.001
SCS0007,recognized_secure_self_context,7.000,6.415,6.190,5.778,5.938,5.619,5.431,5.501,6.050,6.749,7.000,4.193,5.195,1.326,2.989,1.062,0.795,0.759,0.277,0.723,0.879,0.699,0.950,0.824,6.346
SCS0008,recognized_secure_self_context,6.922,6.148,6.323,6.288,5.912,5.345,4.606,5.037,6.385,7.000,6.714,5.294,5.620,1.000,3.710,1.011,0.803,1.717,1.251,1.195,0.801,0.615,0.329,0.472,6.420
SCS0009,recognized_secure_self_context,6.347,5.608,5.594,6.605,5.419,4.643,4.134,5.819,6.242,7.000,7.000,4.911,4.785,1.146,3.369,0.928,0.965,1.460,0.786,1.035,0.828,0.758,0.758,0.758,6.039
SCS0010,recognized_secure_self_context,6.585,6.282,6.828,6.253,5.440,5.147,6.341,5.369,6.831,7.000,7.000,4.722,4.613,1.000,3.076,1.145,1.135,0.487,0.884,0.913,0.848,0.169,0.169,0.169,6.487
