person_id,narrative_context,redemption,contamination,coherence,agency,communion,meaning_making,narrative_flexibility,defensive_rigidity,self_continuity,well_being,narrative_growth_orientation,narrative_burden,narrative_integration,redemptive_agency_balance
NIS0001,recognized_life_story_context,5.593,1.000,5.835,6.111,5.812,6.950,5.792,1.310,4.651,6.004,6.218,1.155,5.426,9.394
NIS0002,recognized_life_story_context,5.805,1.000,6.176,6.503,5.866,5.898,6.041,1.289,4.839,5.028,6.069,1.145,5.685,10.019
NIS0003,recognized_life_story_context,4.722,1.769,6.005,6.353,6.141,7.000,5.666,1.259,5.269,4.917,6.025,1.514,5.646,8.047
NIS0004,recognized_life_story_context,4.658,1.000,6.165,6.163,5.725,6.568,5.753,1.746,4.946,5.094,5.796,1.373,5.622,8.075
NIS0005,recognized_life_story_context,6.162,1.439,5.732,6.391,5.993,6.515,6.248,2.032,5.281,5.321,6.356,1.736,5.753,9.082
NIS0006,recognized_life_story_context,5.411,1.000,6.294,6.421,5.255,7.000,5.835,1.616,5.396,5.195,6.277,1.308,5.842,9.215
NIS0007,recognized_life_story_context,3.434,1.609,5.431,4.701,4.824,4.879,4.506,2.853,4.048,4.094,4.338,2.231,4.662,3.673
NIS0008,recognized_life_story_context,3.370,3.215,4.295,3.951,3.839,5.418,3.960,3.341,3.206,2.539,4.246,3.278,3.821,0.765
NIS0009,recognized_life_story_context,3.152,2.322,4.178,5.836,4.439,5.220,4.644,2.629,3.607,3.876,4.736,2.476,4.143,4.036
NIS0010,recognized_life_story_context,3.138,2.851,4.161,4.148,5.060,4.746,4.358,3.097,3.528,3.828,4.011,2.974,4.016,1.337
NIS0011,recognized_life_story_context,3.823,1.822,5.116,4.273,4.905,4.289,4.234,3.307,3.737,4.096,4.128,2.565,4.362,2.967
NIS0012,recognized_life_story_context,3.586,3.050,4.365,4.235,4.905,4.847,3.882,3.258,3.204,3.043,4.223,3.154,3.817,1.514
NIS0013,recognized_life_story_context,3.940,1.813,7.000,5.384,5.427,5.377,4.987,3.703,4.128,4.325,4.901,2.758,5.372,3.809
NIS0014,recognized_life_story_context,3.980,2.328,5.526,5.346,4.941,6.434,4.879,4.013,4.803,3.687,5.254,3.170,5.069,2.986
NIS0015,recognized_life_story_context,4.563,1.812,6.337,5.889,5.580,5.524,5.279,3.092,5.013,5.026,5.325,2.452,5.543,5.547
NIS0016,recognized_life_story_context,5.047,2.234,7.000,4.463,4.475,5.882,4.503,3.668,4.320,4.044,5.130,2.951,5.274,3.608
NIS0017,recognized_life_story_context,4.247,1.712,6.134,5.739,5.578,5.754,4.845,4.042,4.689,4.255,5.247,2.877,5.223,4.232
NIS0018,recognized_life_story_context,4.281,1.586,6.680,5.344,5.365,5.876,5.249,3.362,4.598,4.509,5.167,2.474,5.509,4.676
NIS0019,recognized_life_story_context,4.196,1.838,5.867,5.644,6.559,6.312,5.756,1.335,4.947,4.458,5.384,1.586,5.523,6.668
NIS0020,recognized_life_story_context,4.285,1.345,5.297,5.081,5.823,6.917,6.052,1.580,5.289,5.293,5.428,1.463,5.546,6.441
NIS0021,recognized_life_story_context,4.574,1.000,5.618,5.747,6.279,6.521,5.925,2.090,4.925,4.404,5.614,1.545,5.489,7.231
