person_id,wave,wave_numeric,age,life_stage,cohort,cultural_context,neuroticism,extraversion,conscientiousness,openness,agreeableness,role_investment,state_practice_frequency,perceived_support
PLS0001,childhood,1,9.8,childhood,older_cohort,communal_mixed,5.163,5.271,3.642,4.176,4.202,3.077,4.118,4.689
PLS0001,adolescence,2,15.3,adolescence,older_cohort,communal_mixed,4.619,5.541,3.630,5.124,3.895,3.020,3.466,5.336
PLS0001,emerging_adulthood,3,23.8,emerging_adulthood,older_cohort,communal_mixed,4.534,5.054,4.366,4.726,3.823,3.390,4.258,4.336
PLS0001,adulthood,4,39.0,adulthood,older_cohort,communal_mixed,4.535,5.161,4.901,4.691,4.961,3.886,4.469,4.420
PLS0001,midlife,5,51.2,midlife,older_cohort,communal_mixed,4.104,5.737,5.195,4.940,5.233,5.102,5.662,5.195
PLS0001,later_life,6,71.0,later_life,older_cohort,communal_mixed,3.722,5.081,6.543,4.241,5.189,5.486,6.289,3.978
PLS0002,childhood,1,8.7,childhood,middle_cohort,communal_mixed,4.782,4.148,3.140,4.698,4.593,2.863,4.175,4.963
PLS0002,adolescence,2,17.0,adolescence,middle_cohort,communal_mixed,3.951,3.990,2.899,4.461,4.608,2.336,3.237,5.136
PLS0002,emerging_adulthood,3,24.8,emerging_adulthood,middle_cohort,communal_mixed,4.221,4.642,3.922,5.107,4.825,3.350,4.332,4.809
PLS0002,adulthood,4,38.0,adulthood,middle_cohort,communal_mixed,3.724,4.311,4.471,5.277,5.298,3.805,4.523,5.367
PLS0002,midlife,5,52.5,midlife,middle_cohort,communal_mixed,4.251,4.343,4.837,4.994,5.432,4.971,5.606,5.021
PLS0002,later_life,6,68.8,later_life,middle_cohort,communal_mixed,3.675,4.183,5.626,4.237,5.618,6.133,5.859,3.576
PLS0003,childhood,1,10.1,childhood,middle_cohort,institutionally_supported,5.174,4.202,3.785,4.873,3.652,3.025,3.318,4.808
PLS0003,adolescence,2,14.9,adolescence,middle_cohort,institutionally_supported,4.647,4.575,3.970,5.164,4.074,2.927,3.875,5.425
PLS0003,emerging_adulthood,3,23.7,emerging_adulthood,middle_cohort,institutionally_supported,4.533,4.639,4.473,5.737,3.606,4.047,4.693,4.865
PLS0003,adulthood,4,37.7,adulthood,middle_cohort,institutionally_supported,3.785,4.241,4.930,4.847,4.151,4.093,4.972,5.121
PLS0003,midlife,5,52.6,midlife,middle_cohort,institutionally_supported,3.717,5.114,6.388,5.431,4.272,5.251,5.172,5.122
PLS0003,later_life,6,70.0,later_life,middle_cohort,institutionally_supported,3.580,4.474,6.421,5.502,4.623,5.867,5.717,4.635
PLS0004,childhood,1,10.0,childhood,older_cohort,institutionally_supported,4.024,4.407,3.094,3.460,4.653,3.195,3.852,4.525
PLS0004,adolescence,2,14.8,adolescence,older_cohort,institutionally_supported,3.448,4.188,3.498,3.542,5.078,3.180,3.493,4.697
PLS0004,emerging_adulthood,3,24.6,emerging_adulthood,older_cohort,institutionally_supported,3.388,4.852,3.872,3.403,4.624,3.634,4.193,4.717
PLS0004,adulthood,4,37.2,adulthood,older_cohort,institutionally_supported,3.777,4.892,4.831,3.032,4.597,4.099,4.851,4.908
PLS0004,midlife,5,52.7,midlife,older_cohort,institutionally_supported,2.837,4.707,5.405,3.273,6.075,4.631,5.126,4.866
PLS0004,later_life,6,70.5,later_life,older_cohort,institutionally_supported,2.702,4.844,5.990,3.659,5.711,5.156,6.083,4.846
PLS0005,childhood,1,9.9,childhood,middle_cohort,institutionally_supported,3.727,3.699,2.978,3.597,4.537,1.744,3.287,5.318
PLS0005,adolescence,2,17.1,adolescence,middle_cohort,institutionally_supported,3.437,3.490,3.159,4.361,4.461,2.805,2.919,5.283
PLS0005,emerging_adulthood,3,24.4,emerging_adulthood,middle_cohort,institutionally_supported,3.231,3.981,3.189,4.490,4.895,3.879,3.968,5.385
PLS0005,adulthood,4,37.7,adulthood,middle_cohort,institutionally_supported,2.492,4.643,4.655,4.519,4.620,3.680,4.503,4.993
PLS0005,midlife,5,51.5,midlife,middle_cohort,institutionally_supported,2.230,4.001,4.833,4.155,5.602,5.478,6.113,5.415
PLS0005,later_life,6,69.9,later_life,middle_cohort,institutionally_supported,2.673,3.542,5.803,3.980,5.338,5.572,6.049,5.099
PLS0006,childhood,1,9.3,childhood,older_cohort,institutionally_supported,4.720,4.809,4.107,3.165,4.747,3.130,3.933,4.812
PLS0006,adolescence,2,15.2,adolescence,older_cohort,institutionally_supported,4.707,4.474,4.171,4.037,3.536,3.167,3.942,4.703
PLS0006,emerging_adulthood,3,23.0,emerging_adulthood,older_cohort,institutionally_supported,4.474,4.708,5.069,4.196,4.754,3.600,4.863,4.258
PLS0006,adulthood,4,37.1,adulthood,older_cohort,institutionally_supported,4.386,5.787,5.894,3.512,5.040,4.242,5.329,4.799
PLS0006,midlife,5,52.6,midlife,older_cohort,institutionally_supported,3.875,5.496,5.758,3.154,5.121,5.085,5.992,4.976
PLS0006,later_life,6,70.0,later_life,older_cohort,institutionally_supported,3.956,5.118,6.611,2.944,5.447,5.550,6.273,5.177
PLS0007,childhood,1,8.7,childhood,younger_cohort,high_transition_context,4.708,5.039,3.087,4.109,3.285,2.633,3.170,3.685
PLS0007,adolescence,2,16.3,adolescence,younger_cohort,high_transition_context,4.279,4.654,2.919,4.807,2.861,2.781,3.337,3.698
PLS0007,emerging_adulthood,3,23.4,emerging_adulthood,younger_cohort,high_transition_context,4.046,5.132,3.979,4.420,3.173,3.856,4.676,3.956
PLS0007,adulthood,4,37.8,adulthood,younger_cohort,high_transition_context,3.410,5.428,4.123,3.842,4.089,4.373,5.272,3.858
PLS0007,midlife,5,52.6,midlife,younger_cohort,high_transition_context,3.542,4.886,4.836,4.271,4.092,5.294,5.648,3.700
PLS0007,later_life,6,70.5,later_life,younger_cohort,high_transition_context,3.055,5.244,6.026,4.404,4.443,5.173,6.192,3.507
PLS0008,childhood,1,8.3,childhood,younger_cohort,institutionally_supported,3.729,3.961,2.625,5.173,3.721,3.090,3.709,5.818
PLS0008,adolescence,2,16.4,adolescence,younger_cohort,institutionally_supported,3.687,4.662,2.945,5.670,4.027,2.390,3.082,5.066
PLS0008,emerging_adulthood,3,24.1,emerging_adulthood,younger_cohort,institutionally_supported,2.957,4.564,3.924,5.664,4.006,4.247,4.655,5.900
PLS0008,adulthood,4,38.3,adulthood,younger_cohort,institutionally_supported,2.793,4.195,4.775,5.002,4.017,4.344,4.610,5.593
PLS0008,midlife,5,50.8,midlife,younger_cohort,institutionally_supported,2.897,5.069,4.916,5.463,5.256,4.906,5.581,5.325
PLS0008,later_life,6,70.3,later_life,younger_cohort,institutionally_supported,3.034,4.424,5.724,5.249,5.121,5.395,5.580,5.633
PLS0009,childhood,1,10.0,childhood,younger_cohort,institutionally_supported,4.195,3.941,3.106,4.944,3.640,3.177,4.285,4.543
PLS0009,adolescence,2,15.6,adolescence,younger_cohort,institutionally_supported,3.869,3.792,3.355,5.246,3.109,3.023,3.051,4.979
PLS0009,emerging_adulthood,3,25.1,emerging_adulthood,younger_cohort,institutionally_supported,3.772,3.885,4.300,5.351,2.973,4.118,4.431,4.700
PLS0009,adulthood,4,38.9,adulthood,younger_cohort,institutionally_supported,3.255,3.863,5.165,5.783,4.042,4.471,5.621,5.238
PLS0009,midlife,5,51.1,midlife,younger_cohort,institutionally_supported,3.012,4.613,5.784,5.328,4.333,4.722,5.720,5.405
PLS0009,later_life,6,69.9,later_life,younger_cohort,institutionally_supported,2.768,3.932,5.846,4.815,4.734,5.432,5.147,4.802
PLS0010,childhood,1,8.1,childhood,middle_cohort,institutionally_supported,4.684,4.108,3.843,5.188,3.967,3.337,3.431,5.421
PLS0010,adolescence,2,15.7,adolescence,middle_cohort,institutionally_supported,4.664,4.507,3.588,5.087,3.988,2.982,3.259,5.226
PLS0010,emerging_adulthood,3,24.5,emerging_adulthood,middle_cohort,institutionally_supported,4.377,4.468,4.813,5.547,4.142,3.446,4.729,5.201
PLS0010,adulthood,4,38.1,adulthood,middle_cohort,institutionally_supported,4.272,4.654,5.389,5.007,4.662,4.229,5.339,4.596
PLS0010,midlife,5,50.9,midlife,middle_cohort,institutionally_supported,3.848,5.107,5.866,4.467,4.914,5.471,5.065,5.600
PLS0010,later_life,6,71.2,later_life,middle_cohort,institutionally_supported,4.179,5.274,6.704,5.004,5.534,5.957,6.813,4.828
PLS0011,childhood,1,8.1,childhood,middle_cohort,institutionally_supported,4.165,3.595,4.753,4.019,4.044,3.556,3.220,5.016
PLS0011,adolescence,2,16.6,adolescence,middle_cohort,institutionally_supported,3.882,4.214,4.654,4.617,4.390,3.039,4.217,4.364
PLS0011,emerging_adulthood,3,25.1,emerging_adulthood,middle_cohort,institutionally_supported,3.882,3.822,4.426,4.234,3.732,3.978,4.249,4.975
PLS0011,adulthood,4,38.5,adulthood,middle_cohort,institutionally_supported,3.591,4.367,5.642,3.887,5.163,4.797,5.469,5.142
PLS0011,midlife,5,52.8,midlife,middle_cohort,institutionally_supported,3.595,3.651,6.596,3.586,5.178,5.115,5.643,4.703
PLS0011,later_life,6,70.8,later_life,middle_cohort,institutionally_supported,4.132,4.771,6.608,3.935,4.611,5.852,6.543,4.782
PLS0012,childhood,1,8.5,childhood,older_cohort,institutionally_supported,3.632,4.509,3.685,5.067,3.880,2.636,3.477,5.088
PLS0012,adolescence,2,16.8,adolescence,older_cohort,institutionally_supported,3.969,5.013,4.018,5.554,4.327,3.388,4.551,4.874
PLS0012,emerging_adulthood,3,24.0,emerging_adulthood,older_cohort,institutionally_supported,4.234,5.156,4.177,5.326,4.027,3.500,4.096,4.373
PLS0012,adulthood,4,36.8,adulthood,older_cohort,institutionally_supported,3.853,4.520,5.048,5.209,4.080,4.498,4.956,4.369
PLS0012,midlife,5,52.1,midlife,older_cohort,institutionally_supported,3.255,5.422,5.634,5.289,4.683,5.460,5.951,5.848
PLS0012,later_life,6,70.4,later_life,older_cohort,institutionally_supported,3.233,5.454,6.480,4.480,4.886,6.214,6.033,4.642
PLS0013,childhood,1,9.8,childhood,middle_cohort,high_transition_context,4.983,4.637,3.818,4.982,3.391,3.189,3.505,3.697
PLS0013,adolescence,2,14.9,adolescence,middle_cohort,high_transition_context,4.952,4.416,2.967,5.330,3.554,2.189,3.180,3.917
PLS0013,emerging_adulthood,3,24.8,emerging_adulthood,middle_cohort,high_transition_context,4.725,4.893,4.205,4.546,4.240,3.406,4.445,3.311
PLS0013,adulthood,4,38.9,adulthood,middle_cohort,high_transition_context,4.342,4.688,4.376,4.471,4.496,4.003,4.658,3.869
PLS0013,midlife,5,51.7,midlife,middle_cohort,high_transition_context,4.550,4.731,5.454,4.733,5.047,4.521,4.979,3.528
PLS0013,later_life,6,70.5,later_life,middle_cohort,high_transition_context,3.667,4.893,5.705,3.996,5.306,4.763,6.422,3.766
PLS0014,childhood,1,8.6,childhood,younger_cohort,individualist_urban,5.245,3.249,3.965,3.889,4.361,3.469,3.518,4.960
PLS0014,adolescence,2,16.9,adolescence,younger_cohort,individualist_urban,4.841,3.389,4.415,4.701,3.797,3.426,4.050,4.740
PLS0014,emerging_adulthood,3,23.7,emerging_adulthood,younger_cohort,individualist_urban,4.556,3.384,4.997,4.008,4.329,3.807,4.132,4.200
PLS0014,adulthood,4,37.0,adulthood,younger_cohort,individualist_urban,4.359,3.996,5.319,3.379,4.569,5.069,4.979,4.127
PLS0014,midlife,5,52.7,midlife,younger_cohort,individualist_urban,4.495,3.592,6.461,3.544,4.822,4.731,5.127,4.466
PLS0014,later_life,6,70.1,later_life,younger_cohort,individualist_urban,4.416,3.878,5.767,3.838,5.606,5.099,7.000,4.297
PLS0015,childhood,1,9.6,childhood,middle_cohort,high_transition_context,4.643,4.153,3.209,4.241,4.061,2.916,3.142,4.564
PLS0015,adolescence,2,16.6,adolescence,middle_cohort,high_transition_context,4.716,4.065,3.256,4.356,3.844,2.791,3.316,3.832
PLS0015,emerging_adulthood,3,24.9,emerging_adulthood,middle_cohort,high_transition_context,3.282,4.587,4.225,4.778,4.513,4.121,4.152,3.810
PLS0015,adulthood,4,38.5,adulthood,middle_cohort,high_transition_context,3.465,4.622,5.028,4.309,4.558,4.413,4.261,3.733
PLS0015,midlife,5,53.2,midlife,middle_cohort,high_transition_context,3.683,4.907,5.292,3.885,4.557,4.576,5.273,4.840
PLS0015,later_life,6,71.1,later_life,middle_cohort,high_transition_context,3.294,4.305,5.907,3.867,4.327,5.725,5.854,4.029
PLS0016,childhood,1,9.3,childhood,middle_cohort,high_transition_context,4.599,4.078,3.356,3.106,4.386,2.158,3.645,3.801
PLS0016,adolescence,2,15.4,adolescence,middle_cohort,high_transition_context,4.173,3.955,3.196,3.570,4.575,2.894,3.505,4.339
PLS0016,emerging_adulthood,3,23.8,emerging_adulthood,middle_cohort,high_transition_context,3.958,3.576,4.009,3.641,3.876,3.498,4.741,4.003
PLS0016,adulthood,4,38.6,adulthood,middle_cohort,high_transition_context,3.792,4.002,4.608,3.943,4.507,4.160,4.482,4.093
PLS0016,midlife,5,51.3,midlife,middle_cohort,high_transition_context,2.889,4.737,4.815,3.695,5.052,5.012,5.253,5.110
PLS0016,later_life,6,69.4,later_life,middle_cohort,high_transition_context,3.708,4.889,5.365,2.918,4.954,5.330,6.062,3.793
