id,openness,intellect,conscientiousness,extraversion,agreeableness,neuroticism,persistence,social_support,domain,divergent_thinking,creative_achievement,everyday_creativity
1,78,74,62,55,68,34,70,66,arts,82,76,80
2,71,80,69,48,64,39,75,61,science,77,82,72
3,65,69,58,63,70,42,61,74,everyday,69,58,78
4,88,76,54,50,59,51,67,58,arts,91,84,86
5,59,73,82,44,72,28,88,69,science,62,79,65
6,83,85,66,57,61,36,79,73,science,88,91,79
7,74,67,71,69,75,31,72,80,everyday,79,70,88
8,92,81,49,46,57,58,63,55,arts,94,86,89
9,68,72,76,52,66,33,81,72,science,71,80,70
10,61,64,70,71,78,30,73,76,everyday,65,62,82
11,86,70,57,62,60,49,68,62,arts,90,81,85
12,72,88,73,45,65,35,84,67,science,76,88,74
13,57,60,68,66,82,37,69,81,everyday,61,55,79
14,80,78,64,59,69,41,76,75,design,84,83,84
15,76,82,60,54,62,45,71,64,science,81,84,76
16,89,75,52,49,56,55,65,59,arts,93,87,88
17,63,68,79,58,73,32,86,71,design,67,77,72
18,70,66,67,74,76,29,74,83,everyday,73,69,86
19,84,89,69,51,60,38,82,70,science,89,93,80
20,79,71,55,64,58,47,66,63,arts,85,78,83
21,66,77,83,47,71,26,90,74,science,68,85,69
22,73,69,61,72,80,34,70,82,everyday,77,66,87
23,91,83,56,53,55,52,69,60,design,94,90,90
24,62,65,75,61,74,36,78,79,everyday,66,64,81
25,87,79,59,48,57,57,66,56,arts,92,85,87
26,75,86,72,50,63,40,83,68,science,80,89,75
27,69,70,65,67,77,35,73,77,design,74,73,83
28,81,76,63,56,67,43,77,72,design,86,84,85
29,58,62,80,60,79,31,82,78,everyday,60,61,80
30,90,84,58,52,59,50,72,65,science,93,92,86
