person_id,wave,wave_numeric,intervention_group,age,neuroticism,extraversion,conscientiousness,openness,agreeableness,role_investment,state_practice_frequency,perceived_support
PCP0001,baseline,1,intervention,52.0,2.620,4.967,4.264,3.650,3.704,5.555,4.343,3.462
PCP0001,post_intervention,2,intervention,52.5,2.074,5.359,4.677,4.176,4.019,4.297,5.316,3.710
PCP0001,followup_6_months,3,intervention,53.0,1.697,5.486,4.894,4.441,3.857,5.863,5.242,4.374
PCP0001,followup_12_months,4,intervention,53.5,1.864,5.711,5.228,4.375,4.753,5.778,5.558,4.698
PCP0002,baseline,1,intervention,51.0,3.206,4.529,3.800,3.342,3.169,4.704,2.477,5.122
PCP0002,post_intervention,2,intervention,51.5,3.444,4.929,3.823,3.679,3.020,5.212,2.832,5.446
PCP0002,followup_6_months,3,intervention,52.0,3.442,4.977,3.495,3.550,3.543,5.110,3.545,4.897
PCP0002,followup_12_months,4,intervention,52.5,2.979,5.421,3.915,4.017,3.807,5.427,3.255,5.680
PCP0003,baseline,1,intervention,48.0,3.855,4.542,3.681,3.130,3.231,4.891,3.930,3.475
PCP0003,post_intervention,2,intervention,48.5,3.155,4.498,4.006,3.354,3.252,4.585,3.906,4.115
PCP0003,followup_6_months,3,intervention,49.0,3.407,4.108,4.608,3.329,3.090,5.013,5.067,4.667
PCP0003,followup_12_months,4,intervention,49.5,2.581,4.506,4.481,3.597,3.370,4.880,5.741,5.127
PCP0004,baseline,1,intervention,45.0,4.989,4.031,3.644,3.725,4.684,2.878,3.346,3.663
PCP0004,post_intervention,2,intervention,45.5,5.312,3.883,4.030,3.476,5.070,3.204,3.544,4.030
PCP0004,followup_6_months,3,intervention,46.0,4.989,4.482,4.150,4.021,4.753,3.460,4.316,3.845
PCP0004,followup_12_months,4,intervention,46.5,4.827,4.157,4.770,4.138,4.851,3.925,4.219,4.447
PCP0005,baseline,1,intervention,49.0,4.489,3.982,3.493,3.660,3.171,3.539,4.223,5.146
PCP0005,post_intervention,2,intervention,49.5,3.829,4.237,3.451,3.512,3.343,4.017,4.603,5.351
PCP0005,followup_6_months,3,intervention,50.0,3.496,3.796,4.067,3.860,4.023,4.242,4.908,5.312
PCP0005,followup_12_months,4,intervention,50.5,2.875,4.005,4.088,4.184,3.929,4.036,5.198,6.147
PCP0006,baseline,1,intervention,41.0,3.012,4.226,4.487,4.546,5.001,3.885,3.648,2.783
PCP0006,post_intervention,2,intervention,41.5,2.958,4.290,4.209,4.358,4.971,4.242,3.320,3.189
PCP0006,followup_6_months,3,intervention,42.0,2.689,4.480,4.590,4.898,5.268,3.303,3.993,3.564
PCP0006,followup_12_months,4,intervention,42.5,2.034,4.863,5.233,5.076,5.168,4.037,4.010,4.111
PCP0007,baseline,1,intervention,36.0,2.840,3.401,4.389,2.283,3.580,3.011,3.672,4.587
PCP0007,post_intervention,2,intervention,36.5,2.652,3.224,4.666,2.147,3.157,3.535,4.634,5.758
PCP0007,followup_6_months,3,intervention,37.0,2.828,3.547,5.045,2.627,3.492,3.374,4.579,5.550
PCP0007,followup_12_months,4,intervention,37.5,2.493,3.724,5.099,2.680,3.383,3.496,4.319,5.625
PCP0008,baseline,1,intervention,21.0,5.442,4.019,4.538,4.050,3.569,4.209,5.040,5.223
PCP0008,post_intervention,2,intervention,21.5,5.034,3.917,5.167,4.465,3.632,3.799,5.279,5.313
PCP0008,followup_6_months,3,intervention,22.0,5.061,4.055,4.945,3.819,3.628,4.780,5.656,5.962
PCP0008,followup_12_months,4,intervention,22.5,4.211,4.338,5.318,3.740,3.637,4.668,5.670,6.395
PCP0009,baseline,1,intervention,60.0,4.014,4.380,4.210,3.834,5.473,5.473,3.119,3.681
PCP0009,post_intervention,2,intervention,60.5,3.617,4.453,3.976,4.352,5.259,5.120,3.224,3.786
PCP0009,followup_6_months,3,intervention,61.0,3.450,4.561,3.966,4.156,5.256,5.901,4.144,4.426
