participant_id,role_family,organizational_context,extraversion,agreeableness,conscientiousness,neuroticism,openness,emotional_stability,dark_trait_pressure,role_fit,accountability,job_performance,leadership_emergence,leadership_effectiveness,counterproductive_work_behavior,teamwork_quality,burnout_risk
WL0001,individual_contributor,stewardship_culture,4.826,3.706,4.349,4.703,3.902,2.773,2.165,3.779,4.789,4.047,5.469,4.972,4.974,3.232,5.029
WL0002,individual_contributor,stewardship_culture,3.123,3.901,4.261,3.581,5.260,3.696,1.000,3.369,5.197,4.013,4.373,4.832,3.347,2.910,5.047
WL0003,individual_contributor,stewardship_culture,4.637,5.030,4.007,4.456,5.533,2.576,1.000,3.347,5.076,4.448,5.250,5.316,4.167,4.286,4.710
WL0004,individual_contributor,stewardship_culture,3.451,3.343,3.474,3.045,2.617,4.309,1.412,2.999,4.919,3.638,3.857,4.693,4.539,3.195,5.126
WL0005,individual_contributor,stewardship_culture,3.857,4.021,3.969,4.364,5.611,3.021,1.000,3.040,4.859,4.134,3.605,3.980,5.200,3.932,5.217
WL0006,individual_contributor,stewardship_culture,5.138,4.035,6.202,3.306,4.903,4.079,1.395,4.450,5.031,5.613,5.353,5.634,4.358,4.401,4.268
WL0007,individual_contributor,stewardship_culture,3.489,4.452,4.008,4.391,4.782,2.872,1.000,3.252,4.667,4.644,4.465,4.547,4.742,2.923,4.184
WL0008,individual_contributor,stewardship_culture,4.531,4.469,3.972,4.599,3.062,2.931,1.000,2.799,4.832,3.005,4.502,4.347,4.200,3.750,5.322
WL0009,individual_contributor,high_growth_competitive,4.047,4.551,4.243,2.508,5.080,4.950,1.000,4.051,3.773,4.683,4.676,4.715,3.269,4.626,3.687
WL0010,individual_contributor,high_growth_competitive,5.249,3.741,3.396,3.837,2.781,3.409,1.000,3.112,4.145,4.124,4.613,4.539,4.094,3.525,5.558
WL0011,individual_contributor,high_growth_competitive,4.198,4.163,3.015,2.935,4.807,4.280,1.000,2.867,3.542,3.141,4.758,3.813,3.976,3.391,4.204
WL0012,individual_contributor,high_growth_competitive,4.720,4.706,3.891,3.372,3.672,3.935,1.000,3.937,3.609,3.404,5.945,4.266,4.082,3.765,4.811
WL0013,individual_contributor,high_growth_competitive,3.778,5.944,3.103,4.725,3.333,2.666,1.000,3.602,3.898,3.604,4.182,5.305,4.329,3.876,5.744
WL0014,individual_contributor,high_growth_competitive,4.245,4.071,4.073,3.015,3.562,4.181,1.000,2.694,4.070,4.178,4.070,4.058,4.486,3.484,4.590
WL0015,individual_contributor,high_growth_competitive,3.975,3.506,4.172,3.916,4.454,3.214,1.149,3.541,4.045,4.357,5.042,3.831,4.202,3.749,4.487
WL0016,individual_contributor,high_growth_competitive,3.580,3.974,3.297,3.672,4.530,3.264,1.913,3.327,3.940,3.409,4.633,4.755,4.513,3.428,5.028
WL0017,individual_contributor,procedural_bureaucratic,4.561,4.614,3.680,4.224,3.972,3.517,1.000,2.919,4.576,3.937,4.974,4.996,3.842,3.873,5.172
WL0018,individual_contributor,procedural_bureaucratic,4.421,3.785,3.101,2.778,4.516,4.518,1.000,3.331,4.526,3.612,6.327,3.730,4.303,4.032,3.873
WL0019,individual_contributor,procedural_bureaucratic,4.565,3.922,4.202,4.206,3.917,3.339,1.463,3.768,4.842,3.696,4.990,3.974,4.916,3.317,4.537
WL0020,individual_contributor,procedural_bureaucratic,4.363,3.637,4.384,3.250,4.020,4.109,1.000,3.970,4.532,4.088,4.906,4.769,4.627,4.272,4.010
WL0021,individual_contributor,procedural_bureaucratic,4.267,4.205,3.791,3.190,4.184,3.926,1.808,3.212,4.168,3.705,4.260,4.397,4.159,3.185,4.872
WL0022,individual_contributor,procedural_bureaucratic,4.429,4.609,4.937,3.274,3.546,4.062,1.489,2.720,4.831,3.922,4.526,5.196,4.512,3.874,4.320
WL0023,individual_contributor,procedural_bureaucratic,2.980,4.585,4.554,3.528,3.592,3.880,1.000,3.839,4.831,4.054,3.954,4.411,4.493,3.960,3.867
WL0024,individual_contributor,procedural_bureaucratic,4.215,4.628,4.294,2.919,3.535,4.138,1.000,4.026,4.395,5.603,4.237,5.509,4.297,3.958,5.005
WL0025,individual_contributor,low_accountability_political,2.448,4.760,4.310,3.337,4.490,3.975,1.470,2.820,2.242,3.869,4.026,4.543,4.565,4.320,5.406
WL0026,individual_contributor,low_accountability_political,4.096,4.394,3.965,4.238,2.914,3.147,1.212,3.736,2.844,3.125,4.133,5.116,4.799,3.528,5.356
WL0027,individual_contributor,low_accountability_political,4.119,4.243,4.222,4.375,4.039,2.517,1.000,2.634,2.699,4.120,4.967,4.017,4.797,3.302,5.786
WL0028,individual_contributor,low_accountability_political,4.689,4.006,3.631,3.381,2.518,3.841,1.000,2.767,2.486,2.921,4.578,3.825,3.334,3.832,4.597
WL0029,individual_contributor,low_accountability_political,5.063,5.010,4.547,2.480,4.184,4.788,1.237,3.785,2.211,4.337,4.905,4.502,4.750,3.311,3.929
WL0030,individual_contributor,low_accountability_political,4.879,3.798,4.163,4.380,4.929,2.706,1.567,3.784,2.690,3.524,5.281,4.177,4.954,3.366,4.884
WL0031,individual_contributor,low_accountability_political,3.801,4.340,3.861,3.476,3.734,4.108,1.151,3.983,2.411,4.594,4.585,4.248,5.509,4.155,4.985
WL0032,individual_contributor,low_accountability_political,3.923,4.098,4.101,4.816,3.401,2.383,1.000,3.495,2.652,2.971,4.646,3.738,3.963,3.047,5.954
WL0033,individual_contributor,collaborative_learning,3.320,4.916,4.350,3.906,3.295,3.358,1.000,3.520,4.530,4.105,4.729,3.865,4.069,4.397,4.936
WL0034,individual_contributor,collaborative_learning,2.765,4.041,4.088,3.489,3.364,4.114,1.000,2.931,4.363,3.865,3.864,4.251,4.405,3.373,4.645
WL0035,individual_contributor,collaborative_learning,3.975,2.469,3.635,4.755,5.753,2.690,1.000,3.935,4.075,3.725,4.608,4.109,5.449,3.028,4.122
WL0036,individual_contributor,collaborative_learning,3.937,3.502,5.138,4.829,3.284,2.707,1.410,4.008,4.063,3.269,4.275,5.302,4.454,3.427,5.441
WL0037,individual_contributor,collaborative_learning,5.204,4.418,3.599,2.444,4.134,5.498,1.520,3.236,4.691,4.399,4.333,5.056,4.617,2.980,4.623
