person_id,assessment_context,latent_ei,latent_sn,latent_tf,latent_jp,observed_ei,observed_sn,observed_tf,observed_jp,retest_ei,retest_sn,retest_tf,retest_jp,ei_letter,sn_letter,tf_letter,jp_letter,type_code,retest_type_code,type_changed_on_retest,min_absolute_distance_to_boundary,near_boundary,continuous_signal_strength,boundary_risk_score,information_loss_index,collaboration_score,reflective_utility_score
MBTI00001,workplace_team_reflection_context,1.5162,0.9804,-0.1955,1.0307,1.0156,1.1511,0.3564,0.5553,1.2079,0.9676,-0.5381,1.1411,E,S,T,J,ESTJ,ESFJ,1,0.3564,0,0.7696,2.2917,1.3314,54.5652,48.4274
MBTI00002,workplace_team_reflection_context,2.1517,1.1236,0.3626,1.7135,1.2803,1.1254,0.2697,1.4178,2.4888,1.2621,0.2250,2.1335,E,S,T,J,ESTJ,ESTJ,0,0.2697,0,1.0233,2.8596,0.8175,58.4424,48.0639
MBTI00003,workplace_team_reflection_context,0.0852,0.7779,-0.3846,0.4134,0.9448,0.0931,-1.1480,0.3713,-0.1212,0.8619,-0.1392,0.4926,E,S,F,J,ESFJ,ISFJ,1,0.0931,1,0.6393,5.7763,1.9414,50.3790,51.5905
MBTI00004,workplace_team_reflection_context,0.7516,1.5696,0.8908,1.1412,0.2293,1.3958,1.0360,2.2931,0.8419,1.6279,0.8553,0.7921,E,S,T,J,ESTJ,ESTJ,0,0.2293,0,1.2386,3.2330,0.6951,66.3156,57.0008
MBTI00005,workplace_team_reflection_context,0.4019,1.4399,0.3103,0.7898,0.8312,1.5906,0.4851,0.8788,0.4352,1.6512,0.6283,1.2995,E,S,T,J,ESTJ,ESTJ,0,0.4851,0,0.9464,1.7696,0.8723,54.5318,49.7771
MBTI00006,workplace_team_reflection_context,1.7327,1.8701,0.4033,0.8167,1.8331,1.4335,-0.3113,0.8546,1.8213,1.8658,0.6494,0.9874,E,S,F,J,ESFJ,ESTJ,1,0.3113,0,1.1081,2.5553,1.0645,66.9171,52.8116
MBTI00007,workplace_team_reflection_context,1.7197,0.2007,0.9418,1.0706,1.5422,0.2513,0.5053,1.7963,1.2644,-0.6870,0.6960,1.4004,E,S,T,J,ESTJ,ENTJ,1,0.2513,0,1.0238,3.0189,1.1171,59.3501,51.7786
MBTI00008,workplace_team_reflection_context,1.5444,0.5833,1.3986,1.0801,0.8073,0.5563,1.5642,1.1023,1.9901,0.6035,1.5245,0.9242,E,S,T,J,ESTJ,ESTJ,0,0.5563,0,1.0075,1.5715,0.8281,50.4931,53.9652
MBTI00009,workplace_team_reflection_context,1.1485,1.4794,0.3320,-0.2943,0.7365,1.9673,0.7247,-0.7165,0.8958,2.1579,-0.0853,-0.6092,E,S,T,P,ESTP,ESFP,1,0.7165,0,1.0362,1.2555,1.1089,56.9662,57.2807
MBTI00010,workplace_team_reflection_context,2.2653,0.4498,1.5690,1.5298,1.9065,-0.3626,2.3257,1.3717,1.8979,0.3940,2.1430,1.2805,E,N,T,J,ENTJ,ESTJ,1,0.3626,0,1.4916,2.2594,0.8912,55.6667,56.3813
MBTI00011,workplace_team_reflection_context,1.9124,0.5725,1.6812,0.2170,2.5599,0.5483,1.6820,0.0738,1.9254,0.9352,1.6676,0.1529,E,S,T,J,ESTJ,ESTJ,0,0.0738,1,1.2160,6.5038,1.1562,55.1057,52.4839
MBTI00012,workplace_team_reflection_context,1.4667,1.3644,1.1279,1.4733,1.7115,0.9586,0.8407,1.6699,1.4872,1.7626,1.4052,1.8856,E,S,T,J,ESTJ,ESTJ,0,0.8407,0,1.2952,1.0861,0.6688,47.5735,55.0003
MBTI00013,workplace_team_reflection_context,0.7802,0.6307,0.6343,0.4639,0.6113,1.3904,0.5976,0.2082,1.3911,0.5955,0.7704,-0.2328,E,S,T,J,ESTJ,ESTP,1,0.2082,0,0.7019,3.4699,1.4088,48.2925,46.3027
MBTI00014,workplace_team_reflection_context,1.8663,0.6876,0.1134,0.8648,1.5964,0.1346,-0.0620,0.9046,0.8268,0.4947,-0.0654,0.6998,E,S,F,J,ESFJ,ESFJ,0,0.0620,1,0.6744,7.0402,1.5936,51.5893,49.3577
MBTI00015,workplace_team_reflection_context,0.1621,0.6082,-0.5653,-0.7797,0.1923,0.6248,-0.6424,-1.0264,0.2549,0.5695,-0.6594,-0.5364,E,S,F,P,ESFP,ESFP,0,0.1923,1,0.6215,3.6727,1.6673,53.3932,54.8753
MBTI00016,workplace_team_reflection_context,-0.0812,1.5128,-1.4028,-0.3863,0.0783,1.0300,-0.7651,-0.7184,-0.4086,1.3051,-1.4058,-0.6148,E,S,F,P,ESFP,ISFP,1,0.0783,1,0.6480,6.3158,1.9293,49.8812,46.3766
MBTI00017,workplace_team_reflection_context,0.3843,1.3966,-0.9437,-1.1221,0.2815,1.5581,-0.2889,-0.9535,0.0040,1.1626,-1.2556,-1.4123,E,S,F,P,ESFP,ESFP,0,0.2815,0,0.7705,2.7664,1.0304,54.9024,58.3022
MBTI00018,workplace_team_reflection_context,1.0723,0.9402,-0.2808,-1.0111,0.2512,1.2447,-0.7535,-0.7848,1.0531,0.8169,-0.4286,-1.2204,E,S,F,P,ESFP,ESFP,0,0.2512,0,0.7585,3.0198,1.0433,46.7175,48.9432
MBTI00019,workplace_team_reflection_context,0.8668,0.8324,0.2948,-0.7954,1.6800,0.9319,0.3596,-0.2188,1.1094,0.7965,0.4691,-0.8651,E,S,T,P,ESTP,ESTP,0,0.2188,0,0.7976,3.3466,1.0024,63.9037,57.2266
MBTI00020,workplace_team_reflection_context,0.9261,1.0915,-1.4188,-1.2187,0.7374,0.2335,-1.5740,-1.2820,1.2391,0.5540,-1.5490,-0.8738,E,S,F,P,ESFP,ESFP,0,0.2335,0,0.9567,3.1900,0.8645,52.4070,48.6006
MBTI00021,workplace_team_reflection_context,0.4199,1.6346,0.2114,-0.9145,-0.1179,2.3946,0.3133,-0.4985,0.2874,1.6354,0.2909,-0.9422,I,S,T,P,ISTP,ESTP,1,0.1179,1,0.8311,5.0536,1.7199,48.6952,55.1793
MBTI00022,workplace_team_reflection_context,0.0819,1.8425,-0.8277,-0.0927,-0.0213,1.8269,-0.1503,0.2350,0.0403,1.9280,-0.9288,0.3831,I,S,F,J,ISFJ,ESFJ,1,0.0213,1,0.5584,9.8699,2.0686,53.7543,45.4576
MBTI00023,workplace_team_reflection_context,0.5709,0.0434,-0.6153,-0.7047,0.3085,0.6414,-0.8728,-1.0614,0.5894,-0.5946,-0.6167,-0.9448,E,S,F,P,ESFP,ENFP,1,0.3085,0,0.7210,2.5739,1.3858,47.6197,56.8045
