participant_id,culture_group,openness,conscientiousness,extraversion,agreeableness,neuroticism,honesty_humility,context_collectivism,behavioral_manifestation,survey_language_family
P0001,sample_A_relational,4.946,4.359,5.253,4.793,4.208,3.499,0.620,4.836,Indo-European
P0002,sample_A_relational,3.774,4.768,4.052,5.188,3.141,3.910,0.620,5.702,Indo-European
P0003,sample_A_relational,3.673,4.551,4.508,4.096,4.073,5.282,0.620,5.078,Indo-European
P0004,sample_A_relational,5.563,4.788,5.421,5.245,3.901,3.032,0.620,4.597,Indo-European
P0005,sample_A_relational,3.640,3.440,3.998,3.682,4.617,4.204,0.620,4.871,Indo-European
P0006,sample_A_relational,3.712,5.497,4.371,3.639,3.446,4.610,0.620,5.127,Indo-European
P0007,sample_A_relational,3.579,4.585,3.231,3.713,2.641,3.839,0.620,4.762,Indo-European
P0008,sample_A_relational,6.109,4.481,5.304,3.973,3.376,5.127,0.620,5.101,Indo-European
P0009,sample_A_relational,3.091,4.161,4.087,4.508,2.752,5.094,0.620,5.734,Indo-European
P0010,sample_A_relational,4.423,4.299,3.789,3.941,3.723,3.360,0.620,5.435,Indo-European
P0011,sample_A_relational,5.978,4.697,4.510,5.047,2.978,3.493,0.620,5.078,Indo-European
P0012,sample_A_relational,4.410,3.353,3.324,3.857,1.890,4.659,0.620,5.105,Indo-European
P0013,sample_A_relational,4.097,4.248,2.988,4.538,3.680,5.612,0.620,5.241,Indo-European
P0014,sample_A_relational,3.390,4.989,5.437,3.414,3.949,3.799,0.620,3.470,Indo-European
P0015,sample_A_relational,3.502,4.550,3.822,3.144,2.989,4.335,0.620,4.350,Indo-European
P0016,sample_A_relational,4.379,4.847,2.873,4.660,2.345,3.462,0.620,4.537,Indo-European
P0017,sample_A_relational,4.061,5.343,4.190,4.197,2.199,4.728,0.620,4.947,Indo-European
P0018,sample_A_relational,3.210,4.087,3.991,3.558,2.896,4.526,0.620,5.057,Indo-European
P0019,sample_A_relational,5.360,4.786,3.057,4.255,3.343,5.324,0.620,4.670,Indo-European
P0020,sample_A_relational,3.484,4.381,3.878,5.537,4.143,5.253,0.620,5.441,Indo-European
P0021,sample_A_relational,5.616,4.631,5.153,4.342,4.115,3.981,0.620,4.301,Indo-European
P0022,sample_A_relational,5.476,4.988,2.360,4.575,3.108,4.232,0.620,4.928,Indo-European
P0023,sample_A_relational,5.058,4.050,2.825,5.223,2.287,4.975,0.620,4.248,Indo-European
P0024,sample_A_relational,4.263,3.944,4.325,3.780,3.454,4.020,0.620,5.151,Indo-European
P0025,sample_A_relational,4.550,5.527,5.177,5.407,2.939,4.435,0.620,6.568,Indo-European
P0026,sample_A_relational,3.777,5.359,3.692,5.922,3.238,3.956,0.620,5.255,Indo-European
P0027,sample_A_relational,4.495,5.994,4.539,4.389,2.237,4.490,0.620,4.884,Indo-European
P0028,sample_A_relational,3.915,3.722,3.648,5.434,3.810,3.683,0.620,4.702,Indo-European
P0029,sample_A_relational,3.581,5.261,3.730,4.880,3.736,5.017,0.620,5.077,Indo-European
P0030,sample_A_relational,3.783,4.858,4.760,5.384,1.581,4.764,0.620,5.050,Indo-European
P0031,sample_A_relational,4.152,5.411,2.797,4.919,3.746,3.945,0.620,4.495,Indo-European
P0032,sample_A_relational,4.158,4.398,5.179,5.274,3.945,4.516,0.620,4.651,Indo-European
P0033,sample_A_relational,4.470,2.397,4.424,4.011,3.427,4.552,0.620,4.523,Indo-European
P0034,sample_A_relational,6.082,3.766,2.172,4.486,2.801,3.964,0.620,4.601,Indo-European
P0035,sample_A_relational,4.926,4.290,3.556,4.352,3.501,4.300,0.620,4.510,Indo-European
P0036,sample_A_relational,3.568,4.175,4.396,4.970,2.610,4.260,0.620,5.094,Indo-European
P0037,sample_A_relational,4.659,3.701,4.529,3.438,4.441,4.783,0.620,3.913,Indo-European
P0038,sample_A_relational,4.079,3.803,3.809,4.773,2.989,5.078,0.620,5.013,Indo-European
P0039,sample_A_relational,4.090,3.933,2.641,4.229,3.871,3.697,0.620,4.727,Indo-European
P0040,sample_A_relational,3.721,4.202,3.799,4.768,2.806,3.147,0.620,4.014,Indo-European
P0041,sample_B_individualist,5.319,4.312,3.771,3.186,3.252,4.514,0.350,3.443,Germanic
P0042,sample_B_individualist,4.004,4.888,2.582,3.240,4.723,5.545,0.350,4.809,Germanic
P0043,sample_B_individualist,4.701,4.404,5.108,4.689,3.636,3.778,0.350,5.224,Germanic
P0044,sample_B_individualist,4.812,3.540,3.064,4.363,3.674,5.337,0.350,4.446,Germanic
P0045,sample_B_individualist,4.185,6.088,3.781,4.270,5.437,4.316,0.350,5.636,Germanic
P0046,sample_B_individualist,3.388,5.198,1.818,5.557,4.012,4.195,0.350,4.649,Germanic
P0047,sample_B_individualist,4.056,4.258,4.037,5.380,4.286,2.747,0.350,4.394,Germanic
P0048,sample_B_individualist,4.173,3.799,3.493,5.566,2.669,4.402,0.350,6.023,Germanic
P0049,sample_B_individualist,3.427,3.646,3.279,4.063,3.083,4.629,0.350,4.172,Germanic
P0050,sample_B_individualist,5.650,4.333,4.876,5.056,4.746,3.684,0.350,5.728,Germanic
P0051,sample_B_individualist,3.493,4.568,3.534,4.375,4.056,4.142,0.350,5.122,Germanic
P0052,sample_B_individualist,3.969,4.171,3.148,4.569,2.813,5.206,0.350,4.586,Germanic
P0053,sample_B_individualist,4.785,3.694,4.335,4.823,1.982,4.931,0.350,4.280,Germanic
P0054,sample_B_individualist,4.449,4.430,3.100,4.722,2.701,5.441,0.350,4.167,Germanic
P0055,sample_B_individualist,4.385,5.816,4.871,5.743,4.039,4.112,0.350,6.384,Germanic
P0056,sample_B_individualist,5.138,5.882,2.379,2.969,3.696,3.217,0.350,5.346,Germanic
P0057,sample_B_individualist,4.376,4.778,4.305,4.434,1.988,3.374,0.350,5.193,Germanic
P0058,sample_B_individualist,4.636,5.463,4.971,4.307,4.001,3.898,0.350,5.464,Germanic
P0059,sample_B_individualist,5.063,4.804,4.916,4.446,3.685,4.337,0.350,4.749,Germanic
P0060,sample_B_individualist,4.750,6.277,3.058,3.213,2.103,4.844,0.350,5.208,Germanic
P0061,sample_B_individualist,4.188,3.559,4.090,4.711,3.978,3.591,0.350,3.991,Germanic
P0062,sample_B_individualist,3.922,5.466,4.863,4.516,4.050,6.085,0.350,5.402,Germanic
P0063,sample_B_individualist,3.695,5.006,4.863,4.788,4.629,3.721,0.350,4.504,Germanic
P0064,sample_B_individualist,4.494,4.261,2.898,4.579,2.396,5.980,0.350,5.596,Germanic
P0065,sample_B_individualist,2.922,4.247,4.475,4.931,3.258,4.096,0.350,4.651,Germanic
P0066,sample_B_individualist,3.768,5.443,4.635,4.778,4.279,4.775,0.350,5.310,Germanic
P0067,sample_B_individualist,3.927,4.742,4.453,4.039,3.333,4.408,0.350,4.815,Germanic
P0068,sample_B_individualist,6.025,5.737,3.641,4.321,3.858,4.543,0.350,4.855,Germanic
P0069,sample_B_individualist,4.203,4.734,4.525,4.159,3.907,3.558,0.350,4.802,Germanic
P0070,sample_B_individualist,3.586,3.287,4.696,4.217,3.450,4.519,0.350,4.524,Germanic
P0071,sample_B_individualist,4.036,5.358,5.608,4.297,3.498,4.251,0.350,5.252,Germanic
P0072,sample_B_individualist,3.549,3.977,2.746,3.794,3.437,4.820,0.350,5.425,Germanic
P0073,sample_B_individualist,4.423,3.101,3.805,4.536,4.044,4.501,0.350,4.700,Germanic
P0074,sample_B_individualist,3.017,3.947,3.000,4.022,3.221,4.875,0.350,4.743,Germanic
P0075,sample_B_individualist,3.486,3.339,3.378,3.992,3.742,4.275,0.350,4.110,Germanic
P0076,sample_B_individualist,3.530,3.106,3.364,4.681,4.245,4.442,0.350,4.238,Germanic
P0077,sample_B_individualist,3.755,3.241,4.509,3.896,4.355,4.416,0.350,4.368,Germanic
P0078,sample_B_individualist,4.681,4.874,3.184,5.075,4.947,3.999,0.350,5.151,Germanic
P0079,sample_B_individualist,2.672,3.953,3.024,4.243,3.540,4.314,0.350,5.216,Germanic
P0080,sample_B_individualist,4.462,4.881,3.507,4.647,3.390,5.055,0.350,5.331,Germanic
P0081,sample_C_honor_context,3.425,3.087,3.417,3.166,2.746,4.714,0.550,4.411,Semitic
P0082,sample_C_honor_context,3.704,4.845,3.757,3.830,3.549,4.228,0.550,5.499,Semitic
P0083,sample_C_honor_context,4.955,3.525,5.037,4.642,3.842,4.469,0.550,5.046,Semitic
P0084,sample_C_honor_context,3.415,4.287,1.990,4.965,4.996,5.033,0.550,4.670,Semitic
P0085,sample_C_honor_context,5.442,4.991,5.327,3.649,3.542,4.663,0.550,5.402,Semitic
P0086,sample_C_honor_context,4.379,4.530,4.716,3.492,4.351,4.785,0.550,4.806,Semitic
P0087,sample_C_honor_context,3.999,3.235,2.917,4.662,3.323,4.866,0.550,5.010,Semitic
P0088,sample_C_honor_context,3.835,4.754,4.419,4.752,4.191,4.601,0.550,5.098,Semitic
P0089,sample_C_honor_context,4.448,4.198,2.905,4.557,3.736,4.377,0.550,4.894,Semitic
P0090,sample_C_honor_context,5.241,4.253,2.859,5.642,4.410,4.064,0.550,5.264,Semitic
P0091,sample_C_honor_context,3.621,4.667,4.295,3.802,5.580,4.690,0.550,5.026,Semitic
P0092,sample_C_honor_context,4.931,4.651,2.678,5.295,4.316,4.730,0.550,5.927,Semitic
P0093,sample_C_honor_context,4.005,5.156,4.433,4.108,3.212,3.261,0.550,5.430,Semitic
P0094,sample_C_honor_context,3.907,3.868,2.838,3.964,3.315,4.493,0.550,3.899,Semitic
P0095,sample_C_honor_context,3.436,4.560,3.995,4.938,2.903,3.518,0.550,5.305,Semitic
P0096,sample_C_honor_context,4.676,4.013,5.332,4.982,2.770,4.228,0.550,4.377,Semitic
