respondent_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,sociability_score,assertiveness_score,compassion_score,politeness_score,orderliness_score,industriousness_score,anxiety_score,volatility_score,aesthetics_score,intellect_score,outcome_score,broad_life_functioning,relationship_functioning,creative_engagement,emotional_distress,facet_profile_dispersion,hierarchy_consistency_index,bandwidth_fidelity_gap,domain_facet_alignment
FFM00001,4.205,4.829,4.300,1.956,4.931,4.697,4.088,4.303,3.977,4.389,4.404,2.892,2.503,4.224,6.140,4.213,4.433,4.937,5.292,3.114,0.651,6.627,1.218,6.238
FFM00002,4.910,5.915,3.649,4.297,3.630,4.132,4.810,5.796,4.757,4.387,3.648,4.389,3.409,4.430,3.672,4.190,3.791,5.918,5.168,3.956,0.839,5.830,2.395,5.712
FFM00003,5.181,3.906,3.959,4.543,4.296,4.261,4.188,4.601,3.944,3.532,3.492,4.239,5.165,4.526,2.859,2.671,4.634,4.396,4.502,5.287,0.673,5.256,2.570,5.618
FFM00004,4.418,3.851,1.562,3.432,3.548,3.327,4.370,3.946,4.251,3.176,1.397,3.125,2.760,3.438,2.521,1.528,2.448,3.287,4.110,3.917,0.882,5.012,1.648,5.737
FFM00005,5.316,3.891,4.851,3.231,5.269,5.181,5.767,4.515,3.024,5.274,5.200,3.661,3.513,4.343,4.312,4.385,3.980,5.075,5.557,3.459,0.466,6.301,1.445,6.334
FFM00006,3.782,2.968,4.991,3.712,3.658,3.977,3.671,3.066,2.938,5.215,5.753,3.393,2.260,4.162,3.248,4.249,3.077,3.116,4.395,4.119,0.604,5.694,2.477,6.300
FFM00007,4.893,2.738,2.780,2.689,2.093,4.622,5.124,2.348,2.540,3.902,2.458,2.193,2.547,1.586,3.025,2.894,2.879,4.006,3.942,2.225,0.786,6.029,2.491,6.797
FFM00008,3.612,5.345,4.878,3.546,4.548,3.386,3.625,4.783,4.726,3.880,4.388,4.018,2.153,4.283,4.107,3.651,3.942,5.081,4.594,2.922,0.569,6.073,2.964,5.927
FFM00009,1.875,3.186,1.491,3.051,4.026,2.910,2.915,2.541,3.368,2.437,2.215,3.983,2.947,3.293,4.957,2.410,3.223,3.152,4.387,3.587,0.751,5.410,2.156,5.779
FFM00010,3.666,2.995,3.811,5.599,3.981,3.758,2.811,3.177,3.412,3.418,4.389,4.883,5.031,3.936,4.653,3.242,3.516,2.968,4.898,4.983,0.604,5.703,2.145,6.348
FFM00011,3.988,3.227,2.485,2.832,2.970,4.508,2.789,3.997,4.388,3.445,3.644,2.793,4.124,3.991,3.654,3.135,3.804,4.170,5.439,4.635,0.795,4.880,3.452,5.398
FFM00012,6.670,4.488,3.570,3.706,4.642,6.086,6.124,4.045,4.682,4.575,3.569,4.638,3.506,4.415,4.462,3.395,4.158,5.473,6.283,4.023,0.572,5.501,1.509,5.906
FFM00013,4.108,3.649,3.072,5.711,4.997,3.731,3.643,3.657,3.029,2.644,2.878,5.213,3.915,4.709,4.516,2.639,2.858,4.793,6.540,5.310,0.488,5.514,2.422,5.940
FFM00014,4.094,4.345,4.331,3.000,5.705,3.945,5.106,4.747,2.840,4.038,2.941,2.617,3.536,4.251,5.024,3.266,3.435,4.120,5.030,2.771,1.171,5.272,2.919,5.767
FFM00015,3.281,4.079,5.368,1.760,5.167,3.063,3.041,4.383,4.071,4.374,5.990,2.694,3.405,3.640,4.927,4.548,3.533,4.159,4.737,2.922,0.790,5.916,1.911,5.700
FFM00016,4.971,6.438,4.888,5.644,3.960,6.202,3.389,5.787,4.511,4.686,5.016,4.612,5.314,3.795,3.822,4.336,4.493,5.136,4.672,4.941,1.030,6.054,2.283,6.029
FFM00017,4.602,4.661,4.381,4.222,6.326,3.774,4.778,4.985,5.189,4.164,5.450,3.947,4.863,5.421,4.945,3.666,5.370,3.677,6.625,4.081,0.777,6.005,2.263,5.993
FFM00018,2.552,5.276,4.839,3.664,3.614,2.379,4.204,5.741,5.450,5.134,4.266,4.965,3.262,3.034,4.352,3.847,3.495,4.543,3.856,4.094,1.201,6.381,2.967,6.362
FFM00019,3.535,3.509,4.995,2.319,3.491,4.527,4.920,4.772,4.525,5.113,4.819,3.659,3.082,3.401,4.174,4.501,3.636,4.384,4.438,4.198,0.457,5.644,2.358,5.377
FFM00020,2.356,4.976,4.304,4.346,4.883,3.754,3.789,4.579,4.935,3.587,4.565,4.221,4.550,4.259,4.529,4.543,3.937,3.704,5.734,4.457,0.394,5.705,1.575,5.865
FFM00021,5.960,3.364,2.875,4.460,4.023,5.665,5.344,3.275,3.346,3.362,3.390,4.665,3.367,4.586,3.832,3.371,3.517,4.288,4.795,4.856,0.494,5.338,1.933,5.862
FFM00022,3.493,3.864,4.002,4.061,3.217,5.081,2.246,4.087,2.354,4.269,4.350,3.481,4.890,3.181,1.924,2.992,2.654,4.061,4.307,4.127,1.463,5.887,3.070,6.198
FFM00023,2.633,5.064,6.097,3.592,3.445,3.536,2.662,4.249,4.300,5.265,5.409,3.501,3.374,3.379,2.726,5.252,4.445,3.864,3.316,3.799,0.370,6.471,2.105,5.882
FFM00024,3.930,5.327,5.730,1.756,4.984,4.295,2.981,5.253,4.902,5.291,4.619,2.308,1.613,3.424,4.550,4.468,4.170,5.177,6.061,1.850,0.832,5.822,2.607,5.827
FFM00025,4.530,2.547,2.987,2.881,5.282,4.577,3.419,2.739,3.330,3.994,2.846,4.182,4.178,3.812,4.846,3.530,3.661,3.355,4.820,3.491,0.787,5.139,1.746,5.599
FFM00026,5.502,5.217,4.193,1.731,4.344,5.058,3.911,4.858,5.133,4.552,4.302,2.483,1.929,4.226,3.535,3.462,3.829,5.768,4.944,2.087,0.583,5.997,2.162,6.000
FFM00027,4.869,4.116,3.230,3.925,6.771,3.539,5.112,3.715,3.566,3.038,3.917,3.204,3.752,4.632,5.831,3.382,4.489,4.031,6.087,3.269,0.869,5.835,1.851,5.781
FFM00028,3.097,4.839,5.693,2.439,4.882,2.877,3.086,3.969,4.508,4.957,4.615,3.750,2.556,4.275,4.815,3.479,4.852,4.980,5.328,3.467,0.565,6.307,3.076,5.932
FFM00029,5.035,2.699,5.474,2.573,4.144,3.903,5.579,2.576,3.991,4.879,4.888,2.720,2.920,4.518,3.325,4.010,4.914,4.634,4.909,3.870,0.898,5.859,2.748,6.225
FFM00030,5.273,3.023,4.347,5.069,5.121,4.917,4.122,2.299,3.120,4.323,4.574,5.210,5.452,4.122,5.393,3.832,3.815,3.887,5.695,5.287,0.676,5.870,2.385,6.508
FFM00031,4.557,4.510,4.889,2.573,4.017,4.778,4.014,4.828,4.134,5.098,4.719,2.536,3.114,3.658,3.105,4.534,3.865,4.505,5.526,2.706,0.593,6.176,2.756,6.483
FFM00032,2.430,2.931,4.671,3.709,4.097,3.476,1.778,2.453,2.500,3.927,4.754,5.010,4.994,4.566,3.793,4.166,3.727,2.366,4.855,4.442,0.672,5.762,2.135,5.981
FFM00033,2.526,3.271,5.126,3.061,4.421,3.037,3.637,3.376,3.104,4.782,4.759,3.991,3.405,4.868,3.390,3.490,3.813,3.192,5.713,3.840,0.592,5.927,3.215,5.913
FFM00034,4.570,4.465,3.963,4.539,4.753,5.645,4.387,3.596,4.551,4.249,3.716,4.846,4.304,4.146,4.652,3.316,4.797,4.171,6.933,4.617,0.759,6.447,3.251,6.668
FFM00035,3.038,5.881,2.788,3.582,3.440,4.096,3.946,5.228,5.235,3.483,3.106,4.115,3.104,2.768,3.160,3.127,2.849,4.827,4.166,3.159,0.387,5.502,1.528,5.606
FFM00036,3.026,4.566,4.072,5.170,3.416,4.466,4.490,4.430,3.735,4.271,3.989,5.611,4.343,3.297,4.115,3.887,2.372,4.329,4.215,5.383,0.617,5.592,1.441,5.902
FFM00037,5.588,4.420,4.060,5.120,4.924,4.455,4.240,4.542,4.343,4.192,4.222,4.542,5.575,4.332,4.085,3.680,3.825,5.125,6.072,4.612,0.345,5.759,1.760,6.390
FFM00038,3.066,3.231,4.767,4.428,4.035,2.758,3.013,2.775,2.401,3.480,4.510,4.027,4.333,3.816,3.247,3.838,3.558,3.633,4.297,5.035,0.506,6.058,2.134,6.100
