participant_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,conscientiousness_t1,conscientiousness_t2,behavior_score,trait_score,situation_strength,person_situation_interaction,characterology_typology_index,psychometric_structure_index,person_situation_index,narrative_identity_index,measurement_invariance_caution_index,historical_method_maturity_index
HIST00001,4.347,4.163,5.681,5.225,3.680,5.950,5.535,4.828,3.870,4.979,2.753,7.181,6.102,5.085,4.625,4.435,4.772
HIST00002,2.905,4.614,3.342,4.114,3.842,3.153,3.722,3.716,3.471,1.712,0.849,6.754,6.082,2.946,3.946,4.362,5.131
HIST00003,4.852,4.642,5.365,3.617,3.462,5.062,5.353,3.807,3.671,3.391,1.778,5.437,7.068,3.864,5.237,3.441,5.902
HIST00004,2.647,3.769,3.373,4.079,3.009,3.610,4.105,3.921,3.196,4.825,2.203,6.809,5.557,4.354,3.503,4.207,5.084
HIST00005,4.155,5.262,4.552,5.322,4.093,4.756,4.386,3.606,4.308,4.229,2.603,6.450,6.709,4.147,4.827,4.924,6.058
HIST00006,4.510,3.621,5.092,3.547,5.727,5.035,5.561,4.257,3.560,5.033,2.560,5.878,7.534,4.641,5.527,4.884,5.576
HIST00007,4.485,3.477,4.359,3.010,4.008,4.459,3.684,3.447,3.417,4.083,1.993,7.055,5.162,3.829,5.407,3.853,5.280
HIST00008,3.888,3.513,5.063,4.327,4.611,5.475,5.418,4.212,3.799,4.628,2.512,6.306,6.324,4.987,3.906,4.758,5.133
HIST00009,3.190,3.477,4.554,4.528,4.816,4.592,5.065,3.478,3.570,3.001,1.531,6.559,6.358,3.793,5.088,5.025,5.149
HIST00010,3.261,5.831,2.902,3.832,4.852,2.914,3.148,3.613,3.821,3.686,2.012,6.401,5.920,4.023,5.247,5.309,5.502
HIST00011,3.939,2.620,1.751,3.582,4.025,1.993,2.107,2.944,2.505,2.352,0.841,7.474,4.144,4.360,3.942,3.281,4.463
HIST00012,3.041,4.128,2.646,3.593,4.448,2.844,3.228,4.207,2.396,4.681,1.602,7.135,4.635,4.421,5.334,4.523,5.163
HIST00013,5.904,4.799,4.976,5.473,4.993,5.146,4.942,3.346,4.391,2.445,1.534,6.295,6.585,3.736,4.529,5.208,6.003
HIST00014,2.887,4.034,5.444,2.752,5.778,5.435,5.183,4.272,4.969,2.818,2.000,6.724,6.696,3.895,5.672,4.568,5.844
HIST00015,5.825,4.228,3.867,4.560,6.941,3.480,3.228,4.188,3.212,4.496,2.063,6.546,6.469,4.018,5.044,4.641,5.691
HIST00016,3.862,4.526,4.405,6.432,4.378,4.303,3.954,5.046,3.949,4.878,2.751,6.734,5.895,5.179,5.909,5.041,5.793
