participant_id,institutional_unit,role_type,conscientiousness,agreeableness,emotional_stability,openness,dark_trait_pressure,bureaucratic_fit,discretion_level,accountability_strength,leadership_rating,institutional_performance,institutional_trust,role_clarity
I0001,public_administration,administrator,5.369,4.091,3.531,4.104,1.422,5.312,3.935,4.166,4.513,5.453,4.638,3.488
I0002,public_administration,administrator,3.782,4.471,4.730,3.979,1.305,4.120,4.010,5.059,5.869,4.346,4.723,4.546
I0003,public_administration,administrator,4.668,4.064,3.679,3.313,2.227,4.271,4.410,4.535,4.829,4.008,4.241,3.800
I0004,public_administration,administrator,3.513,3.523,4.446,4.319,1.000,3.892,4.263,4.814,4.626,4.474,4.782,4.016
I0005,public_administration,administrator,4.003,4.157,5.659,5.077,1.000,5.264,4.639,4.842,4.754,5.118,4.366,4.050
I0006,public_administration,administrator,3.991,2.717,5.355,4.310,1.835,4.107,3.734,4.614,6.323,3.845,3.880,3.814
I0007,public_administration,administrator,3.172,3.890,3.907,5.131,1.349,4.328,4.295,5.305,5.642,4.446,4.514,3.997
I0008,public_administration,administrator,4.303,4.618,2.614,3.494,1.943,4.433,4.062,5.088,4.901,4.398,3.689,3.714
I0009,public_administration,manager,3.277,3.709,3.850,2.402,1.000,4.534,4.421,4.638,4.151,3.915,3.598,3.928
I0010,public_administration,manager,3.972,3.355,4.608,3.447,1.000,4.609,4.322,4.695,5.003,4.066,4.351,3.692
I0011,public_administration,manager,4.219,3.743,3.953,4.292,1.211,4.328,4.747,5.153,4.996,4.914,4.215,3.653
I0012,public_administration,manager,4.266,3.510,3.615,5.005,1.153,4.462,4.669,5.726,5.474,4.610,4.011,3.870
I0013,public_administration,manager,5.785,5.183,4.360,3.090,1.367,5.263,4.433,4.454,5.695,4.843,4.387,3.748
I0014,public_administration,manager,4.094,3.201,3.949,3.777,2.030,4.407,5.114,4.532,5.164,4.741,3.628,3.331
I0015,public_administration,manager,3.783,3.095,4.870,4.796,2.185,3.790,4.034,4.743,5.698,4.472,4.749,4.212
I0016,public_administration,manager,4.416,3.365,3.203,3.903,2.403,5.032,4.885,4.522,4.311,4.740,3.511,3.709
I0017,public_administration,frontline_official,6.339,3.679,3.663,3.065,1.000,4.712,3.693,4.397,5.520,4.508,3.887,3.814
I0018,public_administration,frontline_official,2.689,3.396,4.260,3.258,1.000,3.220,3.976,4.391,4.458,4.013,4.596,3.689
I0019,public_administration,frontline_official,3.111,4.592,3.514,4.465,1.407,4.056,3.527,4.732,4.370,3.839,4.100,2.738
I0020,public_administration,frontline_official,3.903,4.436,4.173,3.340,2.320,5.111,3.458,4.293,4.604,4.130,3.455,3.921
I0021,public_administration,frontline_official,4.239,3.072,2.687,4.749,1.187,4.847,3.028,5.009,4.909,5.161,4.573,4.153
I0022,public_administration,frontline_official,4.597,3.267,3.281,3.973,2.146,4.062,3.685,4.703,5.057,4.934,4.295,4.133
I0023,public_administration,frontline_official,3.443,3.060,4.390,4.336,1.687,4.329,3.915,5.028,4.059,4.734,4.305,3.574
I0024,public_administration,frontline_official,5.209,3.349,4.972,3.939,2.243,4.376,3.894,4.586,4.901,4.118,3.367,3.911
I0025,public_administration,committee_lead,3.949,3.060,3.502,3.927,1.000,4.555,4.062,5.873,5.441,4.357,4.618,3.831
I0026,public_administration,committee_lead,3.385,3.391,5.076,4.397,2.137,3.960,3.956,5.683,5.237,3.478,4.001,3.624
I0027,public_administration,committee_lead,5.205,4.224,5.518,4.449,1.728,4.670,3.676,4.933,5.460,4.520,4.687,3.311
I0028,public_administration,committee_lead,4.491,5.046,5.006,4.319,1.242,4.776,4.027,4.837,5.013,4.514,5.188,3.821
I0029,public_administration,committee_lead,4.224,4.670,5.343,3.768,1.000,4.526,4.006,5.048,5.593,4.835,5.049,4.697
