person_id,c1,c2,c3,c4,c5,c6,e1,e2,e3,e4,e5,e6,n1,n2,n3,n4,n5,n6,conscientiousness_score,extraversion_score,neuroticism_score,self_report_consistency_index,trait_observation_alignment
TRT00001,2.327,2.007,3.125,2.750,3.324,2.589,1.910,1.000,1.718,1.524,2.302,2.251,5.397,5.209,5.146,4.500,5.708,4.845,2.687,1.784,5.134,7.822,6.950
TRT00002,4.749,4.795,4.283,5.445,5.850,4.942,2.760,2.612,3.803,4.279,4.265,3.660,4.239,4.123,5.220,5.084,4.597,6.356,5.011,3.563,4.937,7.180,8.967
TRT00003,5.508,5.323,6.293,6.088,6.031,6.284,2.609,4.334,4.180,3.295,3.409,4.590,6.023,6.394,5.166,5.199,5.350,5.539,5.921,3.736,5.612,7.776,7.232
TRT00004,3.163,4.851,5.455,5.565,3.642,4.172,3.675,3.269,4.856,2.909,4.011,4.507,2.854,5.235,4.289,4.536,4.662,4.314,4.475,3.871,4.315,6.789,8.579
TRT00005,4.336,3.722,4.155,2.798,4.075,3.344,2.416,1.963,2.972,3.149,3.606,2.843,3.450,1.713,3.426,2.130,2.807,2.719,3.738,2.825,2.708,7.588,7.695
TRT00006,5.942,5.858,4.687,6.392,5.616,6.077,4.668,4.943,4.277,5.446,5.385,5.634,5.070,4.045,4.166,3.442,4.783,3.030,5.762,5.059,4.089,7.480,8.338
TRT00007,3.329,4.433,4.563,3.817,2.582,4.507,4.039,4.185,5.107,3.582,4.849,4.400,3.650,2.321,1.454,2.886,2.113,1.930,3.872,4.360,2.392,6.979,7.638
TRT00008,2.378,2.515,2.107,2.843,2.825,2.807,4.728,4.168,3.761,4.425,4.004,3.898,2.874,4.861,4.624,3.482,4.161,4.090,2.579,4.164,4.015,8.193,8.073
TRT00009,5.712,5.702,4.942,5.073,5.734,5.384,4.074,3.964,4.451,4.412,3.779,4.084,3.657,3.628,2.558,3.149,3.812,3.497,5.424,4.127,3.384,8.230,8.082
TRT00010,2.889,4.526,2.753,2.950,2.588,3.745,4.035,4.270,4.809,3.805,4.493,3.842,3.638,3.707,2.579,3.578,3.161,3.334,3.242,4.209,3.333,8.508,7.833
