person_id,occasion,situation_type,state_extraversion,state_conscientiousness,state_neuroticism,situational_activation,situational_constraint
TRT00001,1,ambiguous_conflict,2.701,3.211,4.720,5.848,3.080
TRT00001,2,team_meeting,3.242,3.415,4.447,5.495,3.654
TRT00001,3,team_meeting,2.265,4.152,4.538,4.638,5.188
TRT00001,4,deadline_pressure,2.896,3.078,3.579,4.609,5.185
TRT00001,5,deadline_pressure,3.454,3.368,5.674,4.789,4.542
TRT00001,6,recovery_time,1.932,2.336,5.536,2.662,1.675
TRT00001,7,social_event,3.444,4.350,4.586,5.439,3.317
TRT00001,8,family_obligation,2.960,3.229,4.692,4.240,4.266
TRT00001,9,ambiguous_conflict,2.818,3.681,4.366,4.869,3.714
TRT00001,10,social_event,3.496,3.336,5.790,6.580,2.738
TRT00001,11,social_event,2.854,3.397,4.791,5.471,2.184
TRT00001,12,public_presentation,2.921,4.658,4.982,6.505,5.344
TRT00001,13,public_presentation,3.155,3.505,5.084,6.842,4.309
TRT00001,14,social_event,2.587,4.012,5.440,7.000,2.778
TRT00001,15,recovery_time,2.155,2.979,4.211,1.673,2.162
TRT00001,16,quiet_work,1.768,3.757,4.623,1.730,6.207
TRT00001,17,public_presentation,2.790,3.908,5.528,6.571,5.235
TRT00001,18,ambiguous_conflict,3.108,3.032,4.865,4.981,2.769
TRT00002,1,recovery_time,3.169,3.602,3.203,1.515,1.000
TRT00002,2,ambiguous_conflict,3.460,5.189,3.961,5.896,3.513
TRT00002,3,ambiguous_conflict,3.948,4.878,5.115,5.440,4.065
TRT00002,4,ambiguous_conflict,4.206,4.207,4.344,4.713,3.680
TRT00002,5,family_obligation,3.560,5.529,3.613,3.812,5.969
TRT00002,6,public_presentation,4.480,4.818,4.862,6.325,5.938
TRT00002,7,deadline_pressure,3.550,3.963,4.686,4.238,5.198
TRT00002,8,family_obligation,3.740,5.056,5.075,4.337,4.808
TRT00002,9,family_obligation,2.479,5.608,4.097,3.860,4.903
TRT00002,10,social_event,3.692,5.596,5.592,6.710,2.803
TRT00002,11,public_presentation,4.212,5.784,4.869,6.487,6.175
TRT00002,12,ambiguous_conflict,2.993,4.421,4.653,5.354,3.594
TRT00002,13,deadline_pressure,3.741,5.176,4.118,4.964,6.275
TRT00002,14,public_presentation,4.747,5.289,4.112,7.000,5.652
TRT00002,15,ambiguous_conflict,3.551,4.495,5.552,4.705,3.496
TRT00002,16,public_presentation,5.025,5.317,4.877,5.909,5.507
TRT00002,17,family_obligation,3.935,6.166,5.289,3.680,3.875
TRT00002,18,quiet_work,2.652,4.269,3.882,2.570,5.527
TRT00003,1,team_meeting,4.335,5.106,5.025,4.814,4.530
TRT00003,2,social_event,3.650,5.206,5.215,5.906,3.293
TRT00003,3,family_obligation,2.424,5.383,4.567,3.773,5.195
TRT00003,4,public_presentation,4.036,5.720,5.396,6.654,3.732
TRT00003,5,team_meeting,4.358,6.023,4.341,5.773,5.252
TRT00003,6,recovery_time,3.434,4.326,4.122,1.734,2.571
TRT00003,7,family_obligation,4.134,5.014,4.008,3.063,4.064
TRT00003,8,recovery_time,2.898,5.435,4.236,2.409,1.247
TRT00003,9,recovery_time,3.454,4.991,4.915,2.799,2.005
TRT00003,10,team_meeting,4.097,5.273,5.474,4.286,4.326
TRT00003,11,quiet_work,3.250,6.764,4.773,3.281,5.945
