person_id,conscientiousness_score,extraversion_score,neuroticism_score,mean_state_conscientiousness,sd_state_conscientiousness,mean_state_extraversion,sd_state_extraversion,mean_state_neuroticism,sd_state_neuroticism,n_observations,trait_state_alignment_index,state_variability_index,person_situation_sensitivity_index,aggregation_reliability_index
TRT00001,2.687,1.784,5.134,3.522,0.556,2.808,0.507,4.858,0.574,18,7.855,1.636,3.656,7.437
TRT00002,5.011,3.563,4.937,4.965,0.688,3.730,0.668,4.550,0.672,18,9.501,2.027,4.141,7.946
TRT00003,5.921,3.736,5.612,5.526,0.577,3.589,0.706,4.839,0.458,18,8.726,1.741,3.516,7.118
TRT00004,4.475,3.871,4.315,4.543,0.520,3.701,0.716,3.968,0.676,18,9.745,1.912,3.659,8.034
TRT00005,3.738,2.825,2.708,4.074,0.586,3.057,0.630,3.162,0.593,18,8.941,1.808,3.745,7.525
TRT00006,5.762,5.059,4.089,5.288,0.528,4.615,0.418,4.003,0.619,18,9.279,1.566,3.559,7.677
TRT00007,3.872,4.360,2.392,4.205,0.516,4.186,0.438,2.794,0.555,18,9.142,1.509,3.834,8.065
TRT00008,2.579,4.164,4.015,3.480,0.601,4.156,0.639,4.008,0.608,18,9.236,1.849,4.078,7.718
TRT00009,5.424,4.127,3.384,5.225,0.449,4.107,0.558,3.335,0.890,18,9.622,1.897,3.615,7.788
TRT00010,3.242,4.209,3.333,3.783,0.550,4.134,0.702,3.449,0.590,18,9.216,1.843,3.770,7.516
TRT00011,3.482,3.341,2.704,3.970,0.754,3.762,0.481,3.071,0.564,18,8.791,1.799,3.962,7.243
TRT00012,4.233,3.987,3.641,4.509,0.699,3.943,0.642,3.589,0.591,18,9.579,1.932,3.723,7.979
TRT00013,5.385,3.612,3.667,5.023,0.722,3.697,0.641,3.657,0.667,18,9.366,2.030,3.260,7.941
TRT00014,3.499,4.256,1.742,3.748,0.487,4.033,0.575,2.100,0.519,18,9.346,1.580,4.059,7.908
TRT00015,2.053,3.984,5.013,2.960,0.449,4.172,0.611,4.463,0.581,18,8.051,1.640,3.884,7.411
TRT00016,3.955,6.170,2.591,4.187,0.552,5.095,0.669,3.029,0.549,18,8.606,1.770,3.594,8.006
TRT00017,4.086,5.360,3.291,4.267,0.654,4.768,0.772,3.366,0.696,18,8.811,2.122,4.069,7.947
TRT00018,4.380,3.130,3.757,4.486,0.526,3.232,0.637,3.485,0.729,18,9.603,1.892,3.887,7.664
TRT00019,2.719,5.163,3.117,3.377,0.484,4.457,0.709,3.063,0.597,18,8.572,1.790,3.900,7.652
TRT00020,3.178,4.453,3.691,3.752,0.656,4.176,0.804,3.588,0.773,18,9.155,2.233,3.744,7.503
TRT00021,5.533,3.897,4.911,5.217,0.370,3.885,0.451,4.343,0.490,18,9.550,1.312,4.206,8.251
TRT00022,5.124,2.736,4.710,4.948,0.561,2.997,0.495,4.123,0.505,18,9.166,1.561,3.882,7.713
TRT00023,4.036,3.738,3.884,4.274,0.740,3.578,0.882,3.710,0.514,18,8.960,2.136,3.877,7.237
TRT00024,2.527,3.082,3.519,3.334,0.604,3.323,0.704,3.686,0.721,18,8.924,2.029,3.893,7.787
TRT00025,3.717,4.551,2.935,4.172,0.677,4.108,0.819,2.886,0.690,18,8.903,2.186,3.580,7.812
TRT00026,2.850,3.448,2.857,3.487,0.587,3.288,0.799,3.069,0.818,18,9.070,2.203,3.666,7.439
TRT00027,4.782,3.655,2.643,4.519,0.672,3.690,0.568,2.937,0.574,18,9.305,1.814,4.085,7.831
TRT00028,4.275,3.466,4.745,4.567,0.483,3.765,0.541,4.519,0.633,18,9.462,1.657,4.245,7.710
TRT00029,5.290,2.994,3.259,5.268,0.511,3.155,0.596,3.017,0.635,18,9.500,1.742,3.805,7.931
TRT00030,5.212,2.573,6.509,5.345,0.517,3.163,0.755,5.524,0.661,18,8.504,1.933,4.044,7.896
TRT00031,2.834,2.864,3.057,3.318,0.332,3.265,0.473,3.266,0.466,18,9.239,1.271,3.721,7.866
TRT00032,3.721,4.731,3.655,4.116,0.652,4.120,0.564,3.472,0.593,18,8.633,1.809,3.791,7.553
TRT00033,4.876,4.225,3.152,4.741,0.540,4.289,0.522,3.464,0.708,18,9.785,1.770,4.119,8.159
TRT00034,4.199,2.662,4.700,4.451,0.653,3.189,0.614,4.404,0.554,18,8.753,1.821,3.771,7.303
TRT00035,5.329,3.565,3.784,4.943,0.513,3.481,0.541,3.742,0.543,18,9.511,1.597,3.824,8.047
TRT00036,3.873,4.542,3.817,4.010,0.578,4.296,0.613,3.794,0.865,18,9.896,2.056,3.546,8.017
TRT00037,3.688,3.773,4.048,4.106,0.564,3.706,0.656,3.495,0.869,18,9.043,2.088,3.591,7.859
TRT00038,2.768,5.265,5.004,3.496,0.429,4.617,0.542,4.601,0.662,18,8.167,1.633,4.178,7.517
TRT00039,3.697,3.758,3.240,4.290,0.520,3.932,0.766,3.353,0.561,18,9.118,1.846,4.144,7.804
TRT00040,4.932,2.526,3.771,4.798,0.485,3.002,0.609,3.660,0.409,18,9.501,1.503,3.988,8.093
TRT00041,3.687,3.939,4.677,4.199,0.596,3.616,0.488,3.989,0.452,18,8.407,1.535,3.789,7.406
TRT00042,5.090,3.079,2.139,5.173,0.577,3.117,0.794,2.428,0.768,18,9.605,2.139,3.910,7.777
TRT00043,2.508,4.952,3.456,3.401,0.860,4.770,0.649,3.255,0.436,18,8.804,1.945,3.652,7.589
