participant_id,country_context,political_system_type,extraversion,agreeableness,conscientiousness,neuroticism,openness,political_interest,political_efficacy,group_identity_strength,perceived_threat,media_exposure,civic_opportunity,ideology_score,political_participation,affective_polarization,trust_in_institutions,leadership_authority_preference
PB0001,context_A_pluralist,multiparty_parliamentary,4.032,4.616,5.804,3.189,2.690,4.071,4.242,5.003,3.566,2.526,4.208,4.700,5.885,3.466,3.307,4.140
PB0002,context_A_pluralist,multiparty_parliamentary,5.204,3.455,5.177,4.620,3.473,5.778,3.627,4.340,3.911,4.161,4.837,3.567,7.000,3.746,3.160,3.729
PB0003,context_A_pluralist,multiparty_parliamentary,4.078,5.487,4.188,5.058,5.588,4.926,3.136,5.563,3.526,2.395,4.727,4.866,5.430,4.144,2.921,2.761
PB0004,context_A_pluralist,multiparty_parliamentary,4.796,3.189,3.582,3.059,3.350,4.704,3.973,2.925,3.956,3.325,4.306,5.233,5.780,3.670,2.362,3.488
PB0005,context_A_pluralist,multiparty_parliamentary,4.328,3.977,3.937,3.328,4.507,4.669,3.312,4.584,2.050,4.232,4.704,5.146,5.936,3.196,2.679,2.000
PB0006,context_A_pluralist,multiparty_parliamentary,4.846,3.420,4.376,3.137,3.502,5.229,3.222,5.121,3.781,3.756,4.903,4.938,6.488,4.617,2.589,3.614
PB0007,context_A_pluralist,multiparty_parliamentary,4.172,4.217,3.999,4.234,4.299,4.047,3.399,4.493,1.945,3.288,4.589,3.095,5.148,1.992,3.197,3.532
PB0008,context_A_pluralist,multiparty_parliamentary,3.592,2.964,3.599,4.737,2.693,4.507,2.705,5.014,3.764,3.084,4.311,3.716,5.085,2.799,2.950,2.939
PB0009,context_A_pluralist,multiparty_parliamentary,4.301,4.146,4.257,3.953,4.614,4.397,4.154,4.799,3.413,3.883,4.234,5.082,6.772,3.835,3.091,2.857
PB0010,context_A_pluralist,multiparty_parliamentary,5.635,3.439,4.274,2.287,4.739,5.347,3.833,3.466,2.002,3.374,4.181,4.418,6.167,2.378,2.895,2.756
PB0011,context_A_pluralist,multiparty_parliamentary,3.578,3.889,3.011,3.828,3.532,4.465,3.491,4.242,3.302,3.436,4.085,6.024,5.006,2.445,2.950,2.162
PB0012,context_A_pluralist,multiparty_parliamentary,4.289,4.306,4.002,3.718,2.687,5.197,3.062,4.024,2.618,3.336,4.622,5.969,6.491,2.913,3.393,2.405
PB0013,context_A_pluralist,multiparty_parliamentary,4.803,4.879,4.617,4.026,4.664,4.542,2.960,4.264,3.224,2.286,5.271,5.310,5.825,3.213,3.027,2.216
PB0014,context_A_pluralist,multiparty_parliamentary,3.296,3.852,4.286,3.371,6.136,5.084,3.649,4.757,2.988,3.445,4.935,4.591,6.565,3.695,3.044,2.578
PB0015,context_A_pluralist,multiparty_parliamentary,3.103,4.714,4.378,3.739,4.680,3.837,3.900,4.061,3.098,2.597,4.647,3.427,5.764,3.118,2.651,3.379
PB0016,context_A_pluralist,multiparty_parliamentary,5.261,5.114,4.319,3.414,3.788,3.950,3.751,3.887,3.256,4.239,4.913,4.816,6.303,2.542,3.624,2.403
PB0017,context_A_pluralist,multiparty_parliamentary,2.644,3.892,5.183,3.702,3.258,3.213,2.655,3.878,4.311,2.698,4.590,6.702,4.835,2.938,3.458,4.026
PB0018,context_A_pluralist,multiparty_parliamentary,3.027,3.903,4.268,3.877,4.278,3.929,3.634,4.191,3.908,3.273,5.091,5.731,5.641,3.473,2.416,3.846
PB0019,context_A_pluralist,multiparty_parliamentary,2.834,5.028,4.345,4.165,5.270,4.466,3.556,4.561,2.951,1.738,4.346,3.465,5.107,2.676,2.879,2.624
PB0020,context_A_pluralist,multiparty_parliamentary,3.999,4.642,5.220,2.620,3.926,4.559,4.185,4.064,3.371,5.507,5.005,5.201,5.987,3.417,2.369,2.584
PB0021,context_A_pluralist,multiparty_parliamentary,4.670,3.062,3.833,2.855,3.824,5.439,3.563,4.016,2.621,2.550,4.769,4.202,6.939,3.285,3.048,2.067
PB0022,context_A_pluralist,multiparty_parliamentary,3.669,4.497,4.816,4.260,4.085,3.223,4.288,5.105,3.311,3.122,4.998,4.810,5.198,3.749,3.348,3.603
PB0023,context_A_pluralist,multiparty_parliamentary,4.234,4.688,3.418,4.926,3.947,3.655,4.068,4.672,3.515,3.867,5.145,5.226,6.040,2.991,3.174,3.127
PB0024,context_A_pluralist,multiparty_parliamentary,4.413,3.585,5.328,3.540,3.235,4.987,3.585,4.562,2.639,3.104,4.448,4.847,6.425,3.398,2.809,3.325
PB0025,context_A_pluralist,multiparty_parliamentary,2.037,4.152,3.844,5.108,4.198,4.141,3.086,4.797,3.872,3.804,4.709,4.472,5.706,3.293,3.175,4.000
PB0026,context_A_pluralist,multiparty_parliamentary,5.082,4.178,4.308,3.834,3.959,4.794,3.901,4.470,3.790,3.043,4.240,5.819,6.083,2.483,2.980,4.025
PB0027,context_A_pluralist,multiparty_parliamentary,5.672,3.979,5.047,3.105,2.756,3.747,3.793,4.031,3.444,3.897,4.489,5.498,5.340,3.533,2.086,3.292
PB0028,context_A_pluralist,multiparty_parliamentary,4.152,3.686,4.364,3.774,4.267,5.865,3.674,4.622,3.389,4.162,5.095,5.911,6.436,3.247,3.943,3.837
PB0029,context_A_pluralist,multiparty_parliamentary,2.473,4.348,5.144,3.599,5.681,3.734,3.749,4.653,2.933,2.789,4.104,4.390,5.208,2.358,3.260,3.207
PB0030,context_A_pluralist,multiparty_parliamentary,4.121,4.626,4.292,3.814,4.074,4.472,2.678,4.610,2.004,2.290,4.018,5.673,5.379,2.409,3.022,2.788
PB0031,context_A_pluralist,multiparty_parliamentary,3.402,3.850,4.723,3.701,4.808,3.979,2.700,4.193,3.667,3.744,4.574,5.076,6.103,2.913,2.037,3.218
PB0032,context_A_pluralist,multiparty_parliamentary,3.236,3.045,4.224,2.913,3.928,3.470,3.297,4.137,2.863,1.871,4.953,5.089,5.735,2.641,2.439,3.268
PB0033,context_A_pluralist,multiparty_parliamentary,3.750,3.725,3.228,3.576,3.694,3.544,3.067,4.025,2.461,2.955,4.384,4.033,4.338,2.527,2.923,2.731
PB0034,context_A_pluralist,multiparty_parliamentary,4.187,4.229,3.452,3.397,3.570,4.141,3.659,4.460,1.904,1.952,4.382,5.785,6.616,2.880,2.890,1.984
PB0035,context_A_pluralist,multiparty_parliamentary,5.860,4.340,5.317,2.872,2.442,4.202,3.746,3.595,3.534,3.454,5.019,5.572,6.372,3.672,2.910,3.334
PB0036,context_A_pluralist,multiparty_parliamentary,4.389,4.464,4.496,2.445,3.464,4.306,4.134,4.373,2.830,2.476,4.353,6.608,6.314,3.672,3.360,2.331
PB0037,context_A_pluralist,multiparty_parliamentary,4.034,4.875,4.830,3.726,3.972,4.262,3.596,4.513,3.098,3.430,4.753,5.432,5.951,3.504,2.897,3.705
PB0038,context_A_pluralist,multiparty_parliamentary,4.725,3.980,4.330,3.802,2.880,4.316,3.344,3.563,3.998,3.347,4.475,4.007,6.742,3.280,1.699,4.708
PB0039,context_A_pluralist,multiparty_parliamentary,4.176,4.336,5.289,3.565,5.155,3.706,3.509,4.751,2.574,3.270,4.799,5.067,6.005,2.414,3.520,3.695
PB0040,context_A_pluralist,multiparty_parliamentary,4.519,3.850,3.290,2.608,4.543,5.148,4.729,3.636,1.396,3.920,4.530,2.295,6.019,3.561,2.955,1.599
PB0041,context_A_pluralist,multiparty_parliamentary,5.456,4.361,4.637,4.263,4.727,5.329,4.007,4.163,2.952,3.739,4.324,4.665,6.355,2.167,3.492,3.471
PB0042,context_A_pluralist,multiparty_parliamentary,3.915,4.563,4.060,3.170,4.632,5.632,4.286,4.061,2.836,3.473,4.836,4.396,6.233,2.238,3.744,2.992
PB0043,context_A_pluralist,multiparty_parliamentary,4.867,4.303,3.574,3.243,5.336,4.912,3.637,4.514,2.977,3.567,4.411,4.406,6.417,3.465,2.448,2.838
PB0044,context_A_pluralist,multiparty_parliamentary,4.258,3.344,4.273,2.976,2.175,3.031,3.594,4.137,2.875,2.924,4.069,3.557,4.795,2.877,2.800,2.893
PB0045,context_A_pluralist,multiparty_parliamentary,3.856,4.002,5.264,4.473,4.012,3.850,4.046,4.763,3.016,3.831,4.879,4.205,6.409,2.465,3.078,3.025
PB0046,context_A_pluralist,multiparty_parliamentary,4.882,5.042,3.770,3.958,3.338,3.913,2.666,4.227,3.412,3.580,4.183,3.552,5.281,2.434,2.864,4.023
PB0047,context_A_pluralist,multiparty_parliamentary,3.037,5.757,2.961,3.234,4.565,4.405,2.710,4.089,2.763,3.202,4.154,4.756,4.376,2.246,2.482,2.053
PB0048,context_A_pluralist,multiparty_parliamentary,3.329,3.776,5.168,2.215,2.764,3.448,3.702,5.254,2.855,2.650,4.880,5.662,5.582,4.296,1.609,3.784
PB0049,context_B_majoritarian,two_party_majoritarian,4.943,3.639,3.964,3.514,3.892,4.251,3.793,4.777,2.915,3.161,4.021,3.986,6.416,3.280,2.695,3.533
PB0050,context_B_majoritarian,two_party_majoritarian,5.249,3.812,4.032,2.664,3.789,4.396,4.276,3.361,2.858,3.017,4.100,3.619,5.592,2.373,2.895,3.590
PB0051,context_B_majoritarian,two_party_majoritarian,3.605,5.651,2.609,4.206,5.272,4.532,3.712,2.769,3.341,4.000,4.128,4.131,5.110,3.513,3.382,2.441
PB0052,context_B_majoritarian,two_party_majoritarian,3.505,4.202,3.693,3.315,3.150,4.419,4.106,4.627,2.079,3.356,4.058,4.171,6.490,2.721,3.136,3.309
PB0053,context_B_majoritarian,two_party_majoritarian,3.406,4.335,3.110,3.677,3.781,4.763,3.549,4.950,2.757,3.437,4.302,4.287,5.233,3.012,3.090,2.861
PB0054,context_B_majoritarian,two_party_majoritarian,4.781,5.033,4.671,2.588,4.880,4.686,4.322,4.563,2.535,2.579,3.859,4.918,6.048,3.456,3.002,3.197
PB0055,context_B_majoritarian,two_party_majoritarian,3.906,4.719,4.868,3.778,5.138,4.698,4.060,4.718,2.866,3.456,3.809,4.220,6.079,2.783,2.996,4.246
PB0056,context_B_majoritarian,two_party_majoritarian,4.251,3.683,3.000,2.938,4.292,4.292,3.597,3.897,2.008,3.807,4.393,4.106,5.501,2.582,3.627,2.400
PB0057,context_B_majoritarian,two_party_majoritarian,3.419,4.298,3.909,3.551,4.693,5.708,3.248,4.203,3.648,3.811,4.433,3.340,6.216,3.409,3.148,3.838
PB0058,context_B_majoritarian,two_party_majoritarian,3.541,5.583,4.286,2.800,5.389,3.558,3.727,5.071,2.373,3.721,4.064,4.484,4.480,4.010,3.271,2.958
PB0059,context_B_majoritarian,two_party_majoritarian,4.506,3.910,3.876,2.674,3.678,5.426,4.125,3.882,2.521,3.255,3.567,4.002,6.311,3.282,3.418,1.854
PB0060,context_B_majoritarian,two_party_majoritarian,4.134,4.487,5.229,3.351,3.887,4.672,3.381,4.789,2.755,4.121,4.019,5.284,7.000,2.842,3.097,2.805
PB0061,context_B_majoritarian,two_party_majoritarian,4.534,3.809,5.515,3.459,3.164,4.622,4.465,5.157,3.392,3.094,4.034,3.722,6.540,4.246,2.335,2.751
PB0062,context_B_majoritarian,two_party_majoritarian,4.778,3.869,4.995,3.528,5.147,5.185,3.455,4.119,3.020,4.015,4.264,5.263,7.000,2.595,2.313,2.831
PB0063,context_B_majoritarian,two_party_majoritarian,3.460,4.011,3.917,3.646,4.260,4.283,3.144,3.761,3.235,2.856,4.337,3.420,6.239,3.536,2.636,3.510
PB0064,context_B_majoritarian,two_party_majoritarian,3.541,3.916,4.089,3.461,4.210,5.288,2.931,3.812,2.191,4.411,4.521,5.110,5.417,2.858,2.540,3.570
PB0065,context_B_majoritarian,two_party_majoritarian,3.835,4.691,5.375,4.458,4.591,5.537,2.069,5.841,3.494,3.991,4.226,4.455,6.208,2.390,1.643,3.585
PB0066,context_B_majoritarian,two_party_majoritarian,4.383,3.744,4.960,3.777,3.657,4.292,3.043,5.402,4.012,2.928,3.993,6.569,6.022,3.411,2.417,2.882
PB0067,context_B_majoritarian,two_party_majoritarian,2.769,3.432,4.532,2.952,5.326,5.058,2.810,3.827,2.369,3.337,4.803,4.701,4.553,2.472,3.025,1.988
