child_id,developmental_context,inhibition_t1,negative_affect_t1,surgency_t1,effortful_control_t1,parenting_support_t1,family_stress_t1,classroom_support_t2,peer_support_t2,institutional_stability_t2,conscientiousness_t2,neuroticism_t2,social_confidence_t2,regulation_skill_t2,reactivity_regulation_balance,environmental_support_index,developmental_risk_index,adaptive_pathway_score
TEM00001,high_support_low_stress_context,6.722,3.524,3.494,4.727,5.122,1.985,4.183,5.362,4.498,6.732,3.257,4.341,4.962,2.246,4.839,3.491,4.964
TEM00002,high_support_low_stress_context,6.580,5.746,3.246,4.109,3.688,3.586,4.421,6.256,4.863,4.969,4.403,2.747,5.165,3.661,4.660,5.636,4.045
TEM00003,high_support_low_stress_context,5.750,4.152,2.361,4.181,5.845,2.563,3.019,3.645,4.804,5.323,3.582,3.644,4.870,2.473,4.196,4.660,4.191
TEM00004,high_support_low_stress_context,4.053,3.890,3.085,4.616,5.627,1.265,5.903,4.237,5.467,5.818,2.195,4.361,5.048,1.880,5.367,2.725,5.109
TEM00005,high_support_low_stress_context,6.125,6.563,2.533,3.811,3.472,3.053,4.726,4.546,5.242,5.531,5.416,2.446,4.086,3.794,4.373,5.348,3.709
TEM00006,high_support_low_stress_context,6.138,4.342,3.118,4.137,3.603,3.306,4.719,4.147,5.728,5.108,4.557,2.584,4.738,3.322,4.968,4.554,4.282
TEM00007,high_support_low_stress_context,5.950,3.089,4.029,4.125,4.550,2.183,5.593,3.512,5.669,5.646,3.492,3.339,5.129,2.209,5.004,3.480,4.689
TEM00008,high_support_low_stress_context,5.264,3.634,2.665,3.328,5.006,2.713,6.138,4.523,4.288,5.228,2.629,3.760,4.609,2.985,5.167,4.154,3.746
TEM00009,high_support_low_stress_context,7.000,4.393,2.903,5.188,4.125,2.643,6.034,3.654,4.248,5.956,3.550,2.759,5.771,3.086,4.297,4.414,4.673
TEM00010,high_support_low_stress_context,5.740,3.790,2.632,3.580,5.039,2.071,4.653,5.082,4.382,5.270,2.892,2.548,4.839,2.896,4.734,3.758,4.376
TEM00011,high_support_low_stress_context,6.400,5.660,4.171,3.525,3.284,2.513,4.714,4.709,4.058,4.148,4.761,3.812,4.844,3.800,4.157,5.441,3.506
TEM00012,high_support_low_stress_context,6.026,5.395,3.334,3.728,4.808,3.363,3.750,5.448,3.627,3.910,4.466,3.496,4.413,3.766,4.527,4.465,3.469
TEM00013,high_support_low_stress_context,7.000,5.212,2.708,3.987,5.593,3.163,4.627,4.380,4.061,4.712,5.084,2.322,4.383,3.558,4.350,5.221,4.465
TEM00014,high_support_low_stress_context,5.799,5.756,3.977,4.119,4.452,3.223,5.356,3.959,3.994,5.099,4.679,3.894,4.875,3.212,4.611,5.174,4.521
TEM00015,high_support_low_stress_context,6.162,3.334,2.971,4.253,4.199,3.440,5.070,4.300,4.498,5.053,4.294,3.237,4.824,2.599,4.656,4.539,3.756
TEM00016,high_support_low_stress_context,6.439,4.135,3.134,4.232,5.015,1.790,4.427,4.400,3.860,5.290,4.684,2.744,4.392,3.098,4.565,3.855,4.178
TEM00017,high_support_low_stress_context,5.154,3.397,3.009,4.122,4.559,1.843,4.799,4.453,4.367,5.584,3.272,3.429,5.240,2.577,4.560,3.105,4.188
TEM00018,high_support_low_stress_context,5.560,4.213,3.182,4.632,4.446,2.609,4.699,3.957,4.105,4.946,2.955,3.242,4.732,3.118,4.681,4.284,4.944
TEM00019,high_support_low_stress_context,4.701,5.794,4.643,3.046,4.598,2.473,6.073,4.714,4.678,4.846,3.696,4.546,4.571,3.557,5.261,4.451,4.000
TEM00020,high_support_low_stress_context,6.286,4.986,3.234,2.252,5.086,3.967,3.639,3.288,5.456,3.578,4.974,2.493,4.259,4.274,4.430,5.979,3.414
TEM00021,high_support_low_stress_context,4.290,6.234,3.054,2.858,5.958,1.737,7.000,4.415,5.848,5.953,4.298,4.454,5.638,3.513,5.459,4.514,4.340
TEM00022,high_support_low_stress_context,5.381,4.431,4.070,3.457,4.223,2.870,4.209,5.052,4.648,5.059,4.587,3.380,4.904,3.100,4.686,4.210,4.021
TEM00023,high_support_low_stress_context,4.500,5.332,3.093,3.819,5.281,2.048,4.494,4.938,4.284,4.064,3.423,4.291,5.334,3.356,5.224,3.611,4.491
TEM00024,high_support_low_stress_context,3.805,4.383,3.389,2.940,4.464,1.000,4.698,3.507,4.664,4.003,2.933,3.745,4.053,1.928,4.716,3.673,4.118
TEM00025,high_support_low_stress_context,4.279,5.266,3.242,2.666,4.920,2.086,3.000,4.751,4.939,3.949,3.753,2.971,4.259,3.100,4.822,4.593,4.273
TEM00026,high_support_low_stress_context,4.287,5.860,3.471,3.282,5.004,2.386,5.756,4.388,4.527,5.138,4.138,4.557,4.544,3.091,4.685,4.756,4.085
TEM00027,high_support_low_stress_context,5.591,4.770,4.828,2.808,5.198,1.223,5.572,5.826,3.894,5.044,3.967,5.621,4.838,3.440,5.466,3.934,4.620
TEM00028,high_support_low_stress_context,4.208,5.399,3.347,3.259,4.659,1.000,3.265,5.291,4.362,4.475,3.180,4.159,4.480,3.150,4.292,3.717,3.619
TEM00029,high_support_low_stress_context,4.223,6.254,2.618,3.086,4.322,1.517,5.223,4.219,5.854,5.397,4.758,3.367,4.849,3.513,4.635,4.308,3.782
TEM00030,high_support_low_stress_context,4.628,4.592,3.591,3.625,4.687,1.000,3.556,3.618,4.619,4.830,2.034,4.191,4.432,2.283,4.597,3.440,4.267
TEM00031,high_support_low_stress_context,6.023,5.029,3.661,3.271,5.065,1.578,4.647,4.592,3.304,5.209,4.086,3.657,4.965,3.631,5.058,4.170,4.307
TEM00032,high_support_low_stress_context,5.036,5.620,3.769,3.205,4.512,2.877,4.715,4.464,3.054,4.479,4.027,4.476,3.090,3.701,4.493,5.037,3.684
TEM00033,high_support_low_stress_context,4.985,5.943,3.715,3.129,5.803,1.382,4.663,5.235,6.587,5.130,3.328,4.205,6.044,3.847,5.381,3.893,4.075
TEM00034,high_support_low_stress_context,4.459,4.448,3.339,3.405,5.656,2.353,3.785,3.667,4.982,4.249,2.966,3.253,4.296,2.774,5.000,3.475,4.639
TEM00035,high_support_low_stress_context,6.329,5.543,3.940,3.762,4.454,1.588,5.643,4.786,4.514,5.114,5.041,4.468,4.439,3.677,4.752,5.206,4.166
TEM00036,high_support_low_stress_context,6.080,6.573,2.892,3.182,4.464,2.838,4.862,3.676,5.306,4.771,5.333,2.716,4.033,4.396,4.453,6.174,2.836
TEM00037,high_support_low_stress_context,3.586,2.704,6.213,4.963,4.801,2.328,6.082,4.532,4.726,5.926,1.720,5.568,6.592,1.197,4.957,2.170,5.709
TEM00038,high_support_low_stress_context,1.990,3.409,6.890,3.831,4.109,2.619,3.669,2.874,2.753,5.131,2.161,5.597,5.337,1.188,3.649,3.204,4.805
TEM00039,high_support_low_stress_context,3.752,3.585,6.381,4.027,5.585,2.091,3.170,3.994,4.275,4.899,2.807,4.807,5.803,1.752,4.428,3.156,5.147
TEM00040,high_support_low_stress_context,2.153,4.191,5.610,3.608,5.683,2.359,4.520,5.072,3.896,4.558,2.401,6.038,4.959,1.507,5.184,2.401,5.012
TEM00041,high_support_low_stress_context,1.763,1.582,5.506,3.412,4.000,2.041,5.596,4.541,5.129,4.758,1.075,5.429,4.928,0.119,5.424,1.887,5.301
TEM00042,high_support_low_stress_context,2.707,2.910,6.017,4.421,4.378,2.399,4.303,4.432,4.158,5.088,2.350,5.554,4.780,1.139,4.836,2.232,5.078
TEM00043,high_support_low_stress_context,3.170,1.421,4.632,4.041,4.395,1.664,4.265,5.412,5.593,5.599,1.778,4.229,5.412,0.837,5.063,1.788,5.202
TEM00044,high_support_low_stress_context,2.070,3.154,6.251,4.750,5.345,1.285,5.020,4.518,4.427,5.597,1.541,5.809,4.942,0.791,4.945,2.195,5.446
TEM00045,high_support_low_stress_context,3.849,3.297,5.113,4.391,4.834,1.113,4.300,4.752,4.138,4.917,2.003,5.018,5.631,1.575,4.906,2.480,5.517
TEM00046,high_support_low_stress_context,3.273,2.379,6.190,3.810,3.996,2.022,4.421,5.835,4.562,5.290,3.014,5.269,4.847,1.331,4.813,2.693,5.581
TEM00047,high_support_low_stress_context,2.313,3.110,6.083,5.107,5.481,2.509,4.655,3.709,5.366,5.371,1.648,6.137,5.553,1.213,4.989,2.033,5.590
TEM00048,high_support_low_stress_context,3.327,4.507,5.916,4.336,3.524,2.627,4.833,2.932,2.883,4.440,2.269,4.126,4.154,2.346,3.421,3.501,4.567
TEM00049,high_support_low_stress_context,2.174,3.248,5.890,3.587,4.027,1.779,4.525,4.932,2.619,4.440,1.745,4.175,4.243,1.246,4.222,2.127,4.458
TEM00050,high_support_low_stress_context,3.105,3.450,5.974,4.269,6.056,1.437,5.323,5.332,4.537,5.595,2.076,6.096,5.917,1.267,5.307,2.075,5.743
TEM00051,high_support_low_stress_context,3.125,2.222,5.022,3.481,4.421,2.929,4.332,5.282,5.270,4.906,2.347,4.783,5.455,1.225,4.496,2.834,4.115
TEM00052,high_support_low_stress_context,3.159,2.776,5.672,3.882,4.296,2.553,4.312,4.802,4.163,4.545,1.950,4.316,4.270,1.089,4.556,2.320,4.802
TEM00053,high_support_low_stress_context,3.135,3.349,6.580,4.522,4.165,2.741,4.186,4.159,4.514,5.111,2.517,5.527,5.034,1.418,4.158,3.046,4.722
TEM00054,high_support_low_stress_context,2.947,2.055,5.959,4.989,5.823,3.124,5.677,5.106,4.309,5.599,1.000,5.457,6.921,0.406,5.755,1.913,5.970
TEM00055,high_support_low_stress_context,3.093,3.046,4.164,6.058,4.978,3.246,5.246,4.476,4.944,5.698,2.401,4.775,5.810,1.121,4.682,2.957,5.216
TEM00056,high_support_low_stress_context,2.535,1.846,4.638,6.889,5.744,1.502,4.079,5.445,4.388,6.869,1.000,4.945,6.472,0.000,5.024,0.991,6.534
TEM00057,high_support_low_stress_context,2.068,2.239,3.562,5.445,4.235,1.904,4.222,4.476,3.376,5.111,1.431,4.900,5.519,0.592,4.386,1.194,5.352
TEM00058,high_support_low_stress_context,3.461,2.420,4.185,5.312,4.059,2.618,4.145,4.954,3.232,4.557,1.559,4.493,5.948,1.384,4.256,2.673,4.710
TEM00059,high_support_low_stress_context,2.792,2.206,4.707,6.547,4.906,3.013,4.598,4.223,4.898,6.711,1.512,4.684,6.403,0.000,4.577,2.017,5.508
TEM00060,high_support_low_stress_context,3.409,2.012,2.926,6.438,5.382,3.368,5.366,3.622,4.947,5.553,2.054,3.442,6.293,0.402,5.046,1.834,5.579
TEM00061,high_support_low_stress_context,2.532,2.204,4.966,6.087,5.003,1.695,4.378,4.630,6.633,6.553,1.367,5.382,7.000,0.335,5.120,1.030,6.212
TEM00062,high_support_low_stress_context,3.655,1.949,3.421,5.536,5.541,2.602,3.966,5.084,4.044,5.115,1.555,3.894,5.613,0.458,5.089,2.090,5.319
TEM00063,high_support_low_stress_context,2.485,3.210,3.765,7.000,4.815,1.259,5.204,5.172,6.728,6.401,1.009,3.817,6.369,0.053,5.241,0.696,5.909
TEM00064,high_support_low_stress_context,3.583,2.419,4.699,5.985,6.378,2.164,3.947,5.255,4.116,6.324,1.000,4.743,6.345,0.705,5.140,1.583,5.720
TEM00065,high_support_low_stress_context,3.417,3.001,3.975,5.867,4.781,1.469,4.646,4.989,5.660,5.488,2.060,5.024,6.444,0.837,5.099,1.634,5.849
TEM00066,high_support_low_stress_context,3.410,1.980,3.765,5.948,4.834,1.000,6.282,5.724,4.163,6.765,1.474,4.975,7.000,0.000,5.521,0.612,5.806
TEM00067,high_support_low_stress_context,2.886,2.208,3.994,5.715,4.849,2.016,5.350,3.447,6.068,5.788,1.496,3.993,6.300,0.520,4.886,1.887,5.853
TEM00068,high_support_low_stress_context,2.569,1.822,4.568,5.857,5.891,2.908,4.297,5.461,4.708,6.678,1.204,5.135,6.024,0.186,5.094,1.774,6.059
TEM00069,high_support_low_stress_context,2.459,2.393,4.011,5.949,4.698,2.199,3.505,4.962,3.448,5.762,2.033,4.714,5.998,0.340,4.275,1.499,5.360
TEM00070,high_support_low_stress_context,3.754,3.037,4.594,6.389,6.355,3.929,5.506,3.391,3.822,6.783,2.852,4.264,5.924,0.674,4.938,2.962,5.642
TEM00071,high_support_low_stress_context,2.355,2.378,3.846,5.810,3.490,1.705,5.008,3.710,5.033,6.012,2.121,4.676,6.314,0.238,4.579,1.790,5.531
TEM00072,high_support_low_stress_context,3.432,3.847,4.118,6.199,4.852,3.169,4.643,4.848,5.281,6.450,2.296,3.750,5.969,1.267,4.710,2.834,5.089
TEM00073,high_support_low_stress_context,3.291,3.431,4.202,3.890,4.404,1.376,4.483,4.694,4.444,5.453,2.140,4.687,5.007,1.368,4.717,2.863,4.562
TEM00074,high_support_low_stress_context,4.075,4.251,3.938,5.293,4.945,2.698,4.374,3.229,5.055,5.989,3.294,4.194,5.207,1.670,4.122,3.799,4.563
TEM00075,high_support_low_stress_context,4.112,4.186,3.942,4.258,5.223,3.077,5.122,3.873,5.015,5.323,2.691,4.006,5.879,2.573,4.952,4.369,4.839
TEM00076,high_support_low_stress_context,5.032,4.185,3.801,4.218,5.838,1.691,4.073,3.319,5.169,5.452,2.670,4.216,6.147,2.417,5.273,3.635,4.501
TEM00077,high_support_low_stress_context,2.327,1.809,4.176,4.325,3.766,1.099,5.045,4.418,4.786,6.042,1.084,4.133,4.935,0.238,4.789,1.521,5.416
TEM00078,high_support_low_stress_context,3.047,4.109,4.783,4.767,4.709,2.614,4.050,4.911,4.226,5.030,2.325,4.405,4.934,1.730,4.679,3.101,5.078
TEM00079,high_support_low_stress_context,4.748,3.775,3.928,4.333,3.965,1.000,4.055,3.419,4.762,5.147,2.173,4.080,4.622,2.200,4.339,2.347,4.671
