participant_id,institutional_context,machiavellianism,narcissism,psychopathy,sadism,honesty_humility,conscientious_reliability,fairness_orientation,compassion_kindness,moral_identity,practical_judgment,institutional_accountability,status_reward_pressure,unethical_behavior,prosocial_restraint,harm_indicator,dark_trait_burden,virtue_relevant_tendency,moral_integration_index,dark_accountability_risk
DTV0001,high_accountability_public_service,5.714,3.979,5.351,3.988,4.750,4.250,4.444,4.755,4.521,3.946,4.757,2.680,2.531,3.093,1.599,4.758,4.550,4.339,3.557
DTV0002,high_accountability_public_service,5.272,3.296,2.871,3.764,4.686,3.694,4.626,3.834,4.186,3.489,4.895,3.159,2.012,2.978,2.019,3.801,4.210,3.962,2.666
DTV0003,high_accountability_public_service,4.734,3.855,3.555,2.707,3.702,3.828,3.132,3.475,3.409,3.025,5.178,2.731,2.457,3.215,1.358,3.713,3.534,3.323,2.254
DTV0004,high_accountability_public_service,3.225,3.148,2.990,2.977,4.023,4.111,3.879,3.487,2.990,2.882,4.663,3.037,2.001,2.519,1.238,3.085,3.875,3.249,2.403
DTV0005,high_accountability_public_service,5.530,4.109,3.927,3.862,4.773,5.173,4.502,4.951,3.989,3.849,4.887,3.293,2.305,3.069,1.931,4.357,4.850,4.229,3.069
DTV0006,high_accountability_public_service,6.491,5.343,5.162,5.367,4.720,4.605,4.665,4.842,4.475,3.719,5.704,3.423,2.723,3.029,2.481,5.591,4.708,4.301,2.416
DTV0007,high_accountability_public_service,4.533,3.599,3.072,2.589,5.231,5.936,5.266,4.766,4.132,4.137,4.855,2.632,2.119,4.536,1.836,3.448,5.300,4.523,2.466
DTV0008,high_accountability_public_service,4.312,3.399,3.240,3.671,3.959,3.585,4.143,4.219,3.775,3.876,5.015,2.730,1.443,4.218,1.235,3.656,3.976,3.875,2.419
DTV0009,high_accountability_public_service,3.647,4.854,3.841,3.536,2.877,3.030,3.556,3.692,3.308,3.178,4.994,3.011,1.940,3.102,1.499,3.969,3.289,3.258,2.655
DTV0010,high_accountability_public_service,3.410,3.935,3.831,3.326,3.751,3.573,3.594,3.401,3.225,3.456,4.745,2.460,1.101,2.851,2.256,3.625,3.580,3.420,2.726
DTV0011,high_accountability_public_service,3.318,5.089,2.987,3.925,4.506,4.490,4.152,3.551,3.767,3.788,4.409,2.985,2.475,3.281,2.272,3.830,4.175,3.910,3.307
DTV0012,high_accountability_public_service,3.854,4.963,2.909,3.680,4.082,3.134,4.621,4.435,4.186,4.414,5.069,2.849,2.326,3.735,2.006,3.852,4.068,4.223,2.479
DTV0013,high_accountability_public_service,4.852,5.122,3.369,4.036,4.075,4.666,4.719,4.875,3.743,4.029,4.811,2.877,1.995,3.887,2.516,4.345,4.584,4.118,3.171
DTV0014,high_accountability_public_service,4.467,5.213,4.325,3.685,4.483,4.174,4.101,4.657,3.881,4.142,4.293,3.149,3.111,3.281,2.304,4.422,4.354,4.126,3.991
DTV0015,high_accountability_public_service,3.305,3.802,2.490,2.575,3.869,3.375,4.148,4.008,3.727,3.520,4.941,2.621,1.324,3.903,1.495,3.043,3.850,3.699,2.088
DTV0016,high_accountability_public_service,3.756,4.500,3.261,3.356,4.404,3.804,4.177,3.198,3.796,3.935,4.970,2.595,1.354,3.453,1.428,3.718,3.896,3.876,2.516
DTV0017,high_accountability_public_service,3.585,3.267,4.338,4.038,4.021,4.480,4.637,4.587,4.708,4.330,5.197,2.657,1.390,4.004,1.215,3.807,4.431,4.490,2.289
DTV0018,high_accountability_public_service,3.997,2.985,5.004,3.208,4.333,4.442,4.180,5.090,4.322,4.022,5.345,2.423,1.477,3.764,2.190,3.798,4.511,4.285,2.096
DTV0019,high_accountability_public_service,3.484,4.017,4.781,4.290,3.435,4.549,3.408,3.895,3.520,3.587,4.916,2.483,2.520,2.698,1.745,4.143,3.822,3.643,2.878
DTV0020,high_accountability_public_service,4.253,3.428,4.611,4.167,4.164,3.888,4.668,3.895,3.821,4.242,5.743,2.606,2.030,3.330,1.605,4.115,4.154,4.072,1.725
DTV0021,high_accountability_public_service,3.714,3.233,4.511,3.899,3.733,4.472,4.145,4.106,5.032,4.341,4.861,2.410,1.935,4.266,1.674,3.839,4.114,4.496,2.738
DTV0022,high_accountability_public_service,3.581,3.882,4.702,4.111,4.761,4.706,4.039,4.781,3.817,3.788,5.816,2.715,1.515,3.269,1.076,4.069,4.572,4.059,1.606
DTV0023,high_accountability_public_service,4.102,4.163,6.154,3.652,3.906,4.438,5.181,4.078,4.905,4.601,4.736,2.693,1.888,4.620,2.269,4.518,4.401,4.636,3.410
DTV0024,high_accountability_public_service,4.153,3.669,5.376,4.794,4.721,4.592,4.745,3.631,4.326,4.422,5.155,2.729,1.344,3.260,1.784,4.498,4.422,4.390,2.766
DTV0025,high_accountability_public_service,3.389,4.192,4.545,5.313,4.485,3.507,3.520,3.952,3.874,3.649,4.854,2.516,1.529,3.559,2.006,4.360,3.866,3.796,3.119
DTV0026,high_accountability_public_service,1.973,3.544,3.959,4.787,4.604,4.478,4.734,4.336,3.888,3.409,4.305,2.631,1.366,4.056,1.774,3.566,4.538,3.945,3.203
DTV0027,high_accountability_public_service,4.079,3.767,3.180,4.736,5.093,3.979,4.698,4.259,4.616,4.053,5.232,2.451,1.734,3.420,2.007,3.940,4.507,4.392,2.323
DTV0028,high_accountability_public_service,3.391,3.518,3.852,5.228,3.445,3.915,3.447,4.056,3.559,3.901,4.901,2.828,2.689,2.931,1.428,3.997,3.716,3.725,2.797
DTV0029,high_accountability_public_service,3.796,3.741,3.575,5.196,4.409,4.075,3.702,4.099,3.919,4.247,5.267,2.975,2.110,3.623,2.051,4.077,4.071,4.079,2.355
DTV0030,high_accountability_public_service,3.611,3.379,3.283,4.495,4.631,4.743,3.564,3.297,4.168,4.135,4.944,2.945,1.818,3.644,1.201,3.692,4.059,4.121,2.530
DTV0031,high_accountability_public_service,2.913,4.607,4.568,4.688,4.522,4.555,4.082,4.196,2.979,4.245,4.861,2.545,1.991,3.497,1.833,4.194,4.339,3.854,2.991
DTV0032,high_accountability_public_service,3.011,3.222,3.491,4.287,4.308,4.563,3.138,3.574,3.398,3.594,4.317,2.527,1.263,3.434,1.996,3.503,3.896,3.629,3.133
DTV0033,high_accountability_public_service,3.552,3.031,3.287,3.652,4.964,5.794,5.473,5.164,4.261,4.374,5.014,2.109,1.000,4.061,1.000,3.380,5.349,4.661,2.237
DTV0034,high_accountability_public_service,2.187,2.502,2.346,2.885,6.412,5.619,5.475,5.449,4.639,5.305,4.480,2.318,1.000,4.638,1.000,2.480,5.739,5.228,2.083
DTV0035,high_accountability_public_service,2.066,2.736,1.924,2.832,5.343,4.474,4.779,5.092,4.284,5.080,4.965,2.449,1.000,4.728,1.000,2.389,4.922,4.762,1.621
DTV0036,high_accountability_public_service,3.537,2.903,1.772,3.479,5.263,4.933,4.944,5.245,5.173,4.332,4.914,2.759,1.000,3.984,1.000,2.923,5.096,4.867,2.033
DTV0037,high_accountability_public_service,3.223,3.981,4.556,4.191,5.281,5.807,4.628,5.524,4.546,3.879,4.889,2.334,1.363,3.694,1.101,3.988,5.310,4.579,2.806
DTV0038,high_accountability_public_service,2.542,3.516,3.158,3.608,5.077,5.118,4.574,3.847,3.816,5.292,5.150,2.703,1.000,3.738,1.000,3.206,4.654,4.587,1.977
DTV0039,high_accountability_public_service,4.085,3.607,3.589,4.078,5.742,4.940,5.662,6.514,4.934,4.889,5.581,3.028,2.097,5.042,1.478,3.840,5.714,5.179,1.817
DTV0040,high_accountability_public_service,2.711,3.129,3.209,4.304,5.439,5.152,5.001,4.355,4.745,3.967,4.945,2.400,1.000,4.307,1.698,3.339,4.987,4.566,2.287
DTV0041,high_accountability_public_service,4.904,3.867,4.237,5.048,4.236,3.315,3.402,4.034,3.876,4.123,5.219,2.376,2.247,3.474,1.917,4.514,3.747,3.916,2.680
DTV0042,high_accountability_public_service,4.225,4.945,3.945,4.069,3.489,3.155,4.443,3.907,4.041,4.136,4.696,3.160,2.335,3.636,2.256,4.296,3.749,3.975,3.299
DTV0043,high_accountability_public_service,3.132,3.680,3.427,2.638,3.772,3.581,4.658,3.728,4.046,4.075,5.119,1.874,1.218,3.806,1.061,3.219,3.935,4.019,2.019
DTV0044,high_accountability_public_service,4.823,4.475,4.907,4.541,3.825,3.970,3.460,3.299,3.277,3.279,4.585,2.639,2.029,3.204,2.211,4.687,3.639,3.398,3.773
DTV0045,high_accountability_public_service,4.069,3.665,3.818,3.616,4.000,3.778,3.485,3.715,4.247,3.305,5.140,3.243,2.556,3.293,1.801,3.792,3.745,3.766,2.351
DTV0046,high_accountability_public_service,4.027,3.705,4.291,4.395,4.758,4.772,4.587,5.087,4.057,3.660,4.957,2.979,1.687,3.272,1.773,4.105,4.801,4.173,2.796
DTV0047,high_accountability_public_service,4.027,2.951,3.137,3.589,3.546,4.322,3.843,4.035,3.314,3.516,5.845,2.219,1.699,3.970,1.232,3.426,3.936,3.589,1.319
DTV0048,high_accountability_public_service,5.103,5.061,4.288,3.843,3.269,3.441,3.477,4.496,3.560,3.394,4.760,3.286,3.087,3.198,2.457,4.574,3.671,3.542,3.414
DTV0049,high_accountability_public_service,2.449,2.504,3.965,3.239,4.767,5.033,3.420,3.063,3.478,4.008,4.073,1.853,1.234,4.192,1.424,3.039,4.071,3.852,2.965
DTV0050,high_accountability_public_service,2.979,3.468,3.762,2.888,5.272,5.045,4.987,4.744,5.415,4.153,4.374,3.230,1.745,4.539,1.619,3.274,5.012,4.860,2.866
DTV0051,high_accountability_public_service,2.963,2.700,2.463,1.953,4.417,4.948,4.315,4.157,4.250,3.774,5.096,3.042,1.000,4.362,1.461,2.520,4.459,4.161,1.599
DTV0052,high_accountability_public_service,2.565,3.006,2.314,2.237,5.050,4.835,4.972,5.615,4.784,4.792,5.190,3.199,1.000,4.241,1.000,2.531,5.118,4.898,1.527
DTV0053,high_accountability_public_service,3.261,3.744,3.392,3.840,4.202,3.809,4.539,5.073,3.948,3.777,5.141,2.639,1.380,3.651,1.373,3.560,4.406,4.044,2.206
