person_id,motivation_context,autonomy_goal,achievement_goal,belonging_goal,security_goal,meaning_goal,status_goal,goal_conflict,goal_ownership,autonomy_support,competence_support,relatedness_support,conscientiousness,persistence_score,adaptive_disengagement,well_being,total_goal_intensity,approach_orientation,avoidance_security_orientation,status_orientation,need_support,motivational_quality,life_direction_coherence
MGD0001,autonomy_supportive_context,6.207,5.450,6.305,1.695,6.558,1.591,2.646,4.481,4.947,4.885,4.419,3.348,4.158,4.563,4.850,27.806,6.130,1.695,1.591,4.750,5.263,5.914
MGD0002,autonomy_supportive_context,5.629,5.361,6.052,1.565,6.727,2.137,2.997,4.163,5.102,4.574,4.793,3.590,4.786,4.212,4.829,27.471,5.942,1.565,2.137,4.823,5.238,5.686
MGD0003,autonomy_supportive_context,6.262,5.473,6.174,2.025,6.882,1.940,3.181,4.434,4.672,4.720,4.671,4.146,4.763,4.350,5.820,28.757,6.198,2.025,1.940,4.688,5.335,5.868
MGD0004,autonomy_supportive_context,6.035,5.392,5.776,1.662,6.147,1.849,2.365,3.718,3.912,4.246,5.264,3.213,4.632,4.482,4.773,26.862,5.838,1.662,1.849,4.474,4.780,5.441
MGD0005,autonomy_supportive_context,6.493,5.570,5.460,1.988,6.895,1.973,2.585,4.118,4.970,4.070,4.419,4.316,5.245,4.143,5.211,28.380,6.105,1.988,1.973,4.486,5.167,5.760
MGD0006,autonomy_supportive_context,6.597,4.720,6.021,1.590,6.666,1.770,3.386,4.663,5.124,4.588,4.999,3.909,4.320,4.884,5.024,27.365,6.001,1.590,1.770,4.904,5.411,5.875
MGD0007,autonomy_supportive_context,5.290,5.834,5.216,2.738,5.810,3.400,2.952,1.851,4.729,3.998,4.865,1.999,3.024,2.139,1.582,28.287,5.537,2.738,3.400,4.530,4.064,4.396
MGD0008,autonomy_supportive_context,5.313,5.014,5.179,2.799,5.573,2.641,3.766,1.531,5.490,4.313,4.689,1.696,2.260,2.814,2.311,26.519,5.270,2.799,2.641,4.831,3.978,4.055
MGD0009,autonomy_supportive_context,5.748,5.483,4.644,2.905,5.494,3.317,4.195,1.432,4.574,5.026,4.612,2.061,2.538,2.564,2.325,27.591,5.342,2.905,3.317,4.737,3.888,3.955
MGD0010,autonomy_supportive_context,5.160,6.132,5.475,3.654,5.101,3.512,3.629,1.971,4.675,4.401,4.094,2.334,2.519,2.612,2.645,29.033,5.467,3.654,3.512,4.390,3.821,4.234
MGD0011,autonomy_supportive_context,5.463,4.967,5.521,2.089,5.760,3.916,3.710,2.004,5.547,4.646,4.137,1.783,2.536,2.571,2.120,27.717,5.428,2.089,3.916,4.777,4.180,4.341
MGD0012,autonomy_supportive_context,5.754,5.833,5.070,3.555,5.584,3.860,3.582,1.495,5.142,4.495,4.731,1.875,2.575,2.770,1.942,29.657,5.560,3.555,3.860,4.789,3.956,4.159
MGD0013,autonomy_supportive_context,5.104,5.118,5.396,2.677,4.869,3.504,2.787,2.808,5.023,3.942,4.710,2.781,3.774,3.201,2.960,26.669,5.122,2.677,3.504,4.558,4.078,4.605
MGD0014,autonomy_supportive_context,5.034,5.256,4.552,1.935,4.720,4.002,2.664,1.903,4.684,4.461,4.508,2.978,3.065,2.457,2.843,25.498,4.890,1.935,4.002,4.551,3.725,4.125
MGD0015,autonomy_supportive_context,4.561,6.440,4.977,1.930,4.279,3.692,2.560,2.236,4.102,3.807,4.838,3.319,3.719,2.657,2.811,25.880,5.065,1.930,3.692,4.249,3.588,4.264
MGD0016,autonomy_supportive_context,5.569,5.283,4.433,2.730,4.808,3.767,2.541,2.565,5.220,4.736,4.484,2.506,4.230,3.195,3.257,26.592,5.024,2.730,3.767,4.813,4.062,4.520
MGD0017,autonomy_supportive_context,4.704,5.519,4.982,2.657,4.449,3.863,2.654,2.823,4.724,4.412,4.574,2.599,3.505,2.858,2.590,26.174,4.913,2.657,3.863,4.570,3.947,4.515
MGD0018,autonomy_supportive_context,5.002,5.769,4.540,2.181,4.480,3.318,2.866,3.100,4.189,3.855,4.715,2.610,3.966,2.648,3.429,25.291,4.948,2.181,3.318,4.253,3.944,4.588
MGD0019,autonomy_supportive_context,5.411,4.876,5.190,3.252,5.223,2.217,3.628,2.942,5.118,3.557,4.973,2.328,3.125,2.599,2.698,26.170,5.175,3.252,2.217,4.550,4.238,4.600
MGD0020,autonomy_supportive_context,4.830,5.137,4.448,2.812,5.693,3.293,3.349,2.855,5.249,4.081,5.252,2.504,2.836,3.084,3.229,26.213,5.027,2.812,3.293,4.861,4.470,4.639
MGD0021,autonomy_supportive_context,5.635,4.817,4.994,2.566,5.745,2.656,2.685,2.819,4.941,4.834,4.714,2.842,2.299,3.720,3.502,26.413,5.298,2.566,2.656,4.830,4.465,4.810
MGD0022,autonomy_supportive_context,5.468,4.348,5.295,3.633,5.007,2.538,3.207,3.096,5.582,4.525,4.221,2.230,3.344,2.884,3.132,26.288,5.029,3.633,2.538,4.776,4.293,4.681
MGD0023,autonomy_supportive_context,4.651,5.928,5.687,3.384,5.039,3.020,2.940,2.356,4.321,4.710,4.885,2.074,3.357,3.204,2.843,27.708,5.326,3.384,3.020,4.639,4.011,4.478
MGD0024,autonomy_supportive_context,5.189,5.151,5.443,3.678,5.269,2.946,2.983,2.313,4.566,3.998,5.153,1.786,3.334,2.263,3.076,27.676,5.263,3.678,2.946,4.572,4.052,4.450
MGD0025,autonomy_supportive_context,5.471,5.169,5.999,2.501,6.060,1.925,2.133,4.113,5.261,4.861,4.651,4.099,4.266,3.489,4.500,27.125,5.675,2.501,1.925,4.924,5.032,5.635
MGD0026,autonomy_supportive_context,5.696,5.636,5.609,2.569,6.446,2.697,2.487,4.128,4.646,4.278,4.774,3.848,4.745,4.084,4.842,28.653,5.847,2.569,2.697,4.566,5.046,5.652
MGD0027,autonomy_supportive_context,5.747,5.158,5.565,2.395,6.200,2.639,2.886,3.116,5.479,5.041,4.399,4.172,4.701,3.386,4.506,27.704,5.667,2.395,2.639,4.973,4.763,5.103
MGD0028,autonomy_supportive_context,5.422,5.383,5.683,2.261,5.590,1.788,2.578,3.564,4.625,4.586,4.621,3.891,5.322,3.778,4.362,26.128,5.520,2.261,1.788,4.611,4.588,5.189
MGD0029,autonomy_supportive_context,5.185,4.994,5.268,2.648,5.123,2.544,2.560,3.541,4.416,4.934,4.188,3.763,3.694,3.547,4.640,25.762,5.143,2.648,2.544,4.513,4.392,4.993
MGD0030,autonomy_supportive_context,5.412,5.512,5.959,1.917,6.425,2.233,2.848,4.214,5.483,4.785,4.137,3.459,3.938,4.179,4.378,27.457,5.827,1.917,2.233,4.802,5.147,5.656
MGD0031,autonomy_supportive_context,5.471,4.606,6.135,2.389,5.803,2.536,3.714,3.386,5.064,4.741,4.470,2.751,3.933,4.374,4.902,26.939,5.503,2.389,2.536,4.759,4.649,4.982
MGD0032,autonomy_supportive_context,6.102,5.192,6.095,2.699,6.502,1.884,3.081,3.229,5.099,4.259,4.229,3.609,4.161,3.838,4.614,28.476,5.973,2.699,1.884,4.529,4.754,5.212
MGD0033,autonomy_supportive_context,6.023,4.382,6.020,1.357,6.187,1.847,3.554,3.960,4.551,3.789,4.556,3.982,4.108,5.036,4.660,25.815,5.653,1.357,1.847,4.299,4.815,5.302
MGD0034,autonomy_supportive_context,5.286,4.968,6.354,2.397,6.094,1.513,3.543,3.675,4.604,4.608,4.633,3.476,4.234,3.949,4.722,26.612,5.675,2.397,1.513,4.615,4.795,5.209
MGD0035,autonomy_supportive_context,6.130,4.765,6.637,1.851,7.000,2.968,3.164,3.657,4.771,4.262,4.876,3.056,3.905,4.181,4.802,29.351,6.133,1.851,2.968,4.636,5.098,5.511
MGD0036,autonomy_supportive_context,6.237,4.901,6.921,2.751,6.117,1.909,3.077,4.557,5.260,4.800,4.680,3.408,4.186,4.387,4.948,28.836,6.044,2.751,1.909,4.913,5.196,5.826
MGD0037,autonomy_supportive_context,6.196,4.884,5.199,2.643,5.856,1.504,3.160,3.113,4.741,4.763,4.064,3.168,3.990,4.370,4.190,26.283,5.534,2.643,1.504,4.522,4.497,4.930
MGD0038,autonomy_supportive_context,6.354,5.026,5.360,2.295,6.014,2.232,3.852,2.967,4.746,4.646,4.062,3.625,4.210,4.688,4.156,27.282,5.689,2.295,2.232,4.485,4.488,4.831
MGD0039,autonomy_supportive_context,5.409,5.021,5.492,2.710,6.623,2.270,3.085,4.480,5.060,4.990,5.237,4.142,4.046,4.612,4.903,27.525,5.636,2.710,2.270,5.095,5.400,5.731
MGD0040,autonomy_supportive_context,4.929,4.690,6.227,2.295,6.690,2.313,3.124,3.543,4.566,4.740,4.914,3.534,4.637,4.463,4.688,27.144,5.634,2.295,2.313,4.740,4.991,5.276
MGD0041,autonomy_supportive_context,5.346,5.523,5.984,2.816,6.112,2.302,3.185,3.378,4.154,4.386,4.800,3.073,3.997,3.540,4.046,28.084,5.741,2.816,2.302,4.446,4.645,5.133
MGD0042,autonomy_supportive_context,5.874,5.224,5.618,3.253,6.711,2.529,2.562,3.787,4.928,4.496,4.845,3.668,4.782,4.485,4.913,29.208,5.857,3.253,2.529,4.756,5.085,5.543
MGD0043,high_control_low_ownership_context,3.560,4.317,4.140,4.698,4.955,2.967,1.550,3.024,1.582,2.857,2.221,3.794,4.511,2.691,4.479,24.637,4.243,4.698,2.967,2.220,3.400,4.334
MGD0044,high_control_low_ownership_context,3.663,3.681,4.145,3.811,4.419,4.241,1.133,2.952,1.474,2.690,2.294,3.300,4.230,2.595,3.405,23.959,3.977,3.811,4.241,2.153,3.174,4.206
MGD0045,high_control_low_ownership_context,3.910,4.129,3.689,3.631,4.591,4.548,1.442,3.622,2.048,3.244,2.699,3.882,4.196,3.654,3.542,24.497,4.080,3.631,4.548,2.664,3.626,4.570
MGD0046,high_control_low_ownership_context,3.877,4.560,3.258,3.888,4.530,4.134,1.824,2.433,1.266,2.687,1.608,3.390,3.654,2.791,4.054,24.247,4.056,3.888,4.134,1.854,2.939,3.882
MGD0047,high_control_low_ownership_context,3.242,3.899,3.948,3.827,3.744,3.740,1.000,3.633,1.578,2.936,1.991,3.380,4.107,3.444,3.962,22.400,3.708,3.827,3.740,2.168,3.182,4.365
MGD0048,high_control_low_ownership_context,3.272,4.961,3.779,4.190,4.263,4.642,1.433,3.146,1.754,3.059,2.197,3.672,3.821,3.144,3.786,25.108,4.069,4.190,4.642,2.336,3.249,4.283
MGD0049,high_control_low_ownership_context,2.859,4.539,3.338,5.641,3.058,4.573,4.275,1.000,1.962,3.011,1.852,1.750,2.191,1.152,1.000,24.007,3.448,5.641,4.573,2.275,2.111,2.576
MGD0050,high_control_low_ownership_context,2.649,4.519,2.221,5.489,2.874,5.159,4.203,1.000,1.983,2.883,2.179,1.083,1.224,1.070,1.000,22.912,3.066,5.489,5.159,2.348,2.074,2.446
MGD0051,high_control_low_ownership_context,2.597,3.974,3.429,5.771,2.485,4.865,4.287,1.000,1.394,3.077,2.094,1.582,1.273,1.027,1.000,23.120,3.121,5.771,4.865,2.188,1.891,2.392
MGD0052,high_control_low_ownership_context,3.013,4.360,2.987,5.450,3.289,5.348,4.808,1.000,2.117,3.118,1.860,1.827,1.678,1.722,1.000,24.448,3.412,5.450,5.348,2.365,2.218,2.523
MGD0053,high_control_low_ownership_context,2.638,4.194,3.026,5.632,3.695,4.842,3.949,1.000,1.744,3.308,2.259,1.830,1.095,1.715,1.071,24.028,3.388,5.632,4.842,2.437,2.377,2.691
MGD0054,high_control_low_ownership_context,3.657,4.071,2.300,4.886,3.394,4.579,4.075,1.000,2.594,2.784,2.187,1.461,1.547,2.237,1.408,22.887,3.355,4.886,4.579,2.522,2.305,2.638
MGD0055,high_control_low_ownership_context,2.075,5.068,2.758,5.365,2.494,5.855,4.432,1.381,1.074,2.655,2.168,1.667,2.234,2.287,1.000,23.614,3.099,5.365,5.855,1.966,1.947,2.509
MGD0056,high_control_low_ownership_context,2.298,5.048,2.584,4.781,2.045,6.599,4.319,1.271,1.703,2.480,2.071,1.717,2.271,2.298,1.281,23.356,2.994,4.781,6.599,2.085,1.800,2.405
MGD0057,high_control_low_ownership_context,1.284,5.063,2.849,5.289,2.277,5.946,4.479,1.016,1.764,2.924,2.545,2.711,2.616,2.455,1.879,22.708,2.868,5.289,5.946,2.411,1.901,2.289
MGD0058,high_control_low_ownership_context,2.532,5.014,2.174,5.567,2.318,6.060,4.097,1.421,2.039,3.463,2.430,2.636,2.615,2.089,1.001,23.664,3.009,5.567,6.060,2.644,2.128,2.601
MGD0059,high_control_low_ownership_context,1.975,4.855,3.128,5.165,1.716,6.136,3.975,1.000,1.817,2.611,3.002,2.429,2.959,1.979,1.427,22.976,2.919,5.165,6.136,2.477,1.731,2.315
