person_id,assessment_context,s1,s2,s3,s4,s5,o1,o2,o3,o4,o5,attention_check,careless_response_risk,social_desirability_pressure,self_missing_count,observer_missing_count,self_conscientiousness,observer_conscientiousness,self_other_discrepancy,absolute_self_other_discrepancy,method_effect_index,reliability_context_score,professional_reflection_score
PME00001,low_stakes_research_context,5.292,6.237,5.136,5.781,6.252,5.904,5.763,5.506,5.841,5.525,1,0.169,0.576,0,0,5.739,5.708,0.032,0.032,0.437,5.702,4.607
PME00002,low_stakes_research_context,5.596,5.832,5.803,5.882,5.970,5.540,5.748,4.856,5.755,5.191,1,1.071,1.982,0,0,5.816,5.418,0.398,0.398,0.818,5.339,4.470
PME00003,low_stakes_research_context,5.494,6.035,6.088,6.179,6.056,6.242,5.544,5.655,5.001,5.791,1,0.885,1.189,1,0,6.089,5.647,0.443,0.443,0.852,5.137,4.418
PME00004,low_stakes_research_context,6.260,6.048,5.603,5.860,6.328,,5.686,5.698,5.566,5.636,1,0.117,1.482,0,0,6.020,5.524,0.496,0.496,0.716,5.492,4.579
PME00005,low_stakes_research_context,6.066,6.016,5.558,5.899,6.345,5.561,6.014,5.456,4.995,5.576,1,1.541,1.738,0,1,5.977,5.510,0.467,0.467,1.214,5.272,4.522
PME00006,low_stakes_research_context,5.527,5.959,5.292,5.538,5.906,5.109,5.620,5.363,6.226,5.333,1,0.510,0.917,0,0,5.644,5.530,0.114,0.114,0.467,5.463,4.096
PME00007,low_stakes_research_context,5.804,5.878,5.765,5.818,5.816,5.673,5.190,5.075,5.431,5.366,1,0.346,1.068,0,0,5.816,5.347,0.470,0.470,0.941,5.518,5.154
PME00008,low_stakes_research_context,5.996,,5.629,5.045,5.885,5.635,5.887,5.407,5.969,5.784,1,1.495,1.844,0,1,5.767,5.699,0.069,0.069,1.265,5.172,5.439
PME00009,low_stakes_research_context,6.419,5.589,5.690,6.140,,5.419,5.531,5.560,5.302,5.272,1,1.125,1.846,0,0,5.960,5.417,0.543,0.543,1.216,5.074,5.159
PME00010,low_stakes_research_context,6.358,6.274,6.004,5.665,6.445,5.500,6.136,5.714,5.638,5.539,1,0.721,1.350,0,1,6.149,5.747,0.402,0.402,0.736,4.747,5.053
PME00011,low_stakes_research_context,6.023,6.082,6.069,6.393,5.842,5.797,5.495,5.756,5.926,5.987,1,0.151,1.364,0,0,6.082,5.792,0.289,0.289,0.786,5.137,4.767
PME00012,low_stakes_research_context,5.744,5.479,6.181,6.034,6.377,5.186,5.606,5.232,5.927,4.944,1,1.329,1.673,0,0,5.963,5.379,0.584,0.584,1.562,5.342,5.281
PME00013,low_stakes_research_context,,4.158,4.704,3.617,4.543,4.523,4.112,4.114,,3.819,1,0.692,0.729,0,1,4.283,4.136,0.146,0.146,0.105,5.118,4.730
PME00014,low_stakes_research_context,4.206,4.128,4.582,4.664,4.042,3.910,4.365,4.313,,4.033,1,1.774,1.597,0,0,4.324,4.198,0.126,0.126,1.095,4.832,4.440
PME00015,low_stakes_research_context,4.270,4.635,4.326,4.683,4.535,3.563,3.914,3.642,4.360,,0,1.034,2.383,0,0,4.490,3.837,0.652,0.652,1.384,5.499,4.638
PME00016,low_stakes_research_context,4.445,4.117,4.563,4.592,4.998,4.181,4.619,3.843,3.722,3.759,1,0.401,1.445,0,0,4.543,4.025,0.518,0.518,0.998,5.229,4.969
PME00017,low_stakes_research_context,4.135,4.394,4.464,4.760,4.067,3.606,3.805,3.882,3.773,4.346,1,1.662,1.220,1,0,4.265,3.882,0.383,0.383,1.428,5.226,4.439
PME00018,low_stakes_research_context,3.719,4.475,4.551,4.398,4.984,3.531,3.648,4.494,4.262,4.105,1,0.695,1.144,1,0,4.432,4.008,0.424,0.424,0.779,5.261,4.193
PME00019,low_stakes_research_context,4.505,4.310,4.603,4.694,4.170,4.102,4.043,4.013,4.247,3.839,1,0.800,1.379,1,0,4.444,4.049,0.395,0.395,0.566,4.947,4.843
PME00020,low_stakes_research_context,4.132,4.629,4.656,4.123,4.060,3.820,3.893,3.923,4.107,3.908,1,0.348,2.224,0,0,4.320,3.930,0.390,0.390,1.298,5.475,4.798
PME00021,low_stakes_research_context,4.635,4.743,4.058,3.875,,4.047,3.964,4.356,4.383,3.957,1,0.864,1.663,0,0,4.313,4.141,0.171,0.171,1.232,5.537,5.145
PME00022,low_stakes_research_context,3.673,4.051,4.318,3.956,4.533,4.211,4.281,3.951,3.749,3.951,1,0.904,0.708,0,0,4.106,4.028,0.078,0.078,0.095,5.178,5.621
PME00023,low_stakes_research_context,4.306,4.165,4.613,4.990,4.500,4.254,4.457,3.983,3.858,4.050,1,1.200,0.743,0,0,4.515,4.120,0.394,0.394,1.087,5.317,4.819
PME00024,low_stakes_research_context,3.937,4.773,4.750,4.354,4.382,4.311,4.054,3.982,3.506,3.658,1,1.183,2.488,0,0,4.439,3.902,0.537,0.537,1.456,5.061,4.385
PME00025,low_stakes_research_context,3.331,2.026,2.512,2.378,2.688,2.813,,,2.450,2.515,1,1.528,0.538,2,1,2.526,2.530,-0.004,0.004,1.141,4.917,4.808
PME00026,low_stakes_research_context,3.087,2.538,2.203,2.651,3.045,2.499,3.071,2.484,2.459,2.720,1,0.628,0.945,1,0,2.747,2.647,0.100,0.100,0.522,5.549,4.875
PME00027,low_stakes_research_context,2.264,2.002,2.405,2.988,1.845,3.057,2.617,2.543,2.833,2.931,1,0.705,0.666,0,0,2.301,2.796,-0.495,0.495,0.733,5.422,5.669
PME00028,low_stakes_research_context,2.493,2.759,2.952,3.096,2.793,2.938,2.859,3.426,2.727,2.543,1,0.404,1.949,0,0,2.819,2.899,-0.080,0.080,0.792,5.605,5.511
PME00029,low_stakes_research_context,2.894,2.661,3.176,2.342,2.575,2.815,2.718,3.149,2.660,2.654,1,0.528,0.883,0,0,2.730,2.799,-0.069,0.069,0.272,5.334,4.436
PME00030,low_stakes_research_context,2.702,2.567,2.195,2.687,2.585,2.604,3.043,3.207,2.725,3.124,1,0.775,1.698,0,0,2.547,2.941,-0.393,0.393,0.692,5.599,5.109
PME00031,low_stakes_research_context,2.361,2.847,2.488,2.800,3.191,2.424,3.161,2.782,2.495,2.505,1,0.962,1.436,0,0,2.737,2.674,0.063,0.063,0.758,5.338,4.375
